predicted_role,source,relative_lag_frames,relative_lag_seconds,attention_sum,n_observations,mean_attention
expert,partner,-100,-4.0,0.0,87,0.0
expert,partner,-99,-3.96,0.0,87,0.0
expert,partner,-98,-3.92,0.0,87,0.0
expert,partner,-97,-3.88,0.0,87,0.0
expert,partner,-96,-3.84,0.0,87,0.0
expert,partner,-95,-3.8,0.0,87,0.0
expert,partner,-94,-3.76,0.0,87,0.0
expert,partner,-93,-3.72,0.0,87,0.0
expert,partner,-92,-3.68,0.0,87,0.0
expert,partner,-91,-3.64,0.0,87,0.0
expert,partner,-90,-3.6,0.0,87,0.0
expert,partner,-89,-3.56,0.0,87,0.0
expert,partner,-88,-3.52,0.0,87,0.0
expert,partner,-87,-3.48,0.0,87,0.0
expert,partner,-86,-3.44,0.0,87,0.0
expert,partner,-85,-3.4,0.0,87,0.0
expert,partner,-84,-3.36,0.0,87,0.0
expert,partner,-83,-3.32,0.0,87,0.0
expert,partner,-82,-3.28,0.0,87,0.0
expert,partner,-81,-3.24,0.0,87,0.0
expert,partner,-80,-3.2,0.0,87,0.0
expert,partner,-79,-3.16,0.0,87,0.0
expert,partner,-78,-3.12,0.0,87,0.0
expert,partner,-77,-3.08,0.0,87,0.0
expert,partner,-76,-3.04,0.0,87,0.0
expert,partner,-75,-3.0,0.0,87,0.0
expert,partner,-74,-2.96,0.0,87,0.0
expert,partner,-73,-2.92,0.0,87,0.0
expert,partner,-72,-2.88,0.0,87,0.0
expert,partner,-71,-2.84,0.0,87,0.0
expert,partner,-70,-2.8,0.0,87,0.0
expert,partner,-69,-2.76,0.0,87,0.0
expert,partner,-68,-2.72,0.0,87,0.0
expert,partner,-67,-2.68,0.0,87,0.0
expert,partner,-66,-2.64,0.0,87,0.0
expert,partner,-65,-2.6,0.0,87,0.0
expert,partner,-64,-2.56,0.0,87,0.0
expert,partner,-63,-2.52,0.0,87,0.0
expert,partner,-62,-2.48,0.0,87,0.0
expert,partner,-61,-2.44,0.0,87,0.0
expert,partner,-60,-2.4,0.0,87,0.0
expert,partner,-59,-2.36,0.0,87,0.0
expert,partner,-58,-2.32,0.0,87,0.0
expert,partner,-57,-2.28,0.0,87,0.0
expert,partner,-56,-2.24,0.0,87,0.0
expert,partner,-55,-2.2,0.0,87,0.0
expert,partner,-54,-2.16,0.0,87,0.0
expert,partner,-53,-2.12,0.0,87,0.0
expert,partner,-52,-2.08,0.0,87,0.0
expert,partner,-51,-2.04,0.0,87,0.0
expert,partner,-50,-2.0,1.6159038711339235,174,0.009286803857091514
expert,partner,-49,-1.96,1.5972336675040424,174,0.009179503836230129
expert,partner,-48,-1.92,1.5738203469663858,174,0.00904494452279532
expert,partner,-47,-1.88,1.5711602442897856,174,0.009029656576378078
expert,partner,-46,-1.84,1.564601090271026,174,0.008991960288913942
expert,partner,-45,-1.8,1.56045032129623,174,0.00896810529480592
expert,partner,-44,-1.76,1.5758217126131058,174,0.009056446624213252
expert,partner,-43,-1.72,1.5676123495213687,174,0.009009266376559591
expert,partner,-42,-1.68,1.5624375455081463,174,0.008979526123610037
expert,partner,-41,-1.64,1.5562052659224719,174,0.008943708424841792
expert,partner,-40,-1.6,1.5718006095848978,174,0.009033336836694815
expert,partner,-39,-1.56,1.5462390047032386,174,0.008886431061512866
