dataset,session_id,predicted_role,source,window_start,query_frame_idx,source_frame_idx,relative_lag_frames,relative_lag_seconds,source_session_phase_decile,attention_weight
noxi,020,novice,self,0,0,0,0,0.0,0,0.7316210865974426
noxi,020,novice,partner,0,0,0,0,0.0,0,0.268378883600235
noxi,020,novice,partner,0,0,122,122,4.88,0,0.0
noxi,020,novice,self,0,50,0,-50,-2.0,0,0.01593046635389328
noxi,020,novice,self,0,50,47,-3,-0.12,0,0.014108516275882721
noxi,020,novice,self,0,50,45,-5,-0.2,0,0.013988545164465904
noxi,020,novice,self,0,100,99,-1,-0.04,0,0.02230345644056797
noxi,020,novice,self,0,100,98,-2,-0.08,0,0.019237618893384933
noxi,020,novice,self,0,100,88,-12,-0.48,0,0.018250390887260437
noxi,020,expert,self,0,0,0,0,0.0,0,0.5794394016265869
noxi,020,expert,partner,0,0,0,0,0.0,0,0.4205605983734131
noxi,020,expert,partner,0,0,122,122,4.88,0,0.0
noxi,020,expert,self,0,50,0,-50,-2.0,0,0.013540618121623993
noxi,020,expert,self,0,50,3,-47,-1.88,0,0.011842767708003521
noxi,020,expert,partner,0,50,0,-50,-2.0,0,0.011789293959736824
noxi,020,expert,self,0,100,56,-44,-1.76,0,0.013561313971877098
noxi,020,expert,self,0,100,57,-43,-1.72,0,0.013525919988751411
noxi,020,expert,self,0,100,77,-23,-0.92,0,0.012425513938069344
noxi,020,novice,partner,5000,5000,5000,0,0.0,3,0.5198714137077332
noxi,020,novice,self,5000,5000,5000,0,0.0,3,0.48012858629226685
noxi,020,novice,partner,5000,5000,5122,122,4.88,3,0.0
noxi,020,novice,self,5000,5050,5014,-36,-1.44,3,0.012392241507768631
noxi,020,novice,self,5000,5050,5011,-39,-1.56,3,0.011840618215501308
noxi,020,novice,self,5000,5050,5007,-43,-1.72,3,0.011694047600030899
noxi,020,novice,self,5000,5100,5074,-26,-1.04,3,0.011214075610041618
noxi,020,novice,self,5000,5100,5089,-11,-0.44,3,0.011211118660867214
noxi,020,novice,partner,5000,5100,5074,-26,-1.04,3,0.011067863553762436
noxi,020,expert,self,5000,5000,5000,0,0.0,3,0.518291711807251
noxi,020,expert,partner,5000,5000,5000,0,0.0,3,0.4817083477973938
noxi,020,expert,partner,5000,5000,5122,122,4.88,3,0.0
noxi,020,expert,self,5000,5050,5009,-41,-1.64,3,0.012058817781507969
noxi,020,expert,self,5000,5050,5007,-43,-1.72,3,0.011698972433805466
noxi,020,expert,self,5000,5050,5006,-44,-1.76,3,0.011533316224813461
noxi,020,expert,self,5000,5100,5100,0,0.0,3,0.011131858453154564
noxi,020,expert,partner,5000,5100,5086,-14,-0.56,3,0.011104505509138107
noxi,020,expert,self,5000,5100,5099,-1,-0.04,3,0.011065894737839699
noxi,020,novice,self,10000,10000,10000,0,0.0,6,0.5091614723205566
noxi,020,novice,partner,10000,10000,10000,0,0.0,6,0.49083849787712097
noxi,020,novice,partner,10000,10000,10122,122,4.88,6,0.0
noxi,020,novice,self,10000,10050,10004,-46,-1.84,6,0.013056661002337933
noxi,020,novice,self,10000,10050,10005,-45,-1.8,6,0.01299840398132801
noxi,020,novice,self,10000,10050,10014,-36,-1.44,6,0.012976722791790962
noxi,020,novice,partner,10000,10100,10051,-49,-1.96,6,0.014352426864206791
noxi,020,novice,partner,10000,10100,10050,-50,-2.0,6,0.014259995892643929
noxi,020,novice,self,10000,10100,10087,-13,-0.52,6,0.013759417459368706
noxi,020,expert,self,10000,10000,10000,0,0.0,6,0.5744291543960571
noxi,020,expert,partner,10000,10000,10000,0,0.0,6,0.4255707859992981
noxi,020,expert,partner,10000,10000,10122,122,4.88,6,0.0
noxi,020,expert,self,10000,10050,10000,-50,-2.0,6,0.012391133233904839
noxi,020,expert,self,10000,10050,10001,-49,-1.96,6,0.012216620147228241
noxi,020,expert,self,10000,10050,10035,-15,-0.6,6,0.011954793706536293
noxi,020,expert,self,10000,10100,10069,-31,-1.24,6,0.01454799622297287
noxi,020,expert,self,10000,10100,10064,-36,-1.44,6,0.014063633978366852
noxi,020,expert,self,10000,10100,10062,-38,-1.52,6,0.013523947447538376
noxi,020,novice,self,15000,15000,15000,0,0.0,9,0.5021719336509705
noxi,020,novice,partner,15000,15000,15000,0,0.0,9,0.49782809615135193
noxi,020,novice,partner,15000,15000,15122,122,4.88,9,0.0
noxi,020,novice,self,15000,15050,15021,-29,-1.16,9,0.015292441472411156
noxi,020,novice,self,15000,15050,15019,-31,-1.24,9,0.014948861673474312
noxi,020,novice,self,15000,15050,15020,-30,-1.2,9,0.014712098985910416
noxi,020,novice,self,15000,15100,15050,-50,-2.0,9,0.01236172765493393
noxi,020,novice,self,15000,15100,15051,-49,-1.96,9,0.01230640709400177
noxi,020,novice,self,15000,15100,15052,-48,-1.92,9,0.012173959985375404
noxi,020,expert,partner,15000,15000,15000,0,0.0,9,0.5215892791748047
noxi,020,expert,self,15000,15000,15000,0,0.0,9,0.4784108102321625
noxi,020,expert,partner,15000,15000,15122,122,4.88,9,0.0
noxi,020,expert,self,15000,15050,15045,-5,-0.2,9,0.013780491426587105
noxi,020,expert,self,15000,15050,15046,-4,-0.16,9,0.01325040403753519
noxi,020,expert,self,15000,15050,15009,-41,-1.64,9,0.013042900711297989
noxi,020,expert,self,15000,15100,15059,-41,-1.64,9,0.012705265544354916
noxi,020,expert,self,15000,15100,15061,-39,-1.56,9,0.01252155564725399
noxi,020,expert,self,15000,15100,15060,-40,-1.6,9,0.012450601905584335
noxi,020,novice,self,16440,16440,16440,0,0.0,9,0.7065237760543823
noxi,020,novice,partner,16440,16440,16440,0,0.0,9,0.2934762239456177
noxi,020,novice,partner,16440,16440,16562,122,4.88,9,0.0
noxi,020,novice,partner,16440,16490,16448,-42,-1.68,9,0.01924879476428032
noxi,020,novice,self,16440,16490,16440,-50,-2.0,9,0.01747468113899231
noxi,020,novice,self,16440,16490,16441,-49,-1.96,9,0.016644153743982315
noxi,020,novice,self,16440,16540,16494,-46,-1.84,9,0.0242794007062912
noxi,020,novice,self,16440,16540,16492,-48,-1.92,9,0.021431850269436836
noxi,020,novice,self,16440,16540,16493,-47,-1.88,9,0.018091637641191483
noxi,020,expert,self,16440,16440,16440,0,0.0,9,0.5906531810760498
noxi,020,expert,partner,16440,16440,16440,0,0.0,9,0.40934687852859497
noxi,020,expert,partner,16440,16440,16562,122,4.88,9,0.0
noxi,020,expert,self,16440,16490,16450,-40,-1.6,9,0.017967985942959785
noxi,020,expert,self,16440,16490,16448,-42,-1.68,9,0.015729032456874847
noxi,020,expert,self,16440,16490,16446,-44,-1.76,9,0.015562218613922596
noxi,020,expert,self,16440,16540,16512,-28,-1.12,9,0.01333514042198658
noxi,020,expert,self,16440,16540,16508,-32,-1.28,9,0.013238892890512943
noxi,020,expert,self,16440,16540,16507,-33,-1.32,9,0.013223866000771523
noxi,028,novice,self,0,0,0,0,0.0,0,0.6889532804489136
noxi,028,novice,partner,0,0,0,0,0.0,0,0.31104665994644165
noxi,028,novice,partner,0,0,122,122,4.88,0,0.0
noxi,028,novice,self,0,50,0,-50,-2.0,0,0.015229867771267891
noxi,028,novice,self,0,50,4,-46,-1.84,0,0.013954605907201767
noxi,028,novice,self,0,50,5,-45,-1.8,0,0.013801507651805878
noxi,028,novice,partner,0,100,79,-21,-0.84,0,0.02132682129740715
noxi,028,novice,self,0,100,100,0,0.0,0,0.020983178168535233
noxi,028,novice,partner,0,100,78,-22,-0.88,0,0.01939178630709648
noxi,028,expert,partner,0,0,0,0,0.0,0,0.5097143650054932
noxi,028,expert,self,0,0,0,0,0.0,0,0.49028563499450684
noxi,028,expert,partner,0,0,122,122,4.88,0,0.0
noxi,028,expert,self,0,50,0,-50,-2.0,0,0.013770543038845062
noxi,028,expert,self,0,50,1,-49,-1.96,0,0.011456085368990898
noxi,028,expert,partner,0,50,3,-47,-1.88,0,0.011331100016832352
noxi,028,expert,self,0,100,79,-21,-0.84,0,0.011622205376625061
