dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,1250,-0.07436016063704806,0.37876429500888187,0.4412498853913764,-0.12684976056019712
noxi,028,1750,-0.017334736187175574,0.3613806928114084,0.43303907816408393,-0.03686615120240121
noxi,029,1500,-0.05026020288479978,0.6465192796890074,0.7006031530485088,-0.36390180358021995
noxi,039,1000,-0.11516180454482335,0.4486180072791176,0.5306089340941876,-0.4343382410978638
noxi,046,1750,-0.04418166853221146,0.5442892357895367,0.6170537776782328,-0.19976507016669334
noxi,055,1500,0.0004300249442739723,0.3503553652711271,0.4445913377911911,0.001071587985966313
noxi,068,1750,-0.021691005582062738,0.573181489381333,0.6298018236428012,-0.13126396531984022
noxi,069,2750,-0.036131944281826825,0.4804248463318773,0.5228312677359694,-0.14226912483044887
noxij,105,1500,-0.06803173437698837,0.5225574503827568,0.5965722905207813,-0.2804452238696813
noxij,110,1500,-0.07017830115175244,0.8398916109300868,0.9991836350830774,-0.3338468052518348
noxij,117,1250,-0.04733098193606624,0.7211522835277777,0.8687665827368598,-0.17995050616351055
noxij,134,1500,-0.05233145269975292,0.672466987448434,0.7611512950519506,-0.3550101248000089
noxij,136,1500,-0.047928042128956606,0.6186719761956095,0.7394052297188565,-0.19260876180925693
noxij,139,1250,-0.07729393199208875,0.6498134294349351,0.7301818178779659,-0.34689796899296843
