predicted_role,source,lag_bin_frames,attention_sum,n_observations,mean_attention
expert,partner,0-0,1187.1395441473846,12850,0.09238440032275366
expert,partner,1-25,936.2743640294202,578250,0.0016191515158312498
expert,partner,251-750,0.0,1662790,0.0
expert,partner,26-75,1881.7058366072824,1156500,0.001627069465289479
expert,partner,76-250,1612.074878259473,3014610,0.0005347540405755548
expert,self,0-0,1471.3447373402887,12850,0.114501535979789
expert,self,1-25,1249.6085296890617,578250,0.0021610177772400548
expert,self,251-750,0.0,1662790,0.0
expert,self,26-75,2440.1688325848986,1156500,0.0021099600800561164
expert,self,76-250,2071.683276389879,3014610,0.0006872143582054989
novice,partner,0-0,1169.315932503684,12850,0.09099734883297152
novice,partner,1-25,939.4926997366053,578250,0.0016247171634009604
novice,partner,251-750,0.0,1662790,0.0
novice,partner,26-75,1872.0800188092737,1156500,0.0016187462332981181
novice,partner,76-250,1602.4954123039506,3014610,0.0005315763605587292
novice,self,0-0,1487.2371722626103,12850,0.1157383013433938
novice,self,1-25,1228.3137674466707,578250,0.002124191556328008
novice,self,251-750,0.0,1662790,0.0
novice,self,26-75,2457.484421228636,1156500,0.0021249324870113587
novice,self,76-250,2093.5805736790935,3014610,0.000694478082962338
