dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,0.04969241940845734,0.397948311458641,0.43239818521882,0.2324242222957281
noxi,028,58398,0.023144318252013504,0.38731311611253655,0.43861741006519667,0.09157676564858161
noxi,029,41132,-0.014375727096858958,0.5189636425312726,0.5599603398877556,-0.1051928692419109
noxi,039,26818,-0.0061732846385342665,0.4781753054145374,0.6029511421663999,-0.0219608112271959
noxi,046,53092,-0.0068217546819035,0.4713201651330272,0.5212705741506805,-0.03476376070887235
noxi,055,44930,0.014349142927203693,0.3911038486106409,0.492058999976856,0.04524800636753754
noxi,068,50530,0.02977971227128238,0.50605866248729,0.5431391631952983,0.18870638975815363
noxi,069,95726,0.030263072774002597,0.4227286368892721,0.453687054899239,0.1702585669434033
noxij,105,41250,-0.001569901162591511,0.5594499723280301,0.5893821560620449,-0.014656036780345872
noxij,110,44300,-0.016032879847001753,0.8427913027662465,0.904300125340134,-0.2068362007501408
noxij,117,31250,-0.00584758129876992,0.6913922306069897,0.730308292185817,-0.060576623056568135
noxij,134,49950,-0.007400944700445242,0.6549168098497984,0.8536984238288047,-0.055898227139475905
noxij,136,43200,-0.005339600335481929,0.625571326061844,0.6932859603301097,-0.05907638945626903
noxij,139,37850,-0.009441173025745408,0.613255895783686,0.6520760195331007,-0.06717602670696826
