dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,-0.047901404227443184,0.39883021105927796,0.500089345632927,-0.1415097840042722
noxi,028,58398,-0.01060524965604896,0.4257908924864629,0.5566613728642013,-0.02605905271096347
noxi,029,41132,-0.027368851365428784,0.4003810436235889,0.5317219791842034,-0.07380630171886036
noxi,039,26818,0.03451618300510258,0.4126163715324081,0.5455833128988844,0.09380328432589291
noxi,046,53092,0.08943178729180946,0.3541221468047716,0.4594943852154142,0.19863490740976464
noxi,055,44930,0.06629230907603949,0.40005631240696493,0.5405777538384793,0.20212958290694993
noxi,068,50530,0.11219331671561243,0.3271628715922652,0.43421992683307387,0.26223980120604384
noxi,069,95726,-0.07271718495855503,0.3969494447493086,0.509296598195389,-0.20399010058525605
noxij,105,41250,-0.0022756832215917655,0.6208214636769377,0.6970298725043222,-0.014437596412165092
noxij,110,44300,-0.0034345686857450435,0.8210325474284327,0.9142784816197516,-0.031232014218808345
noxij,117,31250,-0.01388151658125648,0.675899182105189,0.7720798686612487,-0.09508694181368918
noxij,134,49950,-0.04464086897266676,0.48874550177112697,0.6683035816287827,-0.22493528649054967
noxij,136,43200,-0.011997397983606994,0.5269315379328664,0.6663490181031057,-0.06445676231919169
noxij,139,37850,0.016555757223523537,0.4973304546983141,0.5902085537407984,0.04622389601316227
