dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,0.11925161236179106,0.34700746621274087,0.44184590409095276,0.24127466966290909
noxi,028,58398,0.04888415465608997,0.4804526745189744,0.5890822223032292,0.10007496020619579
noxi,029,41132,0.034186316938025485,0.3994144667244514,0.5236623349000276,0.06396881779111081
noxi,039,26818,0.17536965477699304,0.36700270679552965,0.5336323149800751,0.3715426229576808
noxi,046,53092,0.14023053682464062,0.2997832313735545,0.42154408002976207,0.21832982774011744
noxi,055,44930,0.10546730602754573,0.3717498600340654,0.494864698231127,0.2379180268976601
noxi,068,50530,0.11931323666458096,0.36457366253732565,0.4772910311320576,0.23757063718743898
noxi,069,95726,0.21066795384452228,0.29190738478453526,0.4166914790107829,0.3855562373654682
noxij,105,41250,0.07109005054504283,0.40525086311721137,0.5184013680940802,0.21058254577041183
noxij,110,44300,0.018166322876152524,0.7130789664588684,0.8330509271862451,0.12037261729978303
noxij,117,31250,0.047279134460746476,0.46643330260996707,0.5781088167191901,0.14373427974736275
noxij,134,49950,-0.001107142944090548,0.3318660740629624,0.7456663483357238,-0.005268018844984259
noxij,136,43200,0.009865438401651062,0.36620574044713133,0.4966199907391328,0.03826435422827494
noxij,139,37850,0.11241775728481329,0.3369141818410105,0.4394317941797503,0.1698744714425781
