dataset,session_id,role,n_frames,mean_gate,std_gate
noxi,020,expert,65000,0.4297025564166216,0.10111914017648639
noxi,020,novice,65000,0.7306703411340714,0.08232372541047656
noxi,028,expert,115500,0.48435381832435015,0.06939320538156962
noxi,028,novice,115500,0.6911746644277077,0.07752912397548248
noxi,029,expert,81000,0.4924091746282798,0.07153400465799994
noxi,029,novice,81000,0.6808388842723252,0.07096286931314069
noxi,039,expert,52500,0.4447913303633531,0.07810485571132751
noxi,039,novice,52500,0.7310488331686883,0.07490147710583062
noxi,046,expert,105000,0.41345673985250647,0.08269594904960399
noxi,046,novice,105000,0.7345951549484616,0.06776230007454867
noxi,055,expert,88500,0.4575982941140731,0.08123255462663662
noxi,055,novice,88500,0.683910315454387,0.08155538345854038
noxi,068,expert,100000,0.4496670992088527,0.06589418918886067
noxi,068,novice,100000,0.7014032074445486,0.06440846697756714
noxi,069,expert,190000,0.39150281019822547,0.07625605963632068
noxi,069,novice,190000,0.7561483273622237,0.07121934476237923
noxij,105,expert,81000,0.4304617113032045,0.0858247003669283
noxij,105,novice,81000,0.7822394078701367,0.07105567353822442
noxij,110,expert,87500,0.5115351161447593,0.0866713203196389
noxij,110,novice,87500,0.7026739464342594,0.09702113013896484
noxij,117,expert,61000,0.47069138706524355,0.09201690244636372
noxij,117,novice,61000,0.733992641526137,0.09841175308082814
noxij,134,expert,98500,0.5553888964377685,0.08121831062408477
noxij,134,novice,98500,0.6536308000117238,0.07301723146640765
noxij,136,expert,85000,0.560640319008424,0.08458961181699276
noxij,136,novice,85000,0.6209936345135464,0.08392732904773596
noxij,139,expert,74500,0.4493742744264057,0.09493251274470324
noxij,139,novice,74500,0.7422388823620425,0.09227865958621133
