dataset,session_id,role,frame_idx,time_seconds,session_phase_decile,gate
noxi,020,novice,0,0.0,0,0.7823785543441772
noxi,020,novice,250,10.0,0,0.7365460991859436
noxi,020,expert,0,0.0,0,0.5932426452636719
noxi,020,expert,250,10.0,0,0.5059919953346252
noxi,020,novice,125,5.0,0,0.7079440355300903
noxi,020,novice,375,15.0,0,0.6012192368507385
noxi,020,expert,125,5.0,0,0.45434120297431946
noxi,020,expert,375,15.0,0,0.40170586109161377
noxi,020,novice,250,10.0,0,0.7184595465660095
noxi,020,novice,500,20.0,0,0.8095658421516418
noxi,020,expert,250,10.0,0,0.48950305581092834
noxi,020,expert,500,20.0,0,0.550380527973175
noxi,020,novice,375,15.0,0,0.6966793537139893
noxi,020,novice,625,25.0,0,0.763146698474884
noxi,020,expert,375,15.0,0,0.48033595085144043
noxi,020,expert,625,25.0,0,0.41404613852500916
noxi,020,novice,500,20.0,0,0.717082679271698
noxi,020,novice,750,30.0,0,0.8230048418045044
noxi,020,expert,500,20.0,0,0.5108779668807983
noxi,020,expert,750,30.0,0,0.2970142662525177
noxi,020,novice,625,25.0,0,0.6566809415817261
noxi,020,novice,875,35.0,0,0.7557185292243958
noxi,020,expert,625,25.0,0,0.4646078050136566
noxi,020,expert,875,35.0,0,0.4098873734474182
noxi,020,novice,750,30.0,0,0.7302595973014832
noxi,020,novice,1000,40.0,0,0.7286689877510071
noxi,020,expert,750,30.0,0,0.4886515140533447
noxi,020,expert,1000,40.0,0,0.3778333067893982
noxi,020,novice,875,35.0,0,0.6888076663017273
noxi,020,novice,1125,45.0,0,0.7154991626739502
noxi,020,expert,875,35.0,0,0.5204540491104126
noxi,020,expert,1125,45.0,0,0.4036575257778168
noxi,020,novice,1000,40.0,0,0.7110499143600464
noxi,020,novice,1250,50.0,0,0.7778602838516235
noxi,020,expert,1000,40.0,0,0.49488550424575806
noxi,020,expert,1250,50.0,0,0.4103687107563019
noxi,020,novice,1125,45.0,0,0.6180992126464844
noxi,020,novice,1375,55.0,0,0.7242562174797058
noxi,020,expert,1125,45.0,0,0.4524724781513214
noxi,020,expert,1375,55.0,0,0.3667769730091095
noxi,020,novice,1250,50.0,0,0.648974597454071
noxi,020,novice,1500,60.0,0,0.64568692445755
noxi,020,expert,1250,50.0,0,0.4793488681316376
noxi,020,expert,1500,60.0,0,0.3272865116596222
noxi,020,novice,1375,55.0,0,0.6722490787506104
noxi,020,novice,1625,65.0,0,0.7954615354537964
noxi,020,expert,1375,55.0,0,0.5071088671684265
noxi,020,expert,1625,65.0,0,0.43221649527549744
noxi,020,novice,1500,60.0,0,0.5695156455039978
noxi,020,novice,1750,70.0,1,0.7431809306144714
noxi,020,expert,1500,60.0,0,0.3699403405189514
noxi,020,expert,1750,70.0,1,0.36803123354911804
noxi,020,novice,1625,65.0,0,0.6890019178390503
noxi,020,novice,1875,75.0,1,0.7943503260612488
noxi,020,expert,1625,65.0,0,0.5216091871261597
