dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,0.12739002148989687,0.27372572303955245,0.3876663256267777,0.22929141285881077
noxi,028,58398,0.07379657833950046,0.26871995553543826,0.36158938849945005,0.09726744821123338
noxi,029,41132,0.07863991325755226,0.2630426796357164,0.33719152476716663,0.1059824307871224
noxi,039,26818,0.07644774221458049,0.23640444195481844,0.39444330351045864,0.11631871970114221
noxi,046,53092,0.15446133355681385,0.23503911704680122,0.3362128970770447,0.196831236762307
noxi,055,44930,0.10429131824850887,0.32225788410006223,0.44221217719716865,0.19990927435581737
noxi,068,50530,0.23748792682497696,0.25008616673625755,0.33327937478653863,0.3710575040187984
noxi,069,95726,0.1691144609084665,0.1899983306246134,0.28798695634604743,0.224027804789985
noxij,105,41250,0.047722241058107046,0.3129601643144887,0.3773829073671861,0.10432176020833082
noxij,110,44300,0.07962751050285323,0.5179500950387488,0.6375619278042299,0.3148607364522872
noxij,117,31250,0.04572764768395528,0.3943512979787078,0.47861435461035434,0.12796647684859505
noxij,134,49950,0.03600007451122444,0.5076924488758169,0.791317057068712,0.1905323958883431
noxij,136,43200,0.011129879720043513,0.5951465678094825,0.7071197746801282,0.05535094291262466
noxij,139,37850,0.020304925137780577,0.3791388003151083,0.4771014983766324,0.035633900374795066
