dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,0.11472137809002093,0.26991879400475305,0.3575998976300133,0.2000188530570227
noxi,028,58398,0.1488511199259294,0.3508970411017998,0.44979461988219904,0.29990729608538
noxi,029,41132,0.09636605172839062,0.4105287499676871,0.5069285384318583,0.24590512106879428
noxi,039,26818,0.21806470681390913,0.2815482884052351,0.43367853768176584,0.4021454358778055
noxi,046,53092,0.24679415293926257,0.2855761942820009,0.3856923616687601,0.3747763823718079
noxi,055,44930,0.10841911257275794,0.3239755408108363,0.46662121849242005,0.23865173926165426
noxi,068,50530,0.1744223367042447,0.38754344268040536,0.4962425559187873,0.4651070536554731
noxi,069,95726,0.10431545964209425,0.252536919906602,0.3471605641241995,0.16673404710537507
noxij,105,41250,-0.026520223716526632,0.2918270237275106,0.3890380454640084,-0.045416175109673926
noxij,110,44300,-0.01201798055585835,0.7650918095519943,0.8797620983374256,-0.09155435189456489
noxij,117,31250,0.013043852118604139,0.4071253416458005,0.5101593971295284,0.03972180355321537
noxij,134,49950,0.021693179169562902,0.4862818700483436,0.8349606464937976,0.12849642897385657
noxij,136,43200,0.003060582532528442,0.5572469501787907,0.7276432416274915,0.019239509674083787
noxij,139,37850,0.07255757191534705,0.34061404911155474,0.43466287454983843,0.1179504848557639
