dataset,session_id,role,n_frames,ccc,mae,rmse,pearson
noxi,020,expert,16565,0.0008894664633955342,1.1806293637914975,1.2162212653069708,0.020238841645035484
noxi,020,novice,16565,-0.000757520393282777,1.1266790091415726,1.1729371807725888,-0.023492118578913795
noxi,028,expert,29199,0.028928754562517242,0.9376422607847662,0.9697801113051071,0.36507372349381306
noxi,028,novice,29199,0.020857589187800944,1.0054652469702525,1.0571035524404981,0.24154748396544085
noxi,029,expert,20566,0.0066665369024391675,0.9646896769031345,0.9935615205048719,0.11588938279092673
noxi,029,novice,20566,0.016181488296482263,1.1956232499710064,1.2396184254014322,0.24199403546152923
noxi,039,expert,13409,0.007226488508968924,1.0943687402016467,1.1829145146541282,0.10559493732835293
noxi,039,novice,13409,0.0008076992154391366,1.0324912998885807,1.064248469081334,0.020010326855410605
noxi,046,expert,26546,0.0034900173640998893,1.1432170885062003,1.1794361704043883,0.06450085317848414
noxi,046,novice,26546,-0.00013290951974517093,1.1493366596932566,1.1952364035517118,-0.002531395100132333
noxi,055,expert,22465,0.008085303004472806,1.0586634413891634,1.0885885224869885,0.17916110924573894
noxi,055,novice,22465,0.00854899575968371,1.129964235768878,1.2243823339751583,0.1211539381939066
noxi,068,expert,25265,0.0013460708435834123,1.1922626664376539,1.2212250998104213,0.0469805480038392
noxi,068,novice,25265,0.009366673261073311,1.2067372012733673,1.237863834503689,0.2990240443293719
noxi,069,expert,47863,0.00044268919878806594,1.1565109324341727,1.1821801761696156,0.013138396734722212
noxi,069,novice,47863,0.00033044077214623203,1.0919716288128247,1.1466320457459427,0.007307945323085813
noxij,105,expert,20625,0.003365024409521448,1.1132357413891991,1.1567067269892741,0.0801180792007122
noxij,105,novice,20625,0.001336852947376609,1.2822555050848539,1.3240878316152391,0.03114958875497083
noxij,110,expert,22150,0.0012654415574548258,1.2452200586737567,1.3042878018169102,0.02941434855103096
noxij,110,novice,22150,0.0029176801296315028,1.2083344223191155,1.3044108075168959,0.05271483409309046
noxij,117,expert,15625,0.0019142082305253195,1.108050250418907,1.16848895444442,0.03731926089943335
noxij,117,novice,15625,0.0015063997231085087,1.303773250295922,1.3542449126308538,0.03261602219871263
noxij,134,expert,24975,0.0026067006187969278,1.1606261596702494,1.319478978528323,0.06189829287752766
noxij,134,novice,24975,0.0048026505715958005,1.7246225271594,1.7634884665438684,0.21774932798913024
noxij,136,expert,21600,0.002556027997780391,1.0361396558419047,1.107319617028392,0.053710193495634176
noxij,136,novice,21600,0.0006371864448565166,1.7274091610659323,1.777975524758572,0.03439962204477134
noxij,139,expert,18925,0.010141200488168831,1.1534696158011923,1.2231396984126781,0.11787847349939759
noxij,139,novice,18925,0.0018128974737848856,1.3781276640533704,1.4307071740363668,0.031778330319657745
