dataset,session_id,role,n_frames,ccc,mae,rmse,pearson
noxi,020,expert,16565,-0.12667694536536886,0.424944032063534,0.51898716042731,-0.28842666781591336
noxi,020,novice,16565,-0.04580995977705174,0.34880887354363443,0.437123095779042,-0.155729338900509
noxi,028,expert,29199,-0.01092550856949874,0.3583584445462949,0.4430859820628845,-0.022468420723276254
noxi,028,novice,29199,-0.042607721376715126,0.39995278807791307,0.4931407958747556,-0.09714798533893367
noxi,029,expert,20566,-0.006959058117001704,0.3173918873500968,0.3971579196639024,-0.01260279486677547
noxi,029,novice,20566,-0.02788087662164743,0.40964573623017847,0.5142318516767863,-0.06365787370792206
noxi,039,expert,13409,-0.09859161147530718,0.33176442637852893,0.4104585265285072,-0.1938589328575366
noxi,039,novice,13409,-0.01431585566977448,0.32921986758986216,0.40233277037944243,-0.038990096924965745
noxi,046,expert,26546,-0.0034672749461372486,0.3205384027901825,0.4008997926649664,-0.005265386692114591
noxi,046,novice,26546,0.01700130985417431,0.3163345463252639,0.38941429189279686,0.03586875272261785
noxi,055,expert,22465,-0.027393756225575914,0.3000281916590913,0.37123902227402716,-0.051410857103329356
noxi,055,novice,22465,-0.010745579130540523,0.5410083221025382,0.6564548109839833,-0.04902361133896013
noxi,068,expert,25265,-0.040058362251669734,0.2730939034905595,0.3423429507969412,-0.0826774779856543
noxi,068,novice,25265,-0.04539565931755095,0.3624858418138587,0.4397202854383431,-0.16294891139053513
noxi,069,expert,47863,-0.08445474586117897,0.5078463858037303,0.5962452642052234,-0.29703461102267625
noxi,069,novice,47863,-0.007252022338575899,0.2951974463418224,0.3632652653351105,-0.017405912148385345
noxij,105,expert,20625,0.0004512511236056108,0.332148369077119,0.41240772392160685,0.0011554132296757432
noxij,105,novice,20625,-0.0087385688359521,0.32004948046984094,0.40075958415317686,-0.016235302061882624
noxij,110,expert,22150,0.02110262697656795,0.2759466931629194,0.3490541247314972,0.04079998474513998
noxij,110,novice,22150,0.045638675112197595,0.452511233966251,0.5537344921890966,0.1741089024035074
noxij,117,expert,15625,-0.0025310423194779517,0.34402451945400236,0.4243155144399611,-0.006162450716531281
noxij,117,novice,15625,0.05093372579364922,0.2971059329791069,0.37081206237373476,0.08530363693920132
noxij,134,expert,24975,0.002821081175419708,0.29490170512881664,0.3683022603953317,0.009843124803914815
noxij,134,novice,24975,-0.0014727360140755227,0.25476340240350476,0.3221333179482059,-0.002805999829180612
noxij,136,expert,21600,0.03630113255992654,0.24722035500686615,0.31325215816838464,0.08030605967545092
noxij,136,novice,21600,-0.01782979156170775,0.2935796420191656,0.36896760958178393,-0.05464516165943616
noxij,139,expert,18925,0.10380263303089517,0.30829109919955033,0.38374718538117203,0.14281877122219486
noxij,139,novice,18925,-0.08709548319536897,0.3620036169658249,0.45468501177926923,-0.13465651793116112
