dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,0.31587747004559064,0.10809754153496846,0.12798118665703284,0.6532741951611256
noxi,028,58398,0.1495242426247152,0.17554392414745792,0.20518346524065503,0.49165270342425343
noxi,029,41132,0.1703212550777513,0.11979216987209716,0.15589026866025046,0.30111106801417287
noxi,039,26818,0.3438013296233409,0.11313874832348166,0.14020029560094524,0.7662285509581018
noxi,046,53092,0.3615557526090918,0.11891559454167086,0.14559767207472993,0.6266205057002459
noxi,055,44930,0.264857541926472,0.1312855849660031,0.1537273742190076,0.5933165220824287
noxi,068,50530,0.5429081632061397,0.08498131236846249,0.10263310197250719,0.844022640672604
noxi,069,95726,0.4424169312142379,0.08791120413372004,0.11458594968140925,0.6893643138574688
noxij,105,41250,0.30035152155496814,0.09061947849410953,0.11645521112921363,0.4356232839368097
noxij,110,44300,0.06858407783809062,0.22437006620198285,0.23120802813005983,0.4331575924380642
noxij,117,31250,0.11568502827840428,0.13063514060497283,0.15032105811428947,0.32668887678936026
noxij,134,49950,0.13463471028873314,0.1547392736021821,0.16867442909667696,0.4046605385788689
noxij,136,43200,0.024065024007787865,0.13921709284220857,0.15789167238671187,0.06097917459976626
noxij,139,37850,0.0830871197247092,0.1640718806759409,0.18729370691747613,0.1842205079191311
