dataset,session_id,role,n_frames,ccc,mae,rmse,pearson
noxi,020,expert,16565,0.02000669175211171,0.10183417243475965,0.1314460045920815,0.36765148286805616
noxi,020,novice,16565,0.01952060034226353,0.17188273844692306,0.18278267865687814,0.3277320040177625
noxi,028,expert,29199,0.0876384542840954,0.15235357096448018,0.1893559160029443,0.5476534637806023
noxi,028,novice,29199,0.0706605863963119,0.22954524652533892,0.2534143574422877,0.6848976592628249
noxi,029,expert,20566,0.01254862100653694,0.1155106674122269,0.15292834973311978,0.14278047127910404
noxi,029,novice,20566,0.028651036704175573,0.1415073550974208,0.17770918981772177,0.32242614225018834
noxi,039,expert,13409,0.09840108771622859,0.0763936106595375,0.09978749602241983,0.48407465529482097
noxi,039,novice,13409,0.016718391719332305,0.19496077586147922,0.21340981435549658,0.3516946547724512
noxi,046,expert,26546,0.07249146652138734,0.1108990290582083,0.13993173700336467,0.39447576289997593
noxi,046,novice,26546,0.02290865184034852,0.16379127084130712,0.18434558933327563,0.4372032652470009
noxi,055,expert,22465,0.12311441852223931,0.10608539016693068,0.13029527724993376,0.6689095713964648
noxi,055,novice,22465,0.05038051346608389,0.19432907461238688,0.2109295110832577,0.4425689542287695
noxi,068,expert,25265,0.1638775335358975,0.06958098830078324,0.08519712820693952,0.5459230443149635
noxi,068,novice,25265,0.027993496384297347,0.14373602018824855,0.16066947211311283,0.6246571479195975
noxi,069,expert,47863,0.1572452304957826,0.07020601177703258,0.09731801825781843,0.5670522862990086
noxi,069,novice,47863,0.023085939679595307,0.14473102807410945,0.16348218283735252,0.2509103538087172
noxij,105,expert,20625,0.010237409455630609,0.09545264988812534,0.11645852984904347,0.12065139540085588
noxij,105,novice,20625,0.006795074199266522,0.0764607856165279,0.12206500044256915,0.04302154084477515
noxij,110,expert,22150,0.004665806775895911,0.24808891088914117,0.2527553566528916,0.3570604654234713
noxij,110,novice,22150,0.0014215438714730608,0.17090769086680616,0.18152956583531807,0.06671112008609806
noxij,117,expert,15625,0.004994462316369014,0.14483738282203673,0.16135877886203348,0.15448533262536643
noxij,117,novice,15625,0.05799987743238746,0.10251119186782837,0.13323428941319185,0.3065067906945253
noxij,134,expert,24975,0.003384166926718384,0.14200223094469552,0.14821421766311124,0.10188091981157991
noxij,134,novice,24975,0.056918218623610795,0.14382863598662216,0.15669477271243015,0.3866770888952764
noxij,136,expert,21600,-0.01238494314591654,0.11564424730423424,0.12375001774731514,-0.3620307801001626
noxij,136,novice,21600,-0.008522507710234894,0.14666603986518803,0.15421421351814735,-0.06736292628081698
noxij,139,expert,18925,0.006220768813760412,0.1694900236557308,0.18810329438056567,0.21876723408515453
noxij,139,novice,18925,-0.008282974902269837,0.1553431313519355,0.18378780468627107,-0.048782019302351834
