dataset,session_id,role,model_split,feature_set,required_streams,status,reason,missing_streams,included_streams,n_features,aligned_len
noxi,001,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26642
noxi,001,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26642
noxi,003,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,19037
noxi,003,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,19037
noxi,013,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,33872
noxi,013,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,33872
noxi,020,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16565
noxi,020,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16565
noxi,021,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21641
noxi,021,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21641
noxi,022,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26447
noxi,022,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26447
noxi,023,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,30874
noxi,023,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,30874
noxi,026,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,18082
noxi,026,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,18082
noxi,027,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16749
noxi,027,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16749
noxi,028,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,29199
noxi,028,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,29199
noxi,029,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,20566
noxi,029,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,20566
noxi,030,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16320
noxi,030,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16320
noxi,031,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,23888
noxi,031,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,23888
noxi,038,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17700
noxi,038,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17701
noxi,039,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,13409
noxi,039,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,13409
noxi,040,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26896
noxi,040,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26896
noxi,042,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,18572
