dataset,session_id,role,model_split,feature_set,sample_rate_hz,tensor_relative_path,included_streams,stream_dims,stream_source_rates,stream_alignment_methods,n_features,aligned_len,target_n_values,target_valid_count,target_nan_count,dropped_target_tail_frames
noxi,001,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/001/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26642,26644,26642,0,2
noxi,001,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/001/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26642,26645,26642,0,3
noxi,003,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/003/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,19037,19039,19037,0,2
noxi,003,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/003/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,19037,19039,19037,0,2
noxi,013,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/013/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,33872,33874,33872,0,2
noxi,013,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/013/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,33872,33874,33872,0,2
noxi,020,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/020/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16565,16566,16565,0,1
noxi,020,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/020/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16565,16566,16565,0,1
noxi,021,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/021/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,21641,21642,21641,0,1
noxi,021,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/021/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,21641,21642,21641,0,1
noxi,022,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/022/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26447,26449,26447,0,2
noxi,022,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/022/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26447,26449,26447,0,2
noxi,023,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/023/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,30874,30876,30874,0,2
noxi,023,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/023/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,30874,30876,30874,0,2
noxi,026,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/026/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,18082,18083,18051,31,1
noxi,026,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/026/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,18082,18083,18051,31,1
noxi,027,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/027/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16749,16750,16749,0,1
noxi,027,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/027/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16749,16750,16749,0,1
noxi,028,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/028/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,29199,29201,29199,0,2
noxi,028,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/028/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,29199,29201,29199,0,2
noxi,029,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/029/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,20566,20568,20566,0,2
noxi,029,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/029/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,20566,20568,20566,0,2
noxi,030,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/030/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16320,16322,16320,0,2
noxi,030,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/030/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16320,16322,16320,0,2
noxi,031,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/031/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,23888,23889,23888,0,1
noxi,031,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/031/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,23888,23889,23851,37,1
noxi,038,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/038/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,17700,17702,17700,0,2
noxi,038,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/038/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,17701,17702,17701,0,1
noxi,039,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/039/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,13409,13412,13409,0,3
noxi,039,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/039/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,13409,13412,13409,0,3
noxi,040,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/040/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26896,26900,26896,0,4
noxi,040,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/040/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26896,26900,26896,0,4
noxi,042,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/042/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,18572,18576,18572,0,4
noxi,042,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/042/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,18572,18576,18572,0,4
noxi,043,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/043/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16000,16005,16000,0,5
noxi,043,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/043/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,16000,16005,16000,0,5
noxi,044,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/044/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,31191,31194,31191,0,3
noxi,044,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/044/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,31191,31194,31191,0,3
noxi,045,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/045/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,42840,42841,42840,0,1
noxi,045,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/045/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,42840,42841,42840,0,1
noxi,046,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/046/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26546,26548,26546,0,2
noxi,046,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/046/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,26546,26548,26546,0,2
noxi,047,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/047/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,32606,32607,32606,0,1
noxi,047,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/047/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,32606,32607,32606,0,1
noxi,048,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/048/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,25813,25815,25813,0,2
noxi,048,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/048/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,25813,25815,25813,0,2
noxi,049,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/049/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,32271,32274,32271,0,3
noxi,049,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/049/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,32271,32274,32271,0,3
noxi,050,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/050/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,35067,35069,35067,0,2
noxi,050,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/050/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,35067,35069,35067,0,2
noxi,052,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/052/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,14860,14861,14860,0,1
noxi,052,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/052/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,14860,14861,14860,0,1
noxi,055,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/055/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,22465,22467,22465,0,2
noxi,055,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/055/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,22465,22467,22465,0,2
noxi,056,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/056/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,21796,21797,21796,0,1
noxi,056,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/056/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,21796,21797,21796,0,1
noxi,057,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/057/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,25126,25128,25126,0,2
noxi,057,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/057/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,25127,25128,25127,0,1
noxi,064,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/064/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,17229,17232,17229,0,3
noxi,064,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/064/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,17229,17232,17229,0,3
noxi,066,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/066/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,28512,28513,28512,0,1
noxi,066,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/066/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,28512,28513,28512,0,1
noxi,067,expert,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/067/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,47667,47669,47667,0,2
noxi,067,novice,train_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/067/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,47667,47669,47667,0,2
noxi,068,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/068/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,25265,25267,25265,0,2
noxi,068,novice,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/068/novice.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,25265,25267,25265,0,2
noxi,069,expert,val_internal,audio_egemaps,25.000,processed/audio_egemaps_25hz/noxi/069/expert.audio_egemaps.25hz.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,88,47863,47866,47863,0,3
