dataset,session_id,role,model_split,feature_set,sample_rate_hz,tensor_relative_path,included_streams,stream_dims,stream_source_rates,stream_alignment_methods,n_features,aligned_len,target_n_values,target_valid_count,target_nan_count,dropped_target_tail_frames,transform_method,transform_scope,transform_suffix,source_tensor_relative_path,normalizer_path,reducer_path,variance_path
noxi,001,expert,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/001/expert.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,26642,26644,26642,0,2,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/001/expert.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv
noxi,001,novice,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/001/novice.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,26642,26645,26642,0,3,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/001/novice.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv
noxi,003,expert,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/003/expert.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,19037,19039,19037,0,2,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/003/expert.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv
noxi,003,novice,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/003/novice.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,19037,19039,19037,0,2,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/003/novice.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv
noxi,013,expert,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/013/expert.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,33872,33874,33872,0,2,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/013/expert.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv
noxi,013,novice,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/013/novice.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,33872,33874,33872,0,2,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/013/novice.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv
noxi,020,expert,val_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/020/expert.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,16565,16566,16565,0,1,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/020/expert.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv
noxi,020,novice,val_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/020/novice.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,16565,16566,16565,0,1,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/020/novice.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv
noxi,021,expert,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/021/expert.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,21641,21642,21641,0,1,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/021/expert.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv
noxi,021,novice,train_internal,audio_egemaps,25.000,processed/transformed/audio_egemaps_pca8_by_role/noxi/021/novice.audio_egemaps.pca8_by_role.npz,audio.egemapsv2,88,25.000,audio.egemapsv2:truncate_frame_count_close,8,21641,21642,21641,0,1,pca,role_specific,pca8_by_role,processed/audio_egemaps_25hz/noxi/021/novice.audio_egemaps.25hz.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl,outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv
