dataset,session_id,model_split,feature_set,transform_method,transform_scope,transform_suffix,tensor_relative_path,source_novice_tensor_relative_path,source_expert_tensor_relative_path,role_order,n_features_per_role,n_features,aligned_len,role_frame_count_diff,novice_target_valid_count,expert_target_valid_count,metadata_json
noxi,001,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/001/001.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/001/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/001/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,26642,0,26642,26642,"{""expert"": {""aligned_len"": ""26642"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""001"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/001/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""26644"", ""target_nan_count"": ""0"", ""target_valid_count"": ""26642"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""26642"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""3"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""001"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/001/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""26645"", ""target_nan_count"": ""0"", ""target_valid_count"": ""26642"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,003,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/003/003.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/003/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/003/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,19037,0,19037,19037,"{""expert"": {""aligned_len"": ""19037"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""003"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/003/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""19039"", ""target_nan_count"": ""0"", ""target_valid_count"": ""19037"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""19037"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""003"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/003/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""19039"", ""target_nan_count"": ""0"", ""target_valid_count"": ""19037"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,013,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/013/013.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/013/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/013/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,33872,0,33872,33872,"{""expert"": {""aligned_len"": ""33872"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""013"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/013/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""33874"", ""target_nan_count"": ""0"", ""target_valid_count"": ""33872"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""33872"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""013"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/013/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""33874"", ""target_nan_count"": ""0"", ""target_valid_count"": ""33872"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,020,val_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/020/020.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/020/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/020/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,16565,0,16565,16565,"{""expert"": {""aligned_len"": ""16565"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""val_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""020"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/020/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""16566"", ""target_nan_count"": ""0"", ""target_valid_count"": ""16565"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""16565"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""val_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""020"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/020/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""16566"", ""target_nan_count"": ""0"", ""target_valid_count"": ""16565"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,021,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/021/021.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/021/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/021/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,21641,0,21641,21641,"{""expert"": {""aligned_len"": ""21641"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""021"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/021/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""21642"", ""target_nan_count"": ""0"", ""target_valid_count"": ""21641"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""21641"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""021"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/021/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""21642"", ""target_nan_count"": ""0"", ""target_valid_count"": ""21641"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,022,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/022/022.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/022/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/022/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,26447,0,26447,26447,"{""expert"": {""aligned_len"": ""26447"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""022"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/022/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""26449"", ""target_nan_count"": ""0"", ""target_valid_count"": ""26447"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""26447"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""022"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/022/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""26449"", ""target_nan_count"": ""0"", ""target_valid_count"": ""26447"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,023,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/023/023.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/023/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/023/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,30874,0,30874,30874,"{""expert"": {""aligned_len"": ""30874"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""023"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/023/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""30876"", ""target_nan_count"": ""0"", ""target_valid_count"": ""30874"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""30874"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""023"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/023/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""30876"", ""target_nan_count"": ""0"", ""target_valid_count"": ""30874"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,026,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/026/026.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/026/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/026/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,18082,0,18051,18051,"{""expert"": {""aligned_len"": ""18082"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""026"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/026/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""18083"", ""target_nan_count"": ""31"", ""target_valid_count"": ""18051"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""18082"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""026"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/026/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""18083"", ""target_nan_count"": ""31"", ""target_valid_count"": ""18051"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,027,train_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/027/027.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/027/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/027/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,16749,0,16749,16749,"{""expert"": {""aligned_len"": ""16749"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""027"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/027/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""16750"", ""target_nan_count"": ""0"", ""target_valid_count"": ""16749"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""16749"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""1"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""train_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""027"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/027/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""16750"", ""target_nan_count"": ""0"", ""target_valid_count"": ""16749"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
noxi,028,val_internal,audio_egemaps,pca,role_specific,pca8_by_role,processed/dyadic/audio_egemaps_pca8_by_role_dyadic/noxi/028/028.audio_egemaps_pca8_by_role_dyadic.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/028/novice.audio_egemaps.pca8_by_role.npz,processed/transformed/audio_egemaps_pca8_by_role/noxi/028/expert.audio_egemaps.pca8_by_role.npz,novice;expert,8,16,29199,0,29199,29199,"{""expert"": {""aligned_len"": ""29199"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""val_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca.pkl"", ""role"": ""expert"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""028"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/028/expert.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""29201"", ""target_nan_count"": ""0"", ""target_valid_count"": ""29199"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/expert/pca_explained_variance.csv""}, ""novice"": {""aligned_len"": ""29199"", ""dataset"": ""noxi"", ""dropped_target_tail_frames"": ""2"", ""feature_set"": ""audio_egemaps"", ""included_streams"": ""audio.egemapsv2"", ""model_split"": ""val_internal"", ""n_features"": ""8"", ""normalizer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/normalizer.npz"", ""reducer_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca.pkl"", ""role"": ""novice"", ""sample_rate_hz"": ""25.000"", ""session_id"": ""028"", ""source_tensor_relative_path"": ""processed/audio_egemaps_25hz/noxi/028/novice.audio_egemaps.25hz.npz"", ""stream_alignment_methods"": ""audio.egemapsv2:truncate_frame_count_close"", ""stream_dims"": ""88"", ""stream_source_rates"": ""25.000"", ""target_n_values"": ""29201"", ""target_nan_count"": ""0"", ""target_valid_count"": ""29199"", ""transform_method"": ""pca"", ""transform_scope"": ""role_specific"", ""transform_suffix"": ""pca8_by_role"", ""variance_path"": ""outputs/transforms/audio_egemaps_pca8_by_role/novice/pca_explained_variance.csv""}}"
