split,color,task,vote_signature,count
train-cc,purple,social_engagement,associative | cooperative,8365
train-cc,purple,social_engagement,associative | nan,7684
train-cc,purple,social_engagement,associative | parallel,18658
train-cc,purple,social_engagement,associative | solitary,2989
train-cc,purple,social_engagement,cooperative | nan,2834
train-cc,purple,social_engagement,cooperative | parallel,2983
train-cc,purple,social_engagement,cooperative | solitary,476
train-cc,purple,social_engagement,nan | onlooker,8715
train-cc,purple,social_engagement,nan | parallel,7716
train-cc,purple,social_engagement,nan | solitary,8258
train-cc,purple,social_engagement,onlooker | parallel,119
train-cc,purple,social_engagement,onlooker | solitary,1602
train-cc,purple,social_engagement,parallel | solitary,1929
train-cc,purple,task_engagement,adultseeking | aimless,738
train-cc,purple,task_engagement,adultseeking | goaloriented,448
train-cc,purple,task_engagement,adultseeking | nan,1307
train-cc,purple,task_engagement,adultseeking | noplay,2028
train-cc,purple,task_engagement,aimless | goaloriented,12801
train-cc,purple,task_engagement,aimless | nan,348
train-cc,purple,task_engagement,aimless | noplay,4878
train-cc,purple,task_engagement,goaloriented | nan,18521
train-cc,purple,task_engagement,goaloriented | noplay,7100
train-cc,purple,task_engagement,nan | noplay,15031
train-cc,yellow,social_engagement,associative | cooperative,4849
train-cc,yellow,social_engagement,associative | nan,10104
train-cc,yellow,social_engagement,associative | onlooker,5620
train-cc,yellow,social_engagement,associative | parallel,14958
train-cc,yellow,social_engagement,associative | solitary,4017
train-cc,yellow,social_engagement,cooperative | nan,3755
train-cc,yellow,social_engagement,cooperative | onlooker,755
train-cc,yellow,social_engagement,cooperative | parallel,2645
train-cc,yellow,social_engagement,cooperative | solitary,936
train-cc,yellow,social_engagement,nan | onlooker,6725
train-cc,yellow,social_engagement,nan | parallel,7625
train-cc,yellow,social_engagement,nan | solitary,6375
train-cc,yellow,social_engagement,onlooker | parallel,1408
train-cc,yellow,social_engagement,onlooker | solitary,1548
train-cc,yellow,social_engagement,parallel | solitary,1089
train-cc,yellow,task_engagement,adultseeking | aimless,186
train-cc,yellow,task_engagement,adultseeking | nan,1524
train-cc,yellow,task_engagement,adultseeking | noplay,153
train-cc,yellow,task_engagement,aimless | goaloriented,18006
train-cc,yellow,task_engagement,aimless | nan,1487
train-cc,yellow,task_engagement,aimless | noplay,4415
train-cc,yellow,task_engagement,goaloriented | nan,19135
train-cc,yellow,task_engagement,goaloriented | noplay,5013
train-cc,yellow,task_engagement,nan | noplay,13061
