split,color,task,label,count
train-cc,purple,social_engagement,associative,107291
train-cc,purple,social_engagement,cooperative,409781
train-cc,purple,social_engagement,nan,24698
train-cc,purple,social_engagement,onlooker,33508
train-cc,purple,social_engagement,parallel,185620
train-cc,purple,social_engagement,solitary,54673
train-cc,purple,task_engagement,adultseeking,17238
train-cc,purple,task_engagement,aimless,132078
train-cc,purple,task_engagement,goaloriented,517055
train-cc,purple,task_engagement,nan,23196
train-cc,purple,task_engagement,noplay,135132
train-cc,yellow,social_engagement,associative,114369
train-cc,yellow,social_engagement,cooperative,389530
train-cc,yellow,social_engagement,nan,23229
train-cc,yellow,social_engagement,onlooker,62068
train-cc,yellow,social_engagement,parallel,166459
train-cc,yellow,social_engagement,solitary,59835
train-cc,yellow,task_engagement,adultseeking,8305
train-cc,yellow,task_engagement,aimless,147955
train-cc,yellow,task_engagement,goaloriented,506363
train-cc,yellow,task_engagement,nan,22606
train-cc,yellow,task_engagement,noplay,139690
train-cr,purple,social_engagement,associative,712
train-cr,purple,social_engagement,nan,22753
train-cr,purple,social_engagement,onlooker,10952
train-cr,purple,social_engagement,parallel,102543
train-cr,purple,social_engagement,solitary,269936
train-cr,purple,task_engagement,adultseeking,13120
train-cr,purple,task_engagement,aimless,18890
train-cr,purple,task_engagement,goaloriented,295440
train-cr,purple,task_engagement,nan,22753
train-cr,purple,task_engagement,noplay,56693
train-cr,yellow,social_engagement,associative,13443
train-cr,yellow,social_engagement,nan,22753
train-cr,yellow,social_engagement,onlooker,18111
train-cr,yellow,social_engagement,parallel,171809
train-cr,yellow,social_engagement,solitary,180780
train-cr,yellow,task_engagement,aimless,26507
train-cr,yellow,task_engagement,goaloriented,1206
train-cr,yellow,task_engagement,nan,22753
train-cr,yellow,task_engagement,noplay,356430
