split,session_id,color,task,label,count
train-cc,002,purple,task_engagement,adultseeking,233
train-cc,002,purple,task_engagement,aimless,1168
train-cc,002,purple,task_engagement,goaloriented,21386
train-cc,002,purple,task_engagement,noplay,5774
train-cc,002,purple,social_engagement,cooperative,9934
train-cc,002,purple,social_engagement,parallel,10029
train-cc,002,purple,social_engagement,solitary,8598
train-cc,002,yellow,task_engagement,adultseeking,489
train-cc,002,yellow,task_engagement,aimless,2063
train-cc,002,yellow,task_engagement,goaloriented,17366
train-cc,002,yellow,task_engagement,noplay,8643
train-cc,002,yellow,social_engagement,cooperative,6360
train-cc,002,yellow,social_engagement,onlooker,10231
train-cc,002,yellow,social_engagement,parallel,9605
train-cc,002,yellow,social_engagement,solitary,2365
train-cc,003,purple,task_engagement,adultseeking,4300
train-cc,003,purple,task_engagement,aimless,5765
train-cc,003,purple,task_engagement,goaloriented,25470
train-cc,003,purple,task_engagement,noplay,271
train-cc,003,purple,social_engagement,associative,31318
train-cc,003,purple,social_engagement,cooperative,1801
train-cc,003,purple,social_engagement,onlooker,2215
train-cc,003,purple,social_engagement,parallel,18
train-cc,003,purple,social_engagement,solitary,454
train-cc,003,yellow,task_engagement,adultseeking,21
train-cc,003,yellow,task_engagement,aimless,21412
train-cc,003,yellow,task_engagement,goaloriented,13916
train-cc,003,yellow,task_engagement,noplay,457
train-cc,003,yellow,social_engagement,associative,33533
train-cc,003,yellow,social_engagement,cooperative,1287
train-cc,003,yellow,social_engagement,onlooker,514
train-cc,003,yellow,social_engagement,parallel,18
train-cc,003,yellow,social_engagement,solitary,454
train-cc,012,purple,task_engagement,aimless,6769
train-cc,012,purple,task_engagement,goaloriented,8699
train-cc,012,purple,task_engagement,noplay,17980
train-cc,012,purple,social_engagement,cooperative,22879
train-cc,012,purple,social_engagement,parallel,9651
train-cc,012,purple,social_engagement,solitary,918
train-cc,012,yellow,task_engagement,adultseeking,538
train-cc,012,yellow,task_engagement,aimless,5266
train-cc,012,yellow,task_engagement,goaloriented,18839
train-cc,012,yellow,task_engagement,noplay,8805
train-cc,012,yellow,social_engagement,cooperative,18965
train-cc,012,yellow,social_engagement,onlooker,1462
train-cc,012,yellow,social_engagement,parallel,3795
train-cc,012,yellow,social_engagement,solitary,9226
train-cc,015,purple,task_engagement,adultseeking,1691
train-cc,015,purple,task_engagement,aimless,1161
train-cc,015,purple,task_engagement,goaloriented,15440
train-cc,015,purple,task_engagement,nan,3753
train-cc,015,purple,task_engagement,noplay,116
train-cc,015,purple,social_engagement,associative,4456
train-cc,015,purple,social_engagement,cooperative,13197
train-cc,015,purple,social_engagement,nan,3753
train-cc,015,purple,social_engagement,parallel,335
train-cc,015,purple,social_engagement,solitary,420
train-cc,015,yellow,task_engagement,adultseeking,2043
train-cc,015,yellow,task_engagement,aimless,470
train-cc,015,yellow,task_engagement,goaloriented,15564
train-cc,015,yellow,task_engagement,nan,3753
train-cc,015,yellow,task_engagement,noplay,331
train-cc,015,yellow,social_engagement,associative,4456
train-cc,015,yellow,social_engagement,cooperative,12925
train-cc,015,yellow,social_engagement,nan,3753
train-cc,015,yellow,social_engagement,onlooker,272
train-cc,015,yellow,social_engagement,parallel,335
train-cc,015,yellow,social_engagement,solitary,420
train-cc,020,purple,task_engagement,adultseeking,2229
train-cc,020,purple,task_engagement,aimless,4419
train-cc,020,purple,task_engagement,goaloriented,47368
train-cc,020,purple,task_engagement,nan,1
train-cc,020,purple,task_engagement,noplay,11830
train-cc,020,purple,social_engagement,associative,12800
train-cc,020,purple,social_engagement,cooperative,13500
train-cc,020,purple,social_engagement,nan,1
train-cc,020,purple,social_engagement,onlooker,10732
train-cc,020,purple,social_engagement,parallel,26477
train-cc,020,purple,social_engagement,solitary,2337
train-cc,020,yellow,task_engagement,adultseeking,377
train-cc,020,yellow,task_engagement,aimless,10808
train-cc,020,yellow,task_engagement,goaloriented,50020
train-cc,020,yellow,task_engagement,nan,1
train-cc,020,yellow,task_engagement,noplay,4641
train-cc,020,yellow,social_engagement,associative,12707
train-cc,020,yellow,social_engagement,cooperative,9043
train-cc,020,yellow,social_engagement,nan,1
train-cc,020,yellow,social_engagement,onlooker,12440
train-cc,020,yellow,social_engagement,parallel,21913
train-cc,020,yellow,social_engagement,solitary,9743
train-cc,022,purple,task_engagement,adultseeking,242
train-cc,022,purple,task_engagement,goaloriented,14572
train-cc,022,purple,task_engagement,noplay,1666
train-cc,022,purple,social_engagement,associative,2743
train-cc,022,purple,social_engagement,cooperative,12170
train-cc,022,purple,social_engagement,solitary,1567
train-cc,022,yellow,task_engagement,goaloriented,13924
train-cc,022,yellow,task_engagement,noplay,2556
train-cc,022,yellow,social_engagement,associative,2224
train-cc,022,yellow,social_engagement,cooperative,10312
train-cc,022,yellow,social_engagement,onlooker,2377
train-cc,022,yellow,social_engagement,solitary,1567
train-cc,024,purple,task_engagement,adultseeking,801
train-cc,024,purple,task_engagement,goaloriented,3679
train-cc,024,purple,task_engagement,noplay,182
train-cc,024,purple,social_engagement,cooperative,1248
train-cc,024,purple,social_engagement,parallel,355
train-cc,024,purple,social_engagement,solitary,639
train-cc,024,yellow,task_engagement,goaloriented,4432
train-cc,024,yellow,task_engagement,noplay,403
train-cc,024,yellow,social_engagement,cooperative,1590
train-cc,024,yellow,social_engagement,parallel,355
train-cc,024,yellow,social_engagement,solitary,173
train-cc,028,purple,task_engagement,adultseeking,2960
train-cc,028,purple,task_engagement,aimless,6498
train-cc,028,purple,task_engagement,goaloriented,39318
train-cc,028,purple,task_engagement,nan,590
train-cc,028,purple,task_engagement,noplay,4026
train-cc,028,purple,social_engagement,associative,14664
train-cc,028,purple,social_engagement,cooperative,30268
train-cc,028,purple,social_engagement,nan,2092
train-cc,028,purple,social_engagement,onlooker,4351
train-cc,028,purple,social_engagement,parallel,1445
train-cc,028,purple,social_engagement,solitary,572
train-cc,028,yellow,task_engagement,adultseeking,620
train-cc,028,yellow,task_engagement,aimless,4307
train-cc,028,yellow,task_engagement,goaloriented,46364
train-cc,028,yellow,task_engagement,noplay,2101
train-cc,028,yellow,social_engagement,associative,20102
train-cc,028,yellow,social_engagement,cooperative,30071
train-cc,028,yellow,social_engagement,onlooker,1202
train-cc,028,yellow,social_engagement,parallel,1445
train-cc,028,yellow,social_engagement,solitary,572
train-cc,029,purple,task_engagement,adultseeking,2078
train-cc,029,purple,task_engagement,aimless,9070
train-cc,029,purple,task_engagement,goaloriented,57009
train-cc,029,purple,task_engagement,noplay,3680
train-cc,029,purple,social_engagement,associative,2018
train-cc,029,purple,social_engagement,cooperative,65261
train-cc,029,purple,social_engagement,onlooker,339
train-cc,029,purple,social_engagement,solitary,4219
train-cc,029,yellow,task_engagement,adultseeking,2402
train-cc,029,yellow,task_engagement,aimless,9376
train-cc,029,yellow,task_engagement,goaloriented,55634
train-cc,029,yellow,task_engagement,noplay,4425
train-cc,029,yellow,social_engagement,associative,2018
train-cc,029,yellow,social_engagement,cooperative,65160
train-cc,029,yellow,social_engagement,onlooker,3477
train-cc,029,yellow,social_engagement,solitary,1182
train-cc,033,purple,task_engagement,adultseeking,766
train-cc,033,purple,task_engagement,goaloriented,38354
train-cc,033,purple,task_engagement,noplay,32699
train-cc,033,purple,social_engagement,associative,8769
train-cc,033,purple,social_engagement,cooperative,23006
train-cc,033,purple,social_engagement,onlooker,7906
train-cc,033,purple,social_engagement,parallel,18524
train-cc,033,purple,social_engagement,solitary,13614
train-cc,033,yellow,task_engagement,adultseeking,278
train-cc,033,yellow,task_engagement,aimless,400
train-cc,033,yellow,task_engagement,goaloriented,38673
train-cc,033,yellow,task_engagement,noplay,32468
train-cc,033,yellow,social_engagement,associative,8769
train-cc,033,yellow,social_engagement,cooperative,22879
train-cc,033,yellow,social_engagement,onlooker,17897
train-cc,033,yellow,social_engagement,parallel,8060
train-cc,033,yellow,social_engagement,solitary,14214
train-cc,037,purple,task_engagement,adultseeking,304
train-cc,037,purple,task_engagement,aimless,9094
train-cc,037,purple,task_engagement,goaloriented,3058
train-cc,037,purple,task_engagement,noplay,2028
train-cc,037,purple,social_engagement,associative,1464
train-cc,037,purple,social_engagement,cooperative,6071
train-cc,037,purple,social_engagement,parallel,1793
train-cc,037,purple,social_engagement,solitary,1340
train-cc,037,yellow,task_engagement,aimless,6694
train-cc,037,yellow,task_engagement,goaloriented,3171
train-cc,037,yellow,task_engagement,noplay,3628
train-cc,037,yellow,social_engagement,associative,397
train-cc,037,yellow,social_engagement,cooperative,5067
train-cc,037,yellow,social_engagement,onlooker,1145
train-cc,037,yellow,social_engagement,parallel,1793
train-cc,037,yellow,social_engagement,solitary,1686
train-cc,039,purple,task_engagement,adultseeking,520
