split,task,label,t_seconds,survival_prob
train-cc,social_engagement,associative,0.50,0.98550725
train-cc,social_engagement,associative,1.00,0.97101449
train-cc,social_engagement,associative,2.00,0.95652174
train-cc,social_engagement,associative,3.00,0.94202899
train-cc,social_engagement,associative,5.00,0.86956522
train-cc,social_engagement,associative,10.00,0.75362319
train-cc,social_engagement,associative,20.00,0.57971014
train-cc,social_engagement,associative,30.00,0.44927536
train-cc,social_engagement,associative,60.00,0.18840580
train-cc,social_engagement,cooperative,0.50,0.97727273
train-cc,social_engagement,cooperative,1.00,0.97727273
train-cc,social_engagement,cooperative,2.00,0.96590909
train-cc,social_engagement,cooperative,3.00,0.95454545
train-cc,social_engagement,cooperative,5.00,0.89772727
train-cc,social_engagement,cooperative,10.00,0.82954545
train-cc,social_engagement,cooperative,20.00,0.76136364
train-cc,social_engagement,cooperative,30.00,0.61363636
train-cc,social_engagement,cooperative,60.00,0.45454545
train-cc,social_engagement,onlooker,0.50,0.98113208
train-cc,social_engagement,onlooker,1.00,0.96226415
train-cc,social_engagement,onlooker,2.00,0.92452830
train-cc,social_engagement,onlooker,3.00,0.92452830
train-cc,social_engagement,onlooker,5.00,0.81132075
train-cc,social_engagement,onlooker,10.00,0.58490566
train-cc,social_engagement,onlooker,20.00,0.39622642
train-cc,social_engagement,onlooker,30.00,0.28301887
train-cc,social_engagement,onlooker,60.00,0.05660377
train-cc,social_engagement,parallel,0.50,0.96842105
train-cc,social_engagement,parallel,1.00,0.91578947
train-cc,social_engagement,parallel,2.00,0.87368421
train-cc,social_engagement,parallel,3.00,0.83157895
train-cc,social_engagement,parallel,5.00,0.82105263
train-cc,social_engagement,parallel,10.00,0.73684211
train-cc,social_engagement,parallel,20.00,0.52631579
train-cc,social_engagement,parallel,30.00,0.45263158
train-cc,social_engagement,parallel,60.00,0.34736842
train-cc,social_engagement,solitary,0.50,0.98333333
train-cc,social_engagement,solitary,1.00,0.91666667
train-cc,social_engagement,solitary,2.00,0.88333333
train-cc,social_engagement,solitary,3.00,0.86666667
train-cc,social_engagement,solitary,5.00,0.75000000
train-cc,social_engagement,solitary,10.00,0.60000000
train-cc,social_engagement,solitary,20.00,0.43333333
train-cc,social_engagement,solitary,30.00,0.35000000
train-cc,social_engagement,solitary,60.00,0.08333333
train-cc,task_engagement,adultseeking,0.50,0.97674419
train-cc,task_engagement,adultseeking,1.00,0.97674419
train-cc,task_engagement,adultseeking,2.00,0.88372093
train-cc,task_engagement,adultseeking,3.00,0.83720930
train-cc,task_engagement,adultseeking,5.00,0.67441860
train-cc,task_engagement,adultseeking,10.00,0.46511628
train-cc,task_engagement,adultseeking,20.00,0.23255814
train-cc,task_engagement,adultseeking,30.00,0.06976744
train-cc,task_engagement,adultseeking,60.00,0.02325581
train-cc,task_engagement,aimless,0.50,0.99328859
train-cc,task_engagement,aimless,1.00,0.97986577
train-cc,task_engagement,aimless,2.00,0.94630872
train-cc,task_engagement,aimless,3.00,0.89932886
train-cc,task_engagement,aimless,5.00,0.80536913
train-cc,task_engagement,aimless,10.00,0.68456376
train-cc,task_engagement,aimless,20.00,0.47651007
train-cc,task_engagement,aimless,30.00,0.34899329
train-cc,task_engagement,aimless,60.00,0.16107383
train-cc,task_engagement,goaloriented,0.50,0.99516908
train-cc,task_engagement,goaloriented,1.00,0.98067633
train-cc,task_engagement,goaloriented,2.00,0.94202899
train-cc,task_engagement,goaloriented,3.00,0.91787440
train-cc,task_engagement,goaloriented,5.00,0.86473430
train-cc,task_engagement,goaloriented,10.00,0.76328502
train-cc,task_engagement,goaloriented,20.00,0.61835749
train-cc,task_engagement,goaloriented,30.00,0.50241546
train-cc,task_engagement,goaloriented,60.00,0.33816425
train-cc,task_engagement,noplay,0.50,0.97478992
train-cc,task_engagement,noplay,1.00,0.97058824
train-cc,task_engagement,noplay,2.00,0.92436975
train-cc,task_engagement,noplay,3.00,0.88235294
train-cc,task_engagement,noplay,5.00,0.76470588
train-cc,task_engagement,noplay,10.00,0.55042017
train-cc,task_engagement,noplay,20.00,0.29831933
train-cc,task_engagement,noplay,30.00,0.18907563
train-cc,task_engagement,noplay,60.00,0.03781513
train-cr,social_engagement,associative,0.50,0.75000000
train-cr,social_engagement,associative,1.00,0.75000000
train-cr,social_engagement,associative,2.00,0.50000000
train-cr,social_engagement,associative,3.00,0.50000000
train-cr,social_engagement,associative,5.00,0.25000000
train-cr,social_engagement,associative,10.00,0.25000000
train-cr,social_engagement,associative,20.00,0.00000000
train-cr,social_engagement,associative,30.00,0.00000000
train-cr,social_engagement,associative,60.00,0.00000000
train-cr,social_engagement,onlooker,0.50,0.95000000
train-cr,social_engagement,onlooker,1.00,0.95000000
train-cr,social_engagement,onlooker,2.00,0.85000000
train-cr,social_engagement,onlooker,3.00,0.75000000
train-cr,social_engagement,onlooker,5.00,0.70000000
train-cr,social_engagement,onlooker,10.00,0.55000000
train-cr,social_engagement,onlooker,20.00,0.25000000
train-cr,social_engagement,onlooker,30.00,0.15000000
train-cr,social_engagement,onlooker,60.00,0.10000000
train-cr,social_engagement,parallel,0.50,1.00000000
train-cr,social_engagement,parallel,1.00,0.94117647
train-cr,social_engagement,parallel,2.00,0.94117647
train-cr,social_engagement,parallel,3.00,0.94117647
train-cr,social_engagement,parallel,5.00,0.94117647
train-cr,social_engagement,parallel,10.00,0.82352941
train-cr,social_engagement,parallel,20.00,0.70588235
train-cr,social_engagement,parallel,30.00,0.70588235
train-cr,social_engagement,parallel,60.00,0.58823529
train-cr,social_engagement,solitary,0.50,1.00000000
train-cr,social_engagement,solitary,1.00,1.00000000
train-cr,social_engagement,solitary,2.00,1.00000000
train-cr,social_engagement,solitary,3.00,1.00000000
train-cr,social_engagement,solitary,5.00,1.00000000
train-cr,social_engagement,solitary,10.00,0.88888889
train-cr,social_engagement,solitary,20.00,0.88888889
train-cr,social_engagement,solitary,30.00,0.81481481
train-cr,social_engagement,solitary,60.00,0.74074074
train-cr,task_engagement,adultseeking,0.50,0.97560976
train-cr,task_engagement,adultseeking,1.00,0.97560976
train-cr,task_engagement,adultseeking,2.00,0.95121951
train-cr,task_engagement,adultseeking,3.00,0.92682927
train-cr,task_engagement,adultseeking,5.00,0.78048780
train-cr,task_engagement,adultseeking,10.00,0.41463415
train-cr,task_engagement,adultseeking,20.00,0.17073171
train-cr,task_engagement,adultseeking,30.00,0.00000000
train-cr,task_engagement,adultseeking,60.00,0.00000000
train-cr,task_engagement,aimless,0.50,1.00000000
train-cr,task_engagement,aimless,1.00,1.00000000
train-cr,task_engagement,aimless,2.00,1.00000000
train-cr,task_engagement,aimless,3.00,0.87500000
train-cr,task_engagement,aimless,5.00,0.83333333
train-cr,task_engagement,aimless,10.00,0.54166667
train-cr,task_engagement,aimless,20.00,0.29166667
train-cr,task_engagement,aimless,30.00,0.25000000
train-cr,task_engagement,aimless,60.00,0.16666667
train-cr,task_engagement,goaloriented,0.50,0.98601399
train-cr,task_engagement,goaloriented,1.00,0.98601399
train-cr,task_engagement,goaloriented,2.00,0.95804196
train-cr,task_engagement,goaloriented,3.00,0.93706294
train-cr,task_engagement,goaloriented,5.00,0.90209790
train-cr,task_engagement,goaloriented,10.00,0.74825175
train-cr,task_engagement,goaloriented,20.00,0.62937063
train-cr,task_engagement,goaloriented,30.00,0.54545455
train-cr,task_engagement,goaloriented,60.00,0.34265734
train-cr,task_engagement,noplay,0.50,0.97656250
train-cr,task_engagement,noplay,1.00,0.95312500
train-cr,task_engagement,noplay,2.00,0.82031250
train-cr,task_engagement,noplay,3.00,0.73437500
train-cr,task_engagement,noplay,5.00,0.62500000
train-cr,task_engagement,noplay,10.00,0.45312500
train-cr,task_engagement,noplay,20.00,0.18750000
train-cr,task_engagement,noplay,30.00,0.11718750
train-cr,task_engagement,noplay,60.00,0.07031250
