split,task,label,n_runs,total_frames,total_seconds,mean_sec,median_sec,p25_sec,p75_sec,max_sec
train-cc,social_engagement,associative,69,107291,3576.36666667,51.83140097,26.96666667,10.10000000,48.46666667,505.83333333
train-cc,social_engagement,cooperative,88,409781,13659.36666667,155.22007576,44.35000000,20.73333333,155.98333333,1627.50000000
train-cc,social_engagement,onlooker,53,33508,1116.93333333,21.07421384,15.40000000,5.93333333,33.73333333,88.33333333
train-cc,social_engagement,parallel,95,185620,6187.33333333,65.12982456,22.66666667,9.43333333,96.85000000,496.63333333
train-cc,social_engagement,solitary,60,54673,1822.43333333,30.37388889,14.00000000,5.06666667,39.25000000,286.60000000
train-cc,task_engagement,adultseeking,43,17238,574.60000000,13.36279070,7.90000000,3.70000000,19.43333333,65.40000000
train-cc,task_engagement,aimless,149,132078,4402.60000000,29.54765101,18.70000000,7.33333333,41.36666667,198.60000000
train-cc,task_engagement,goaloriented,207,517055,17235.16666667,83.26167472,30.30000000,10.68333333,86.15000000,1309.33333333
train-cc,task_engagement,noplay,238,135132,4504.40000000,18.92605042,12.23333333,5.44166667,23.42500000,157.86666667
train-cr,social_engagement,associative,4,712,23.73333333,5.93333333,2.31666667,1.07500000,7.17500000,18.70000000
train-cr,social_engagement,onlooker,20,10952,365.06666667,18.25333333,10.76666667,3.49166667,17.90833333,97.60000000
train-cr,social_engagement,parallel,17,102543,3418.10000000,201.06470588,131.03333333,17.16666667,312.40000000,642.63333333
train-cr,social_engagement,solitary,27,269936,8997.86666667,333.25432099,122.26666667,52.88333333,298.06666667,1704.90000000
train-cr,task_engagement,adultseeking,41,13120,437.33333333,10.66666667,8.43333333,5.20000000,14.26666667,28.46666667
train-cr,task_engagement,aimless,24,18890,629.66666667,26.23611111,12.35000000,6.97500000,27.60000000,154.80000000
train-cr,task_engagement,goaloriented,143,295440,9848.00000000,68.86713287,37.03333333,10.23333333,87.95000000,493.56666667
train-cr,task_engagement,noplay,128,56693,1889.76666667,14.76380208,8.38333333,2.65833333,16.12500000,104.63333333
