split,session_id,task,n_runs,total_seconds,mean_run_sec,median_run_sec,unique_labels
train-cc,002,social_engagement,4,952.03333333,238.00833333,255.78333334,3
train-cc,002,task_engagement,32,952.03333333,29.75104167,16.21666666,4
train-cc,003,social_engagement,11,1193.53333332,108.50303030,41.73333333,5
train-cc,003,task_engagement,26,1193.53333333,45.90512820,27.41666667,4
train-cc,012,social_engagement,6,1114.93333334,185.82222222,209.86666667,3
train-cc,012,task_engagement,66,1114.93333329,16.89292929,12.50000000,3
train-cc,015,social_engagement,13,613.60000001,47.20000000,23.20000000,4
train-cc,015,task_engagement,7,613.59999999,87.65714286,26.73333333,4
train-cc,020,social_engagement,107,2194.86666665,20.51277259,10.83333333,5
train-cc,020,task_engagement,63,2194.86666665,34.83915344,13.10000000,4
train-cc,022,social_engagement,9,549.33333333,61.03703704,44.33333333,3
train-cc,022,task_engagement,3,549.33333333,183.11111111,55.53333333,3
train-cc,024,social_engagement,3,74.73333333,24.91111111,21.30000000,3
train-cc,024,task_engagement,7,155.40000001,22.20000000,19.46666667,3
train-cc,028,social_engagement,17,1709.99999999,100.58823529,44.80000000,5
train-cc,028,task_engagement,20,1760.06666668,88.00333333,27.43333334,4
train-cc,029,social_engagement,9,2394.56666667,266.06296296,39.40000000,4
train-cc,029,task_engagement,28,2394.56666669,85.52023810,41.56666667,4
train-cc,033,social_engagement,39,2393.96666666,61.38376068,29.60000000,5
train-cc,033,task_engagement,73,2393.96666668,32.79406393,17.90000000,3
train-cc,037,social_engagement,7,355.60000000,50.80000000,42.86666667,4
train-cc,037,task_engagement,17,482.80000001,28.40000000,20.16666667,4
train-cc,039,social_engagement,43,2394.69999999,55.69069767,22.66666667,5
train-cc,039,task_engagement,37,2394.70000000,64.72162162,21.66666667,4
train-cc,042,social_engagement,3,96.86666667,32.28888889,34.36666667,3
train-cc,042,task_engagement,4,193.26666666,48.31666666,30.50000000,2
train-cc,043,social_engagement,5,560.76666666,112.15333333,55.13333333,3
train-cc,043,task_engagement,16,560.76666666,35.04791667,29.15000000,3
train-cc,044,social_engagement,3,1556.13333333,518.71111111,135.90000000,3
train-cc,044,task_engagement,31,1556.13333334,50.19784946,18.80000000,3
train-cc,051,social_engagement,9,1959.96666668,217.77407408,50.26666667,4
train-cc,051,task_engagement,5,1959.96666667,391.99333333,96.76666667,3
train-cc,054,social_engagement,47,2394.50000001,50.94680851,22.63333333,4
train-cc,054,task_engagement,54,2394.49999999,44.34259259,9.90000000,3
train-cc,058,social_engagement,13,1673.06666667,128.69743590,100.30000000,3
train-cc,058,task_engagement,81,1673.06666670,20.65514403,13.40000000,4
train-cc,060,social_engagement,8,445.03333333,55.62916667,21.75000000,4
train-cc,060,task_engagement,11,445.03333333,40.45757576,3.70000000,3
train-cc,061,social_engagement,9,1734.23333333,192.69259259,148.93333333,3
train-cc,061,task_engagement,56,1734.23333332,30.96845238,15.58333333,3
train-cr,004,social_engagement,5,951.03333333,190.20666667,116.16666667,3
train-cr,004,task_engagement,20,951.03333333,47.55166667,13.96666666,4
train-cr,023,social_engagement,8,543.60000000,67.95000000,22.91666667,3
train-cr,023,task_engagement,26,543.60000001,20.90769231,19.25000000,3
train-cr,032,social_engagement,18,849.70000001,47.20555556,7.53333333,4
train-cr,032,task_engagement,34,849.69999997,24.99117647,5.55000000,4
train-cr,045,social_engagement,6,1166.90000000,194.48333333,114.61666667,4
train-cr,045,task_engagement,14,1166.90000001,83.35000000,31.33333333,4
train-cr,047,social_engagement,6,1053.30000000,175.55000000,59.88333333,4
train-cr,047,task_engagement,40,1053.30000001,26.33250000,15.66666666,3
train-cr,048,social_engagement,1,554.43333333,554.43333333,554.43333333,1
train-cr,048,task_engagement,39,554.43333330,14.21623932,6.60000000,4
train-cr,050,social_engagement,1,958.10000000,958.10000000,958.10000000,1
train-cr,050,task_engagement,31,958.09999999,30.90645161,9.80000000,3
train-cr,056,social_engagement,3,369.26666666,123.08888889,136.43333333,2
train-cr,056,task_engagement,3,369.26666667,123.08888889,66.66666667,3
train-cr,057,social_engagement,1,1704.90000000,1704.90000000,1704.90000000,1
train-cr,057,task_engagement,33,1704.90000000,51.66363636,18.80000000,3
train-cr,063,social_engagement,16,2317.30000000,144.83125000,35.35000000,3
train-cr,063,task_engagement,23,2317.30000001,100.75217391,21.43333333,4
train-cr,067,social_engagement,2,1042.33333333,521.16666666,521.16666666,2
train-cr,067,task_engagement,27,1042.33333333,38.60493827,12.26666667,3
train-cr,069,social_engagement,1,1293.90000000,1293.90000000,1293.90000000,1
train-cr,069,task_engagement,46,1293.90000001,28.12826087,10.33333334,4
