split,session_id,task,label,run_id,start_idx,end_idx,length_frames,length_seconds,prev_label,next_label
train-cc,002,task_engagement,noplay,0,0,480,481,16.03333333,<START>,goaloriented
train-cc,002,task_engagement,goaloriented,1,481,535,55,1.83333333,noplay,noplay
train-cc,002,task_engagement,noplay,2,536,1494,959,31.96666667,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,3,1495,1819,325,10.83333333,noplay,noplay
train-cc,002,task_engagement,noplay,4,1820,2222,403,13.43333333,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,5,2223,2695,473,15.76666667,noplay,noplay
train-cc,002,task_engagement,noplay,6,2696,2813,118,3.93333333,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,7,2814,3537,724,24.13333333,noplay,noplay
train-cc,002,task_engagement,noplay,8,3538,4056,519,17.30000000,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,9,4057,6476,2420,80.66666667,noplay,noplay
train-cc,002,task_engagement,noplay,10,6477,6788,312,10.40000000,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,11,6789,11198,4410,147.00000000,noplay,noplay
train-cc,002,task_engagement,noplay,12,11199,11359,161,5.36666667,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,13,11360,12878,1519,50.63333333,noplay,noplay
train-cc,002,task_engagement,noplay,14,12879,13244,366,12.20000000,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,15,13245,17813,4569,152.30000000,noplay,noplay
train-cc,002,task_engagement,noplay,16,17814,17919,106,3.53333333,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,17,17920,17960,41,1.36666667,noplay,noplay
train-cc,002,task_engagement,noplay,18,17961,18527,567,18.90000000,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,19,18528,18547,20,0.66666667,noplay,adultseeking
train-cc,002,task_engagement,adultseeking,20,18548,18780,233,7.76666667,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,21,18781,20580,1800,60.00000000,adultseeking,noplay
train-cc,002,task_engagement,noplay,22,20581,21090,510,17.00000000,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,23,21091,22229,1139,37.96666667,noplay,noplay
train-cc,002,task_engagement,noplay,24,22230,22843,614,20.46666667,goaloriented,goaloriented
train-cc,002,task_engagement,goaloriented,25,22844,23573,730,24.33333333,noplay,aimless
train-cc,002,task_engagement,aimless,26,23574,23936,363,12.10000000,goaloriented,noplay
train-cc,002,task_engagement,noplay,27,23937,24102,166,5.53333333,aimless,goaloriented
train-cc,002,task_engagement,goaloriented,28,24103,27116,3014,100.46666667,noplay,noplay
train-cc,002,task_engagement,noplay,29,27117,27608,492,16.40000000,goaloriented,aimless
train-cc,002,task_engagement,aimless,30,27609,28413,805,26.83333333,noplay,goaloriented
train-cc,002,task_engagement,goaloriented,31,28414,28560,147,4.90000000,aimless,<END>
train-cc,002,social_engagement,solitary,0,0,8597,8598,286.60000000,<START>,parallel
train-cc,002,social_engagement,parallel,1,8598,11877,3280,109.33333333,solitary,cooperative
train-cc,002,social_engagement,cooperative,2,11878,21811,9934,331.13333333,parallel,parallel
train-cc,002,social_engagement,parallel,3,21812,28560,6749,224.96666667,cooperative,<END>
train-cc,003,task_engagement,noplay,0,0,270,271,9.03333333,<START>,goaloriented
train-cc,003,task_engagement,goaloriented,1,271,10562,10292,343.06666667,noplay,adultseeking
train-cc,003,task_engagement,adultseeking,2,10563,11244,682,22.73333333,goaloriented,goaloriented
train-cc,003,task_engagement,goaloriented,3,11245,14226,2982,99.40000000,adultseeking,aimless
train-cc,003,task_engagement,aimless,4,14227,15485,1259,41.96666667,goaloriented,goaloriented
train-cc,003,task_engagement,goaloriented,5,15486,15606,121,4.03333333,aimless,aimless
train-cc,003,task_engagement,aimless,6,15607,16476,870,29.00000000,goaloriented,goaloriented
train-cc,003,task_engagement,goaloriented,7,16477,17390,914,30.46666667,aimless,adultseeking
train-cc,003,task_engagement,adultseeking,8,17391,17912,522,17.40000000,goaloriented,aimless
train-cc,003,task_engagement,aimless,9,17913,18057,145,4.83333333,adultseeking,goaloriented
train-cc,003,task_engagement,goaloriented,10,18058,21146,3089,102.96666667,aimless,aimless
train-cc,003,task_engagement,aimless,11,21147,21921,775,25.83333333,goaloriented,goaloriented
train-cc,003,task_engagement,goaloriented,12,21922,25320,3399,113.30000000,aimless,adultseeking
train-cc,003,task_engagement,adultseeking,13,25321,25473,153,5.10000000,goaloriented,aimless
train-cc,003,task_engagement,aimless,14,25474,26421,948,31.60000000,adultseeking,adultseeking
train-cc,003,task_engagement,adultseeking,15,26422,27137,716,23.86666667,aimless,aimless
train-cc,003,task_engagement,aimless,16,27138,27209,72,2.40000000,adultseeking,goaloriented
train-cc,003,task_engagement,goaloriented,17,27210,28670,1461,48.70000000,aimless,adultseeking
train-cc,003,task_engagement,adultseeking,18,28671,29186,516,17.20000000,goaloriented,aimless
train-cc,003,task_engagement,aimless,19,29187,30427,1241,41.36666667,adultseeking,goaloriented
train-cc,003,task_engagement,goaloriented,20,30428,32426,1999,66.63333333,aimless,adultseeking
train-cc,003,task_engagement,adultseeking,21,32427,33149,723,24.10000000,goaloriented,aimless
train-cc,003,task_engagement,aimless,22,33150,33587,438,14.60000000,adultseeking,adultseeking
train-cc,003,task_engagement,adultseeking,23,33588,34575,988,32.93333333,aimless,aimless
train-cc,003,task_engagement,aimless,24,34576,34592,17,0.56666667,adultseeking,goaloriented
train-cc,003,task_engagement,goaloriented,25,34593,35805,1213,40.43333333,aimless,<END>
train-cc,003,social_engagement,solitary,0,0,453,454,15.13333333,<START>,associative
train-cc,003,social_engagement,associative,1,454,12359,11906,396.86666667,solitary,cooperative
train-cc,003,social_engagement,cooperative,2,12360,13611,1252,41.73333333,associative,associative
train-cc,003,social_engagement,associative,3,13612,15275,1664,55.46666667,cooperative,onlooker
train-cc,003,social_engagement,onlooker,4,15276,15737,462,15.40000000,associative,parallel
train-cc,003,social_engagement,parallel,5,15738,15755,18,0.60000000,onlooker,associative
train-cc,003,social_engagement,associative,6,15756,16320,565,18.83333333,parallel,onlooker
train-cc,003,social_engagement,onlooker,7,16321,18073,1753,58.43333333,associative,associative
train-cc,003,social_engagement,associative,8,18074,20081,2008,66.93333333,onlooker,cooperative
train-cc,003,social_engagement,cooperative,9,20082,20630,549,18.30000000,associative,associative
train-cc,003,social_engagement,associative,10,20631,35805,15175,505.83333333,cooperative,<END>
train-cc,012,task_engagement,noplay,0,0,769,770,25.66666667,<START>,goaloriented
train-cc,012,task_engagement,goaloriented,1,770,1064,295,9.83333333,noplay,noplay
train-cc,012,task_engagement,noplay,2,1065,1295,231,7.70000000,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,3,1296,1499,204,6.80000000,noplay,noplay
train-cc,012,task_engagement,noplay,4,1500,1918,419,13.96666667,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,5,1919,2144,226,7.53333333,noplay,noplay
train-cc,012,task_engagement,noplay,6,2145,2413,269,8.96666667,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,7,2414,2725,312,10.40000000,noplay,noplay
train-cc,012,task_engagement,noplay,8,2726,3660,935,31.16666667,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,9,3661,4686,1026,34.20000000,noplay,noplay
train-cc,012,task_engagement,noplay,10,4687,4853,167,5.56666667,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,11,4854,5006,153,5.10000000,noplay,noplay
train-cc,012,task_engagement,noplay,12,5007,5604,598,19.93333333,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,13,5605,5686,82,2.73333333,noplay,noplay
train-cc,012,task_engagement,noplay,14,5687,6217,531,17.70000000,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,15,6218,6605,388,12.93333333,noplay,noplay
train-cc,012,task_engagement,noplay,16,6606,6769,164,5.46666667,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,17,6770,6824,55,1.83333333,noplay,noplay
train-cc,012,task_engagement,noplay,18,6825,8525,1701,56.70000000,goaloriented,aimless
train-cc,012,task_engagement,aimless,19,8526,8832,307,10.23333333,noplay,goaloriented
train-cc,012,task_engagement,goaloriented,20,8833,9199,367,12.23333333,aimless,noplay
train-cc,012,task_engagement,noplay,21,9200,9539,340,11.33333333,goaloriented,aimless
train-cc,012,task_engagement,aimless,22,9540,9637,98,3.26666667,noplay,noplay
train-cc,012,task_engagement,noplay,23,9638,10016,379,12.63333333,aimless,goaloriented
train-cc,012,task_engagement,goaloriented,24,10017,10122,106,3.53333333,noplay,noplay
train-cc,012,task_engagement,noplay,25,10123,10306,184,6.13333333,goaloriented,aimless
train-cc,012,task_engagement,aimless,26,10307,10664,358,11.93333333,noplay,noplay
train-cc,012,task_engagement,noplay,27,10665,11101,437,14.56666667,aimless,goaloriented
train-cc,012,task_engagement,goaloriented,28,11102,11518,417,13.90000000,noplay,noplay
train-cc,012,task_engagement,noplay,29,11519,12904,1386,46.20000000,goaloriented,aimless
train-cc,012,task_engagement,aimless,30,12905,13652,748,24.93333333,noplay,goaloriented
train-cc,012,task_engagement,goaloriented,31,13653,14424,772,25.73333333,aimless,noplay
train-cc,012,task_engagement,noplay,32,14425,14833,409,13.63333333,goaloriented,aimless
train-cc,012,task_engagement,aimless,33,14834,15208,375,12.50000000,noplay,noplay
train-cc,012,task_engagement,noplay,34,15209,15484,276,9.20000000,aimless,aimless
train-cc,012,task_engagement,aimless,35,15485,16975,1491,49.70000000,noplay,noplay
train-cc,012,task_engagement,noplay,36,16976,17820,845,28.16666667,aimless,aimless
train-cc,012,task_engagement,aimless,37,17821,18169,349,11.63333333,noplay,noplay
train-cc,012,task_engagement,noplay,38,18170,18544,375,12.50000000,aimless,aimless
train-cc,012,task_engagement,aimless,39,18545,18709,165,5.50000000,noplay,goaloriented
train-cc,012,task_engagement,goaloriented,40,18710,19787,1078,35.93333333,aimless,noplay
train-cc,012,task_engagement,noplay,41,19788,20096,309,10.30000000,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,42,20097,20821,725,24.16666667,noplay,aimless
train-cc,012,task_engagement,aimless,43,20822,21059,238,7.93333333,goaloriented,noplay
train-cc,012,task_engagement,noplay,44,21060,22595,1536,51.20000000,aimless,goaloriented
train-cc,012,task_engagement,goaloriented,45,22596,22696,101,3.36666667,noplay,noplay
train-cc,012,task_engagement,noplay,46,22697,23401,705,23.50000000,goaloriented,aimless
train-cc,012,task_engagement,aimless,47,23402,23744,343,11.43333333,noplay,noplay
train-cc,012,task_engagement,noplay,48,23745,24262,518,17.26666667,aimless,aimless
train-cc,012,task_engagement,aimless,49,24263,24823,561,18.70000000,noplay,noplay
train-cc,012,task_engagement,noplay,50,24824,25453,630,21.00000000,aimless,aimless
train-cc,012,task_engagement,aimless,51,25454,26104,651,21.70000000,noplay,goaloriented
train-cc,012,task_engagement,goaloriented,52,26105,26447,343,11.43333333,aimless,noplay
train-cc,012,task_engagement,noplay,53,26448,26459,12,0.40000000,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,54,26460,26826,367,12.23333333,noplay,noplay
train-cc,012,task_engagement,noplay,55,26827,27611,785,26.16666667,goaloriented,aimless
train-cc,012,task_engagement,aimless,56,27612,28110,499,16.63333333,noplay,noplay
train-cc,012,task_engagement,noplay,57,28111,29230,1120,37.33333333,aimless,aimless
train-cc,012,task_engagement,aimless,58,29231,29816,586,19.53333333,noplay,noplay
train-cc,012,task_engagement,noplay,59,29817,29892,76,2.53333333,aimless,goaloriented
train-cc,012,task_engagement,goaloriented,60,29893,30262,370,12.33333333,noplay,noplay
train-cc,012,task_engagement,noplay,61,30263,30437,175,5.83333333,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,62,30438,30823,386,12.86666667,noplay,noplay
train-cc,012,task_engagement,noplay,63,30824,30986,163,5.43333333,goaloriented,goaloriented
train-cc,012,task_engagement,goaloriented,64,30987,31912,926,30.86666667,noplay,noplay
train-cc,012,task_engagement,noplay,65,31913,33447,1535,51.16666667,goaloriented,<END>
train-cc,012,social_engagement,solitary,0,0,917,918,30.60000000,<START>,cooperative
train-cc,012,social_engagement,cooperative,1,918,8677,7760,258.66666667,solitary,parallel
train-cc,012,social_engagement,parallel,2,8678,13160,4483,149.43333333,cooperative,cooperative
train-cc,012,social_engagement,cooperative,3,13161,20855,7695,256.50000000,parallel,parallel
train-cc,012,social_engagement,parallel,4,20856,26023,5168,172.26666667,cooperative,cooperative
train-cc,012,social_engagement,cooperative,5,26024,33447,7424,247.46666667,parallel,<END>
train-cc,015,task_engagement,noplay,0,0,115,116,3.86666667,<START>,aimless
train-cc,015,task_engagement,aimless,1,116,917,802,26.73333333,noplay,goaloriented
train-cc,015,task_engagement,goaloriented,2,918,12066,11149,371.63333333,aimless,adultseeking
train-cc,015,task_engagement,adultseeking,3,12067,12409,343,11.43333333,goaloriented,goaloriented
train-cc,015,task_engagement,goaloriented,4,12410,16700,4291,143.03333333,adultseeking,aimless
train-cc,015,task_engagement,aimless,5,16701,17059,359,11.96666667,goaloriented,adultseeking
train-cc,015,task_engagement,adultseeking,6,17060,18407,1348,44.93333333,aimless,<END>
train-cc,015,social_engagement,solitary,0,0,419,420,14.00000000,<START>,parallel
train-cc,015,social_engagement,parallel,1,420,708,289,9.63333333,solitary,cooperative
train-cc,015,social_engagement,cooperative,2,709,720,12,0.40000000,parallel,associative
train-cc,015,social_engagement,associative,3,721,1758,1038,34.60000000,cooperative,cooperative
train-cc,015,social_engagement,cooperative,4,1759,3938,2180,72.66666667,associative,associative
train-cc,015,social_engagement,associative,5,3939,4892,954,31.80000000,cooperative,cooperative
train-cc,015,social_engagement,cooperative,6,4893,15791,10899,363.30000000,associative,associative
train-cc,015,social_engagement,associative,7,15792,16487,696,23.20000000,cooperative,parallel
train-cc,015,social_engagement,parallel,8,16488,16501,14,0.46666667,associative,associative
train-cc,015,social_engagement,associative,9,16502,17310,809,26.96666667,parallel,parallel
train-cc,015,social_engagement,parallel,10,17311,17342,32,1.06666667,associative,associative
train-cc,015,social_engagement,associative,11,17343,18301,959,31.96666667,parallel,cooperative
train-cc,015,social_engagement,cooperative,12,18302,18407,106,3.53333333,associative,<END>
train-cc,020,task_engagement,noplay,0,0,419,420,14.00000000,<START>,adultseeking
train-cc,020,task_engagement,adultseeking,1,420,1045,626,20.86666667,noplay,goaloriented
train-cc,020,task_engagement,goaloriented,2,1046,8141,7096,236.53333333,adultseeking,noplay
train-cc,020,task_engagement,noplay,3,8142,8316,175,5.83333333,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,4,8317,10433,2117,70.56666667,noplay,noplay
train-cc,020,task_engagement,noplay,5,10434,10590,157,5.23333333,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,6,10591,10873,283,9.43333333,noplay,noplay
train-cc,020,task_engagement,noplay,7,10874,12220,1347,44.90000000,goaloriented,aimless
train-cc,020,task_engagement,aimless,8,12221,12822,602,20.06666667,noplay,noplay
train-cc,020,task_engagement,noplay,9,12823,12996,174,5.80000000,aimless,goaloriented
train-cc,020,task_engagement,goaloriented,10,12997,13000,4,0.13333333,noplay,noplay
train-cc,020,task_engagement,noplay,11,13001,13943,943,31.43333333,goaloriented,aimless
train-cc,020,task_engagement,aimless,12,13944,13944,1,0.03333333,noplay,goaloriented
train-cc,020,task_engagement,goaloriented,13,13945,13961,17,0.56666667,aimless,noplay
train-cc,020,task_engagement,noplay,14,13962,14109,148,4.93333333,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,15,14110,14125,16,0.53333333,noplay,noplay
train-cc,020,task_engagement,noplay,16,14126,14699,574,19.13333333,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,17,14700,16156,1457,48.56666667,noplay,adultseeking
train-cc,020,task_engagement,adultseeking,18,16157,16266,110,3.66666667,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,19,16267,17554,1288,42.93333333,adultseeking,noplay
train-cc,020,task_engagement,noplay,20,17555,17689,135,4.50000000,goaloriented,adultseeking
train-cc,020,task_engagement,adultseeking,21,17690,18234,545,18.16666667,noplay,aimless
train-cc,020,task_engagement,aimless,22,18235,18391,157,5.23333333,adultseeking,goaloriented
train-cc,020,task_engagement,goaloriented,23,18392,20219,1828,60.93333333,aimless,aimless
train-cc,020,task_engagement,aimless,24,20220,20305,86,2.86666667,goaloriented,adultseeking
train-cc,020,task_engagement,adultseeking,25,20306,20639,334,11.13333333,aimless,goaloriented
train-cc,020,task_engagement,goaloriented,26,20640,21437,798,26.60000000,adultseeking,adultseeking
train-cc,020,task_engagement,adultseeking,27,21438,21484,47,1.56666667,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,28,21485,22311,827,27.56666667,adultseeking,adultseeking
train-cc,020,task_engagement,adultseeking,29,22312,22481,170,5.66666667,goaloriented,aimless
train-cc,020,task_engagement,aimless,30,22482,22555,74,2.46666667,adultseeking,adultseeking
train-cc,020,task_engagement,adultseeking,31,22556,22666,111,3.70000000,aimless,noplay
train-cc,020,task_engagement,noplay,32,22667,22761,95,3.16666667,adultseeking,adultseeking
train-cc,020,task_engagement,adultseeking,33,22762,22998,237,7.90000000,noplay,noplay
train-cc,020,task_engagement,noplay,34,22999,23063,65,2.16666667,adultseeking,aimless
train-cc,020,task_engagement,aimless,35,23064,23571,508,16.93333333,noplay,adultseeking
train-cc,020,task_engagement,adultseeking,36,23572,23620,49,1.63333333,aimless,goaloriented
train-cc,020,task_engagement,goaloriented,37,23621,24067,447,14.90000000,adultseeking,aimless
train-cc,020,task_engagement,aimless,38,24068,24107,40,1.33333333,goaloriented,noplay
train-cc,020,task_engagement,noplay,39,24108,24207,100,3.33333333,aimless,goaloriented
train-cc,020,task_engagement,goaloriented,40,24208,24261,54,1.80000000,noplay,aimless
train-cc,020,task_engagement,aimless,41,24262,24450,189,6.30000000,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,42,24451,26027,1577,52.56666667,aimless,noplay
train-cc,020,task_engagement,noplay,43,26028,26152,125,4.16666667,goaloriented,aimless
train-cc,020,task_engagement,aimless,44,26153,26386,234,7.80000000,noplay,goaloriented
train-cc,020,task_engagement,goaloriented,45,26387,45786,19400,646.66666667,aimless,noplay
train-cc,020,task_engagement,noplay,46,45787,46597,811,27.03333333,goaloriented,aimless
train-cc,020,task_engagement,aimless,47,46598,46787,190,6.33333333,noplay,noplay
train-cc,020,task_engagement,noplay,48,46788,48467,1680,56.00000000,aimless,aimless
train-cc,020,task_engagement,aimless,49,48468,48579,112,3.73333333,noplay,noplay
train-cc,020,task_engagement,noplay,50,48580,49270,691,23.03333333,aimless,goaloriented
train-cc,020,task_engagement,goaloriented,51,49271,50706,1436,47.86666667,noplay,noplay
train-cc,020,task_engagement,noplay,52,50707,51651,945,31.50000000,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,53,51652,54207,2556,85.20000000,noplay,noplay
train-cc,020,task_engagement,noplay,54,54208,55367,1160,38.66666667,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,55,55368,59981,4614,153.80000000,noplay,noplay
train-cc,020,task_engagement,noplay,56,59982,60779,798,26.60000000,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,57,60780,61470,691,23.03333333,noplay,noplay
train-cc,020,task_engagement,noplay,58,61471,61863,393,13.10000000,goaloriented,goaloriented
train-cc,020,task_engagement,goaloriented,59,61864,62584,721,24.03333333,noplay,aimless
train-cc,020,task_engagement,aimless,60,62585,64810,2226,74.20000000,goaloriented,noplay
train-cc,020,task_engagement,noplay,61,64811,65704,894,29.80000000,aimless,goaloriented
train-cc,020,task_engagement,goaloriented,62,65705,65845,141,4.70000000,noplay,<END>
train-cc,020,social_engagement,solitary,0,0,148,149,4.96666667,<START>,parallel
train-cc,020,social_engagement,parallel,1,149,715,567,18.90000000,solitary,onlooker
train-cc,020,social_engagement,onlooker,2,716,765,50,1.66666667,parallel,solitary
train-cc,020,social_engagement,solitary,3,766,828,63,2.10000000,onlooker,parallel
train-cc,020,social_engagement,parallel,4,829,1330,502,16.73333333,solitary,cooperative
train-cc,020,social_engagement,cooperative,5,1331,2661,1331,44.36666667,parallel,parallel
train-cc,020,social_engagement,parallel,6,2662,4609,1948,64.93333333,cooperative,solitary
train-cc,020,social_engagement,solitary,7,4610,4770,161,5.36666667,parallel,parallel
train-cc,020,social_engagement,parallel,8,4771,4828,58,1.93333333,solitary,onlooker
train-cc,020,social_engagement,onlooker,9,4829,4989,161,5.36666667,parallel,associative
train-cc,020,social_engagement,associative,10,4990,5010,21,0.70000000,onlooker,cooperative
train-cc,020,social_engagement,cooperative,11,5011,5325,315,10.50000000,associative,onlooker
train-cc,020,social_engagement,onlooker,12,5326,6616,1291,43.03333333,cooperative,solitary
train-cc,020,social_engagement,solitary,13,6617,6828,212,7.06666667,onlooker,onlooker
train-cc,020,social_engagement,onlooker,14,6829,6925,97,3.23333333,solitary,parallel
train-cc,020,social_engagement,parallel,15,6926,6935,10,0.33333333,onlooker,cooperative
train-cc,020,social_engagement,cooperative,16,6936,6966,31,1.03333333,parallel,parallel
train-cc,020,social_engagement,parallel,17,6967,8059,1093,36.43333333,cooperative,associative
train-cc,020,social_engagement,associative,18,8060,8373,314,10.46666667,parallel,parallel
train-cc,020,social_engagement,parallel,19,8374,8767,394,13.13333333,associative,cooperative
train-cc,020,social_engagement,cooperative,20,8768,10924,2157,71.90000000,parallel,onlooker
train-cc,020,social_engagement,onlooker,21,10925,12130,1206,40.20000000,cooperative,solitary
train-cc,020,social_engagement,solitary,22,12131,12133,3,0.10000000,onlooker,onlooker
train-cc,020,social_engagement,onlooker,23,12134,12688,555,18.50000000,solitary,solitary
train-cc,020,social_engagement,solitary,24,12689,12899,211,7.03333333,onlooker,parallel
train-cc,020,social_engagement,parallel,25,12900,15141,2242,74.73333333,solitary,cooperative
train-cc,020,social_engagement,cooperative,26,15142,15811,670,22.33333333,parallel,associative
train-cc,020,social_engagement,associative,27,15812,16361,550,18.33333333,cooperative,parallel
train-cc,020,social_engagement,parallel,28,16362,16756,395,13.16666667,associative,cooperative
train-cc,020,social_engagement,cooperative,29,16757,17023,267,8.90000000,parallel,parallel
train-cc,020,social_engagement,parallel,30,17024,17980,957,31.90000000,cooperative,cooperative
train-cc,020,social_engagement,cooperative,31,17981,18390,410,13.66666667,parallel,parallel
train-cc,020,social_engagement,parallel,32,18391,19303,913,30.43333333,cooperative,associative
train-cc,020,social_engagement,associative,33,19304,19411,108,3.60000000,parallel,parallel
train-cc,020,social_engagement,parallel,34,19412,20175,764,25.46666667,associative,onlooker
train-cc,020,social_engagement,onlooker,35,20176,20445,270,9.00000000,parallel,parallel
train-cc,020,social_engagement,parallel,36,20446,20470,25,0.83333333,onlooker,onlooker
train-cc,020,social_engagement,onlooker,37,20471,20592,122,4.06666667,parallel,parallel
train-cc,020,social_engagement,parallel,38,20593,25509,4917,163.90000000,onlooker,solitary
train-cc,020,social_engagement,solitary,39,25510,25531,22,0.73333333,parallel,onlooker
train-cc,020,social_engagement,onlooker,40,25532,25812,281,9.36666667,solitary,parallel
train-cc,020,social_engagement,parallel,41,25813,25861,49,1.63333333,onlooker,onlooker
train-cc,020,social_engagement,onlooker,42,25862,26095,234,7.80000000,parallel,associative
train-cc,020,social_engagement,associative,43,26096,27321,1226,40.86666667,onlooker,parallel
train-cc,020,social_engagement,parallel,44,27322,31433,4112,137.06666667,associative,associative
train-cc,020,social_engagement,associative,45,31434,33207,1774,59.13333333,parallel,cooperative
train-cc,020,social_engagement,cooperative,46,33208,34848,1641,54.70000000,associative,parallel
train-cc,020,social_engagement,parallel,47,34849,35074,226,7.53333333,cooperative,associative
train-cc,020,social_engagement,associative,48,35075,36814,1740,58.00000000,parallel,parallel
train-cc,020,social_engagement,parallel,49,36815,37989,1175,39.16666667,associative,cooperative
train-cc,020,social_engagement,cooperative,50,37990,39703,1714,57.13333333,parallel,parallel
train-cc,020,social_engagement,parallel,51,39704,39731,28,0.93333333,cooperative,cooperative
train-cc,020,social_engagement,cooperative,52,39732,40332,601,20.03333333,parallel,parallel
train-cc,020,social_engagement,parallel,53,40333,40819,487,16.23333333,cooperative,cooperative
train-cc,020,social_engagement,cooperative,54,40820,41127,308,10.26666667,parallel,solitary
train-cc,020,social_engagement,solitary,55,41128,41151,24,0.80000000,cooperative,onlooker
train-cc,020,social_engagement,onlooker,56,41152,41152,1,0.03333333,solitary,parallel
train-cc,020,social_engagement,parallel,57,41153,41176,24,0.80000000,onlooker,onlooker
train-cc,020,social_engagement,onlooker,58,41177,41346,170,5.66666667,parallel,associative
train-cc,020,social_engagement,associative,59,41347,41502,156,5.20000000,onlooker,onlooker
train-cc,020,social_engagement,onlooker,60,41503,42286,784,26.13333333,associative,associative
train-cc,020,social_engagement,associative,61,42287,43081,795,26.50000000,onlooker,parallel
train-cc,020,social_engagement,parallel,62,43082,43165,84,2.80000000,associative,associative
train-cc,020,social_engagement,associative,63,43166,44044,879,29.30000000,parallel,parallel
