scenario,split,color,task,label,count,proportion
all,train-cc,purple,social_engagement,<blank>,72334,0.08146592
all,train-cc,purple,social_engagement,associative,107291,0.12083613
all,train-cc,purple,social_engagement,cooperative,409781,0.46151446
all,train-cc,purple,social_engagement,nan,24698,0.02781604
all,train-cc,purple,social_engagement,onlooker,33508,0.03773827
all,train-cc,purple,social_engagement,parallel,185620,0.20905390
all,train-cc,purple,social_engagement,solitary,54673,0.06157528
all,train-cc,purple,task_engagement,<blank>,63206,0.07118554
all,train-cc,purple,task_engagement,adultseeking,17238,0.01941424
all,train-cc,purple,task_engagement,aimless,132078,0.14875240
all,train-cc,purple,task_engagement,goaloriented,517055,0.58233144
all,train-cc,purple,task_engagement,nan,23196,0.02612442
all,train-cc,purple,task_engagement,noplay,135132,0.15219196
all,train-cc,yellow,social_engagement,<blank>,72415,0.08155715
all,train-cc,yellow,social_engagement,associative,114369,0.12880770
all,train-cc,yellow,social_engagement,cooperative,389530,0.43870684
all,train-cc,yellow,social_engagement,nan,23229,0.02616158
all,train-cc,yellow,social_engagement,onlooker,62068,0.06990387
all,train-cc,yellow,social_engagement,parallel,166459,0.18747389
all,train-cc,yellow,social_engagement,solitary,59835,0.06738897
all,train-cc,yellow,task_engagement,<blank>,62986,0.07093777
all,train-cc,yellow,task_engagement,adultseeking,8305,0.00935348
all,train-cc,yellow,task_engagement,aimless,147955,0.16663382
all,train-cc,yellow,task_engagement,goaloriented,506363,0.57028961
all,train-cc,yellow,task_engagement,nan,22606,0.02545993
all,train-cc,yellow,task_engagement,noplay,139690,0.15732539
all,train-cr,purple,social_engagement,<blank>,6,0.00001475
all,train-cr,purple,social_engagement,associative,712,0.00174981
all,train-cr,purple,social_engagement,nan,22753,0.05591764
all,train-cr,purple,social_engagement,onlooker,10952,0.02691557
all,train-cr,purple,social_engagement,parallel,102543,0.25200908
all,train-cr,purple,social_engagement,solitary,269936,0.66339315
all,train-cr,purple,task_engagement,<blank>,6,0.00001475
all,train-cr,purple,task_engagement,adultseeking,13120,0.03224364
all,train-cr,purple,task_engagement,aimless,18890,0.04642395
all,train-cr,purple,task_engagement,goaloriented,295440,0.72607163
all,train-cr,purple,task_engagement,nan,22753,0.05591764
all,train-cr,purple,task_engagement,noplay,56693,0.13932839
all,train-cr,yellow,social_engagement,<blank>,6,0.00001475
all,train-cr,yellow,social_engagement,associative,13443,0.03303744
all,train-cr,yellow,social_engagement,nan,22753,0.05591764
all,train-cr,yellow,social_engagement,onlooker,18111,0.04450949
all,train-cr,yellow,social_engagement,parallel,171809,0.42223680
all,train-cr,yellow,social_engagement,solitary,180780,0.44428388
all,train-cr,yellow,task_engagement,<blank>,6,0.00001475
all,train-cr,yellow,task_engagement,aimless,26507,0.06514345
all,train-cr,yellow,task_engagement,goaloriented,1206,0.00296386
all,train-cr,yellow,task_engagement,nan,22753,0.05591764
all,train-cr,yellow,task_engagement,noplay,356430,0.87596030
drop_blank,train-cc,purple,social_engagement,associative,107291,0.13155323
drop_blank,train-cc,purple,social_engagement,cooperative,409781,0.50244675
drop_blank,train-cc,purple,social_engagement,nan,24698,0.03028308
drop_blank,train-cc,purple,social_engagement,onlooker,33508,0.04108533
drop_blank,train-cc,purple,social_engagement,parallel,185620,0.22759514
drop_blank,train-cc,purple,social_engagement,solitary,54673,0.06703647
drop_blank,train-cc,purple,task_engagement,adultseeking,17238,0.02090217
drop_blank,train-cc,purple,task_engagement,aimless,132078,0.16015298
drop_blank,train-cc,purple,task_engagement,goaloriented,517055,0.62696208
drop_blank,train-cc,purple,task_engagement,nan,23196,0.02812663
drop_blank,train-cc,purple,task_engagement,noplay,135132,0.16385615
drop_blank,train-cc,yellow,social_engagement,associative,114369,0.14024574
drop_blank,train-cc,yellow,social_engagement,cooperative,389530,0.47766374
drop_blank,train-cc,yellow,social_engagement,nan,23229,0.02848471
drop_blank,train-cc,yellow,social_engagement,onlooker,62068,0.07611130
drop_blank,train-cc,yellow,social_engagement,parallel,166459,0.20412145
drop_blank,train-cc,yellow,social_engagement,solitary,59835,0.07337306
drop_blank,train-cc,yellow,task_engagement,adultseeking,8305,0.01006766
drop_blank,train-cc,yellow,task_engagement,aimless,147955,0.17935700
drop_blank,train-cc,yellow,task_engagement,goaloriented,506363,0.61383360
drop_blank,train-cc,yellow,task_engagement,nan,22606,0.02740390
drop_blank,train-cc,yellow,task_engagement,noplay,139690,0.16933784
drop_blank,train-cr,purple,social_engagement,associative,712,0.00174983
drop_blank,train-cr,purple,social_engagement,nan,22753,0.05591847
drop_blank,train-cr,purple,social_engagement,onlooker,10952,0.02691597
drop_blank,train-cr,purple,social_engagement,parallel,102543,0.25201280
drop_blank,train-cr,purple,social_engagement,solitary,269936,0.66340293
drop_blank,train-cr,purple,task_engagement,adultseeking,13120,0.03224411
drop_blank,train-cr,purple,task_engagement,aimless,18890,0.04642464
drop_blank,train-cr,purple,task_engagement,goaloriented,295440,0.72608234
drop_blank,train-cr,purple,task_engagement,nan,22753,0.05591847
drop_blank,train-cr,purple,task_engagement,noplay,56693,0.13933044
drop_blank,train-cr,yellow,social_engagement,associative,13443,0.03303793
drop_blank,train-cr,yellow,social_engagement,nan,22753,0.05591847
drop_blank,train-cr,yellow,social_engagement,onlooker,18111,0.04451015
drop_blank,train-cr,yellow,social_engagement,parallel,171809,0.42224303
drop_blank,train-cr,yellow,social_engagement,solitary,180780,0.44429043
drop_blank,train-cr,yellow,task_engagement,aimless,26507,0.06514441
drop_blank,train-cr,yellow,task_engagement,goaloriented,1206,0.00296390
drop_blank,train-cr,yellow,task_engagement,nan,22753,0.05591847
drop_blank,train-cr,yellow,task_engagement,noplay,356430,0.87597322
drop_blank_and_nan,train-cc,purple,social_engagement,associative,107291,0.13566148
drop_blank_and_nan,train-cc,purple,social_engagement,cooperative,409781,0.51813755
drop_blank_and_nan,train-cc,purple,social_engagement,onlooker,33508,0.04236837
drop_blank_and_nan,train-cc,purple,social_engagement,parallel,185620,0.23470266
drop_blank_and_nan,train-cc,purple,social_engagement,solitary,54673,0.06912994
drop_blank_and_nan,train-cc,purple,task_engagement,adultseeking,17238,0.02150709
drop_blank_and_nan,train-cc,purple,task_engagement,aimless,132078,0.16478790
drop_blank_and_nan,train-cc,purple,task_engagement,goaloriented,517055,0.64510676
drop_blank_and_nan,train-cc,purple,task_engagement,noplay,135132,0.16859825
drop_blank_and_nan,train-cc,yellow,social_engagement,associative,114369,0.14435773
drop_blank_and_nan,train-cc,yellow,social_engagement,cooperative,389530,0.49166878
drop_blank_and_nan,train-cc,yellow,social_engagement,onlooker,62068,0.07834287
drop_blank_and_nan,train-cc,yellow,social_engagement,parallel,166459,0.21010627
drop_blank_and_nan,train-cc,yellow,social_engagement,solitary,59835,0.07552435
drop_blank_and_nan,train-cc,yellow,task_engagement,adultseeking,8305,0.01035132
drop_blank_and_nan,train-cc,yellow,task_engagement,aimless,147955,0.18441057
drop_blank_and_nan,train-cc,yellow,task_engagement,goaloriented,506363,0.63112900
drop_blank_and_nan,train-cc,yellow,task_engagement,noplay,139690,0.17410911
drop_blank_and_nan,train-cr,purple,social_engagement,associative,712,0.00185348
drop_blank_and_nan,train-cr,purple,social_engagement,onlooker,10952,0.02851022
drop_blank_and_nan,train-cr,purple,social_engagement,parallel,102543,0.26693966
drop_blank_and_nan,train-cr,purple,social_engagement,solitary,269936,0.70269665
drop_blank_and_nan,train-cr,purple,task_engagement,adultseeking,13120,0.03415395
drop_blank_and_nan,train-cr,purple,task_engagement,aimless,18890,0.04917440
drop_blank_and_nan,train-cr,purple,task_engagement,goaloriented,295440,0.76908859
drop_blank_and_nan,train-cr,purple,task_engagement,noplay,56693,0.14758306
drop_blank_and_nan,train-cr,yellow,social_engagement,associative,13443,0.03499478
drop_blank_and_nan,train-cr,yellow,social_engagement,onlooker,18111,0.04714651
