scenario,split,color,task,label,count,weight
all,train-cc,purple,social_engagement,<blank>,72334,1.75358160
all,train-cc,purple,social_engagement,associative,107291,1.18223869
all,train-cc,purple,social_engagement,cooperative,409781,0.30953990
all,train-cc,purple,social_engagement,nan,24698,5.13578312
all,train-cc,purple,social_engagement,onlooker,33508,3.78547127
all,train-cc,purple,social_engagement,parallel,185620,0.68335078
all,train-cc,purple,social_engagement,solitary,54673,2.32004045
all,train-cc,purple,task_engagement,<blank>,63206,2.34129935
all,train-cc,purple,task_engagement,adultseeking,17238,8.58476428
all,train-cc,purple,task_engagement,aimless,132078,1.12043010
all,train-cc,purple,task_engagement,goaloriented,517055,0.28620585
all,train-cc,purple,task_engagement,nan,23196,6.37972783
all,train-cc,purple,task_engagement,noplay,135132,1.09510824
all,train-cc,yellow,social_engagement,<blank>,72415,1.75162013
all,train-cc,yellow,social_engagement,associative,114369,1.10907301
all,train-cc,yellow,social_engagement,cooperative,389530,0.32563236
all,train-cc,yellow,social_engagement,nan,23229,5.46056961
all,train-cc,yellow,social_engagement,onlooker,62068,2.04362266
all,train-cc,yellow,social_engagement,parallel,166459,0.76201089
all,train-cc,yellow,social_engagement,solitary,59835,2.11988922
all,train-cc,yellow,task_engagement,<blank>,62986,2.34947713
all,train-cc,yellow,task_engagement,adultseeking,8305,17.81868352
all,train-cc,yellow,task_engagement,aimless,147955,1.00019713
all,train-cc,yellow,task_engagement,goaloriented,506363,0.29224917
all,train-cc,yellow,task_engagement,nan,22606,6.54623404
all,train-cc,yellow,task_engagement,noplay,139690,1.05937552
all,train-cr,purple,social_engagement,<blank>,6,11302.83333333
all,train-cr,purple,social_engagement,associative,712,95.24859551
all,train-cr,purple,social_engagement,nan,22753,2.98057399
all,train-cr,purple,social_engagement,onlooker,10952,6.19220234
all,train-cr,purple,social_engagement,parallel,102543,0.66135182
all,train-cr,purple,social_engagement,solitary,269936,0.25123363
all,train-cr,purple,task_engagement,<blank>,6,11302.83333333
all,train-cr,purple,task_engagement,adultseeking,13120,5.16897866
all,train-cr,purple,task_engagement,aimless,18890,3.59010058
all,train-cr,purple,task_engagement,goaloriented,295440,0.22954576
all,train-cr,purple,task_engagement,nan,22753,2.98057399
all,train-cr,purple,task_engagement,noplay,56693,1.19621470
all,train-cr,yellow,social_engagement,<blank>,6,11302.83333333
all,train-cr,yellow,social_engagement,associative,13443,5.04478167
all,train-cr,yellow,social_engagement,nan,22753,2.98057399
all,train-cr,yellow,social_engagement,onlooker,18111,3.74451991
all,train-cr,yellow,social_engagement,parallel,171809,0.39472321
