scenario,split,session_id,color,task,label,count
all,train-cc,002,purple,task_engagement,<blank>,1
all,train-cc,002,purple,task_engagement,adultseeking,233
all,train-cc,002,purple,task_engagement,aimless,1168
all,train-cc,002,purple,task_engagement,goaloriented,21386
all,train-cc,002,purple,task_engagement,noplay,5774
drop_blank,train-cc,002,purple,task_engagement,adultseeking,233
drop_blank,train-cc,002,purple,task_engagement,aimless,1168
drop_blank,train-cc,002,purple,task_engagement,goaloriented,21386
drop_blank,train-cc,002,purple,task_engagement,noplay,5774
drop_nan,train-cc,002,purple,task_engagement,<blank>,1
drop_nan,train-cc,002,purple,task_engagement,adultseeking,233
drop_nan,train-cc,002,purple,task_engagement,aimless,1168
drop_nan,train-cc,002,purple,task_engagement,goaloriented,21386
drop_nan,train-cc,002,purple,task_engagement,noplay,5774
drop_blank_and_nan,train-cc,002,purple,task_engagement,adultseeking,233
drop_blank_and_nan,train-cc,002,purple,task_engagement,aimless,1168
drop_blank_and_nan,train-cc,002,purple,task_engagement,goaloriented,21386
drop_blank_and_nan,train-cc,002,purple,task_engagement,noplay,5774
all,train-cc,002,purple,social_engagement,<blank>,1
all,train-cc,002,purple,social_engagement,cooperative,9934
all,train-cc,002,purple,social_engagement,parallel,10029
all,train-cc,002,purple,social_engagement,solitary,8598
drop_blank,train-cc,002,purple,social_engagement,cooperative,9934
drop_blank,train-cc,002,purple,social_engagement,parallel,10029
drop_blank,train-cc,002,purple,social_engagement,solitary,8598
drop_nan,train-cc,002,purple,social_engagement,<blank>,1
drop_nan,train-cc,002,purple,social_engagement,cooperative,9934
drop_nan,train-cc,002,purple,social_engagement,parallel,10029
drop_nan,train-cc,002,purple,social_engagement,solitary,8598
drop_blank_and_nan,train-cc,002,purple,social_engagement,cooperative,9934
drop_blank_and_nan,train-cc,002,purple,social_engagement,parallel,10029
drop_blank_and_nan,train-cc,002,purple,social_engagement,solitary,8598
all,train-cc,002,yellow,task_engagement,<blank>,1
all,train-cc,002,yellow,task_engagement,adultseeking,489
all,train-cc,002,yellow,task_engagement,aimless,2063
all,train-cc,002,yellow,task_engagement,goaloriented,17366
all,train-cc,002,yellow,task_engagement,noplay,8643
drop_blank,train-cc,002,yellow,task_engagement,adultseeking,489
drop_blank,train-cc,002,yellow,task_engagement,aimless,2063
drop_blank,train-cc,002,yellow,task_engagement,goaloriented,17366
drop_blank,train-cc,002,yellow,task_engagement,noplay,8643
drop_nan,train-cc,002,yellow,task_engagement,<blank>,1
drop_nan,train-cc,002,yellow,task_engagement,adultseeking,489
drop_nan,train-cc,002,yellow,task_engagement,aimless,2063
drop_nan,train-cc,002,yellow,task_engagement,goaloriented,17366
drop_nan,train-cc,002,yellow,task_engagement,noplay,8643
drop_blank_and_nan,train-cc,002,yellow,task_engagement,adultseeking,489
drop_blank_and_nan,train-cc,002,yellow,task_engagement,aimless,2063
drop_blank_and_nan,train-cc,002,yellow,task_engagement,goaloriented,17366
drop_blank_and_nan,train-cc,002,yellow,task_engagement,noplay,8643
all,train-cc,002,yellow,social_engagement,<blank>,1
all,train-cc,002,yellow,social_engagement,cooperative,6360
all,train-cc,002,yellow,social_engagement,onlooker,10231
all,train-cc,002,yellow,social_engagement,parallel,9605
all,train-cc,002,yellow,social_engagement,solitary,2365
drop_blank,train-cc,002,yellow,social_engagement,cooperative,6360
drop_blank,train-cc,002,yellow,social_engagement,onlooker,10231
drop_blank,train-cc,002,yellow,social_engagement,parallel,9605
drop_blank,train-cc,002,yellow,social_engagement,solitary,2365
