split,session_id,color,task,file_type,total_rows,nonblank_rows,blank_rows,agreement_rate
train-cc,002,purple,task_engagement,main,28562,28561,1,0.999965
train-cc,002,purple,social_engagement,main,28562,28561,1,0.999965
train-cc,002,yellow,task_engagement,main,28562,28561,1,0.999965
train-cc,002,yellow,social_engagement,main,28562,28561,1,0.999965
train-cc,003,purple,task_engagement,main,35806,35806,0,1.000000
train-cc,003,purple,social_engagement,main,35806,35806,0,1.000000
train-cc,003,yellow,task_engagement,main,35806,35806,0,1.000000
train-cc,003,yellow,social_engagement,main,35806,35806,0,1.000000
train-cc,012,purple,task_engagement,main,33448,33448,0,1.000000
train-cc,012,purple,social_engagement,main,33448,33448,0,1.000000
train-cc,012,yellow,task_engagement,main,33448,33448,0,1.000000
train-cc,012,yellow,social_engagement,main,33448,33448,0,1.000000
train-cc,015,purple,task_engagement,main,22161,22161,0,1.000000
train-cc,015,purple,social_engagement,main,22161,22161,0,1.000000
train-cc,015,yellow,task_engagement,main,22161,22161,0,1.000000
train-cc,015,yellow,social_engagement,main,22161,22161,0,1.000000
train-cc,020,purple,task_engagement,main,65847,65847,0,1.000000
train-cc,020,purple,social_engagement,main,65847,65847,0,1.000000
train-cc,020,yellow,task_engagement,main,65847,65847,0,1.000000
train-cc,020,yellow,social_engagement,main,65847,65847,0,1.000000
train-cc,022,purple,task_engagement,main,16481,16480,1,0.999939
train-cc,022,purple,social_engagement,main,16481,16480,1,0.999939
train-cc,022,yellow,task_engagement,main,16481,16480,1,0.999939
train-cc,022,yellow,social_engagement,main,16481,16480,1,0.999939
train-cc,024,purple,task_engagement,main,24575,4662,19913,0.189705
train-cc,024,purple,social_engagement,main,24575,2242,22333,0.091231
train-cc,024,yellow,task_engagement,main,24575,4835,19740,0.196745
train-cc,024,yellow,social_engagement,main,24575,2118,22457,0.086185
train-cc,028,purple,task_engagement,main,53393,53392,1,0.999981
train-cc,028,purple,social_engagement,main,53393,53392,1,0.999981
train-cc,028,yellow,task_engagement,main,53393,53392,1,0.999981
train-cc,028,yellow,social_engagement,main,53393,53392,1,0.999981
train-cc,029,purple,task_engagement,main,71837,71837,0,1.000000
train-cc,029,purple,social_engagement,main,71837,71837,0,1.000000
train-cc,029,yellow,task_engagement,main,71837,71837,0,1.000000
train-cc,029,yellow,social_engagement,main,71837,71837,0,1.000000
train-cc,033,purple,task_engagement,main,71819,71819,0,1.000000
train-cc,033,purple,social_engagement,main,71819,71819,0,1.000000
train-cc,033,yellow,task_engagement,main,71819,71819,0,1.000000
