split,session_id,task,transition_rate_per_min,mean_run_sec,median_run_sec,entropy_label_mix
train-cc,002,task_engagement,1.95371311,29.75104167,16.21666667,1.02399959
train-cc,002,social_engagement,0.18906901,238.00833333,255.78333333,1.58150703
train-cc,003,task_engagement,1.25677261,45.90512821,27.41666667,1.19431390
train-cc,003,social_engagement,0.50270904,108.50303030,41.73333333,0.71971552
train-cc,012,task_engagement,3.49796699,16.89292929,12.50000000,1.45316976
train-cc,012,social_engagement,0.26907438,185.82222222,209.86666667,1.03453469
train-cc,015,task_engagement,0.58670143,87.65714286,26.73333333,0.82669039
train-cc,015,social_engagement,1.17340287,47.20000000,23.20000000,1.06922769
train-cc,020,task_engagement,1.69486377,34.83915344,13.10000000,1.21369878
train-cc,020,social_engagement,2.89767032,20.51277259,10.83333333,2.05406895
train-cc,022,task_engagement,0.21844660,183.11111111,55.53333333,0.58062378
train-cc,022,social_engagement,0.87378641,61.03703704,44.33333333,1.07634944
train-cc,024,task_engagement,2.31660232,22.20000000,19.46666667,0.88885546
train-cc,024,social_engagement,1.60570919,24.91111111,21.30000000,1.40760127
train-cc,028,task_engagement,0.64770274,88.00333333,27.43333333,1.20488008
train-cc,028,social_engagement,0.56140351,100.58823529,44.80000000,1.48482667
train-cc,029,task_engagement,0.67653159,85.52023810,41.56666667,1.00910650
train-cc,029,social_engagement,0.20045381,266.06296296,39.40000000,0.54725966
train-cc,033,task_engagement,1.80453640,32.79406393,17.90000000,1.06998370
train-cc,033,social_engagement,0.95239421,61.38376068,29.60000000,2.20600748
train-cc,037,task_engagement,1.98840099,28.40000000,20.16666667,1.40945633
train-cc,037,social_engagement,1.01237345,50.80000000,42.86666667,1.66441259
train-cc,039,task_engagement,0.90199190,64.72162162,21.66666667,0.78616766
train-cc,039,social_engagement,1.05232388,55.69069767,22.66666667,1.41615259
train-cc,042,task_engagement,0.93135564,48.31666667,30.50000000,0.85558238
train-cc,042,social_engagement,1.23881624,32.28888889,34.36666667,1.08010799
train-cc,043,task_engagement,1.60494561,35.04791667,29.15000000,1.13907975
train-cc,043,social_engagement,0.42798550,112.15333333,55.13333333,1.34390523
train-cc,044,task_engagement,1.15671322,50.19784946,18.80000000,1.20949502
train-cc,044,social_engagement,0.07711421,518.71111111,135.90000000,0.56970375
train-cc,051,task_engagement,0.12245106,391.99333333,96.76666667,0.58367003
train-cc,051,social_engagement,0.24490212,217.77407407,50.26666667,0.58185053
train-cc,054,task_engagement,1.32804343,44.34259259,9.90000000,0.78508944
train-cc,054,social_engagement,1.15264147,50.94680851,22.63333333,1.10835474
train-cc,058,task_engagement,2.86898310,20.65514403,13.40000000,1.53319112
train-cc,058,social_engagement,0.43034747,128.69743590,100.30000000,1.13376773
train-cc,060,task_engagement,1.34821362,40.45757576,3.70000000,0.86186601
train-cc,060,social_engagement,0.94374953,55.62916667,21.75000000,1.17508648
train-cc,061,task_engagement,1.90285813,30.96845238,15.58333333,1.43959151
train-cc,061,social_engagement,0.27677936,192.69259259,148.93333333,1.12044319
train-cr,004,task_engagement,1.19869616,47.55166667,13.96666667,1.03110902
train-cr,004,social_engagement,0.25235709,190.20666667,116.16666667,0.71184800
train-cr,023,task_engagement,2.75938190,20.90769231,19.25000000,1.10091346
train-cr,023,social_engagement,0.77262693,67.95000000,22.91666667,0.76354330
train-cr,032,task_engagement,2.33023420,24.99117647,5.55000000,1.09750278
train-cr,032,social_engagement,1.20042368,47.20555556,7.53333333,0.75712705
train-cr,045,task_engagement,0.66843774,83.35000000,31.33333333,1.01306922
train-cr,045,social_engagement,0.25709144,194.48333333,114.61666667,0.42238937
train-cr,047,task_engagement,2.22158929,26.33250000,15.66666667,1.03709492
train-cr,047,social_engagement,0.28481914,175.55000000,59.88333333,0.65623861
train-cr,048,task_engagement,4.11230686,14.21623932,6.60000000,1.15030991
train-cr,048,social_engagement,0.00000000,554.43333333,554.43333333,0.00000000
train-cr,050,task_engagement,1.87871830,30.90645161,9.80000000,0.82744003
train-cr,050,social_engagement,0.00000000,958.10000000,958.10000000,0.00000000
train-cr,056,task_engagement,0.32496841,123.08888889,66.66666667,0.70821232
train-cr,056,social_engagement,0.32496841,123.08888889,136.43333333,0.41688018
train-cr,057,task_engagement,1.12616576,51.66363636,18.80000000,0.60967813
train-cr,057,social_engagement,0.00000000,1704.90000000,1704.90000000,0.00000000
train-cr,063,task_engagement,0.56962845,100.75217391,21.43333333,1.07827850
train-cr,063,social_engagement,0.38838303,144.83125000,35.35000000,0.45492638
train-cr,067,task_engagement,1.49664215,38.60493827,12.26666667,0.79011361
train-cr,067,social_engagement,0.05756316,521.16666667,521.16666667,0.35010401
train-cr,069,task_engagement,2.08671458,28.12826087,10.33333333,0.86962206
train-cr,069,social_engagement,0.00000000,1293.90000000,1293.90000000,0.00000000
