split,task,from_label,to_label,prob
train-cc,social_engagement,associative,cooperative,0.62686567
train-cc,social_engagement,associative,onlooker,0.14925373
train-cc,social_engagement,associative,parallel,0.20895522
train-cc,social_engagement,associative,solitary,0.01492537
train-cc,social_engagement,cooperative,associative,0.45833333
train-cc,social_engagement,cooperative,onlooker,0.12500000
train-cc,social_engagement,cooperative,parallel,0.33333333
train-cc,social_engagement,cooperative,solitary,0.08333333
train-cc,social_engagement,onlooker,associative,0.24528302
train-cc,social_engagement,onlooker,cooperative,0.05660377
train-cc,social_engagement,onlooker,parallel,0.45283019
train-cc,social_engagement,onlooker,solitary,0.24528302
train-cc,social_engagement,parallel,associative,0.18279570
train-cc,social_engagement,parallel,cooperative,0.38709677
train-cc,social_engagement,parallel,onlooker,0.21505376
train-cc,social_engagement,parallel,solitary,0.21505376
train-cc,social_engagement,solitary,associative,0.10000000
train-cc,social_engagement,solitary,cooperative,0.11666667
train-cc,social_engagement,solitary,onlooker,0.23333333
train-cc,social_engagement,solitary,parallel,0.55000000
train-cc,task_engagement,adultseeking,aimless,0.39024390
train-cc,task_engagement,adultseeking,goaloriented,0.46341463
train-cc,task_engagement,adultseeking,noplay,0.14634146
train-cc,task_engagement,aimless,adultseeking,0.06993007
train-cc,task_engagement,aimless,goaloriented,0.38461538
train-cc,task_engagement,aimless,noplay,0.54545455
train-cc,task_engagement,goaloriented,adultseeking,0.11616162
train-cc,task_engagement,goaloriented,aimless,0.20707071
train-cc,task_engagement,goaloriented,noplay,0.67676768
train-cc,task_engagement,noplay,adultseeking,0.04255319
train-cc,task_engagement,noplay,aimless,0.39148936
train-cc,task_engagement,noplay,goaloriented,0.56595745
train-cr,social_engagement,associative,parallel,1.00000000
train-cr,social_engagement,onlooker,parallel,0.31578947
train-cr,social_engagement,onlooker,solitary,0.68421053
train-cr,social_engagement,parallel,associative,0.21428571
train-cr,social_engagement,parallel,onlooker,0.57142857
train-cr,social_engagement,parallel,solitary,0.21428571
train-cr,social_engagement,solitary,associative,0.05263158
train-cr,social_engagement,solitary,onlooker,0.57894737
train-cr,social_engagement,solitary,parallel,0.36842105
train-cr,task_engagement,adultseeking,aimless,0.02777778
train-cr,task_engagement,adultseeking,goaloriented,0.72222222
train-cr,task_engagement,adultseeking,noplay,0.25000000
train-cr,task_engagement,aimless,goaloriented,0.73913043
train-cr,task_engagement,aimless,noplay,0.26086957
train-cr,task_engagement,goaloriented,adultseeking,0.21830986
train-cr,task_engagement,goaloriented,aimless,0.07042254
train-cr,task_engagement,goaloriented,noplay,0.71126761
train-cr,task_engagement,noplay,adultseeking,0.08130081
train-cr,task_engagement,noplay,aimless,0.10569106
train-cr,task_engagement,noplay,goaloriented,0.81300813
