split,session_id,color,task,total_rows,nan_rows,nan_rate
train-cc,002,purple,task_engagement,28562,0,0.00000000
train-cc,002,purple,social_engagement,28562,0,0.00000000
train-cc,002,yellow,task_engagement,28562,0,0.00000000
train-cc,002,yellow,social_engagement,28562,0,0.00000000
train-cc,003,purple,task_engagement,35806,0,0.00000000
train-cc,003,purple,social_engagement,35806,0,0.00000000
train-cc,003,yellow,task_engagement,35806,0,0.00000000
train-cc,003,yellow,social_engagement,35806,0,0.00000000
train-cc,012,purple,task_engagement,33448,0,0.00000000
train-cc,012,purple,social_engagement,33448,0,0.00000000
train-cc,012,yellow,task_engagement,33448,0,0.00000000
train-cc,012,yellow,social_engagement,33448,0,0.00000000
train-cc,015,purple,task_engagement,22161,3753,0.16935156
train-cc,015,purple,social_engagement,22161,3753,0.16935156
train-cc,015,yellow,task_engagement,22161,3753,0.16935156
train-cc,015,yellow,social_engagement,22161,3753,0.16935156
train-cc,020,purple,task_engagement,65847,1,0.00001519
train-cc,020,purple,social_engagement,65847,1,0.00001519
train-cc,020,yellow,task_engagement,65847,1,0.00001519
train-cc,020,yellow,social_engagement,65847,1,0.00001519
train-cc,022,purple,task_engagement,16481,0,0.00000000
train-cc,022,purple,social_engagement,16481,0,0.00000000
train-cc,022,yellow,task_engagement,16481,0,0.00000000
train-cc,022,yellow,social_engagement,16481,0,0.00000000
train-cc,024,purple,task_engagement,24575,0,0.00000000
train-cc,024,purple,social_engagement,24575,0,0.00000000
train-cc,024,yellow,task_engagement,24575,0,0.00000000
train-cc,024,yellow,social_engagement,24575,0,0.00000000
train-cc,028,purple,task_engagement,53393,590,0.01105014
train-cc,028,purple,social_engagement,53393,2092,0.03918117
train-cc,028,yellow,task_engagement,53393,0,0.00000000
train-cc,028,yellow,social_engagement,53393,0,0.00000000
train-cc,029,purple,task_engagement,71837,0,0.00000000
train-cc,029,purple,social_engagement,71837,0,0.00000000
train-cc,029,yellow,task_engagement,71837,0,0.00000000
train-cc,029,yellow,social_engagement,71837,0,0.00000000
train-cc,033,purple,task_engagement,71819,0,0.00000000
train-cc,033,purple,social_engagement,71819,0,0.00000000
train-cc,033,yellow,task_engagement,71819,0,0.00000000
train-cc,033,yellow,social_engagement,71819,0,0.00000000
train-cc,037,purple,task_engagement,36762,0,0.00000000
train-cc,037,purple,social_engagement,36762,0,0.00000000
train-cc,037,yellow,task_engagement,36762,0,0.00000000
train-cc,037,yellow,social_engagement,36762,0,0.00000000
train-cc,039,purple,task_engagement,71841,0,0.00000000
train-cc,039,purple,social_engagement,71841,0,0.00000000
train-cc,039,yellow,task_engagement,71841,0,0.00000000
train-cc,039,yellow,social_engagement,71841,0,0.00000000
train-cc,042,purple,task_engagement,40097,13290,0.33144624
train-cc,042,purple,social_engagement,40097,13290,0.33144624
train-cc,042,yellow,task_engagement,40097,13290,0.33144624
train-cc,042,yellow,social_engagement,40097,13913,0.34698356
train-cc,043,purple,task_engagement,16824,0,0.00000000
train-cc,043,purple,social_engagement,16824,0,0.00000000
train-cc,043,yellow,task_engagement,16824,0,0.00000000
train-cc,043,yellow,social_engagement,16824,0,0.00000000
train-cc,044,purple,task_engagement,46684,0,0.00000000
train-cc,044,purple,social_engagement,46684,0,0.00000000
train-cc,044,yellow,task_engagement,46684,0,0.00000000
train-cc,044,yellow,social_engagement,46684,0,0.00000000
train-cc,051,purple,task_engagement,58801,0,0.00000000
train-cc,051,purple,social_engagement,58801,0,0.00000000
train-cc,051,yellow,task_engagement,58801,0,0.00000000
train-cc,051,yellow,social_engagement,58801,0,0.00000000
train-cc,054,purple,task_engagement,71835,0,0.00000000
train-cc,054,purple,social_engagement,71835,0,0.00000000
train-cc,054,yellow,task_engagement,71835,0,0.00000000
train-cc,054,yellow,social_engagement,71835,0,0.00000000
train-cc,058,purple,task_engagement,55754,5562,0.09975966
train-cc,058,purple,social_engagement,55754,5562,0.09975966
train-cc,058,yellow,task_engagement,55754,5562,0.09975966
train-cc,058,yellow,social_engagement,55754,5562,0.09975966
train-cc,060,purple,task_engagement,13351,0,0.00000000
train-cc,060,purple,social_engagement,13351,0,0.00000000
train-cc,060,yellow,task_engagement,13351,0,0.00000000
train-cc,060,yellow,social_engagement,13351,0,0.00000000
train-cc,061,purple,task_engagement,52027,0,0.00000000
train-cc,061,purple,social_engagement,52027,0,0.00000000
train-cc,061,yellow,task_engagement,52027,0,0.00000000
train-cc,061,yellow,social_engagement,52027,0,0.00000000
train-cr,004,purple,task_engagement,28531,0,0.00000000
train-cr,004,purple,social_engagement,28531,0,0.00000000
train-cr,004,yellow,task_engagement,28531,0,0.00000000
train-cr,004,yellow,social_engagement,28531,0,0.00000000
train-cr,023,purple,task_engagement,16308,0,0.00000000
train-cr,023,purple,social_engagement,16308,0,0.00000000
train-cr,023,yellow,task_engagement,16308,0,0.00000000
train-cr,023,yellow,social_engagement,16308,0,0.00000000
train-cr,032,purple,task_engagement,25492,0,0.00000000
train-cr,032,purple,social_engagement,25492,0,0.00000000
train-cr,032,yellow,task_engagement,25492,0,0.00000000
train-cr,032,yellow,social_engagement,25492,0,0.00000000
train-cr,045,purple,task_engagement,35007,0,0.00000000
train-cr,045,purple,social_engagement,35007,0,0.00000000
train-cr,045,yellow,task_engagement,35007,0,0.00000000
train-cr,045,yellow,social_engagement,35007,0,0.00000000
train-cr,047,purple,task_engagement,31600,0,0.00000000
train-cr,047,purple,social_engagement,31600,0,0.00000000
train-cr,047,yellow,task_engagement,31600,0,0.00000000
train-cr,047,yellow,social_engagement,31600,0,0.00000000
train-cr,048,purple,task_engagement,16634,0,0.00000000
train-cr,048,purple,social_engagement,16634,0,0.00000000
train-cr,048,yellow,task_engagement,16634,0,0.00000000
train-cr,048,yellow,social_engagement,16634,0,0.00000000
train-cr,050,purple,task_engagement,28744,0,0.00000000
train-cr,050,purple,social_engagement,28744,0,0.00000000
train-cr,050,yellow,task_engagement,28744,0,0.00000000
train-cr,050,yellow,social_engagement,28744,0,0.00000000
train-cr,056,purple,task_engagement,11078,0,0.00000000
train-cr,056,purple,social_engagement,11078,0,0.00000000
train-cr,056,yellow,task_engagement,11078,0,0.00000000
train-cr,056,yellow,social_engagement,11078,0,0.00000000
train-cr,057,purple,task_engagement,51250,102,0.00199024
train-cr,057,purple,social_engagement,51250,102,0.00199024
train-cr,057,yellow,task_engagement,51250,102,0.00199024
train-cr,057,yellow,social_engagement,51250,102,0.00199024
train-cr,063,purple,task_engagement,71846,2327,0.03238872
train-cr,063,purple,social_engagement,71846,2327,0.03238872
train-cr,063,yellow,task_engagement,71846,2327,0.03238872
train-cr,063,yellow,social_engagement,71846,2327,0.03238872
train-cr,067,purple,task_engagement,31271,0,0.00000000
train-cr,067,purple,social_engagement,31271,0,0.00000000
