scenario,task,label,cc_count,cr_count,cc_proportion,cr_proportion,proportion_diff_cc_minus_cr
all,task_engagement,<blank>,63206,6,0.07118554,0.00001475,0.07117080
all,task_engagement,adultseeking,17238,13120,0.01941424,0.03224364,-0.01282940
all,task_engagement,aimless,132078,18890,0.14875240,0.04642395,0.10232845
all,task_engagement,goaloriented,517055,295440,0.58233144,0.72607163,-0.14374019
all,task_engagement,nan,23196,22753,0.02612442,0.05591764,-0.02979322
all,task_engagement,noplay,135132,56693,0.15219196,0.13932839,0.01286357
all,social_engagement,<blank>,72334,6,0.08146592,0.00001475,0.08145118
all,social_engagement,associative,107291,712,0.12083613,0.00174981,0.11908632
all,social_engagement,cooperative,409781,0,0.46151446,0.00000000,0.46151446
all,social_engagement,nan,24698,22753,0.02781604,0.05591764,-0.02810160
all,social_engagement,onlooker,33508,10952,0.03773827,0.02691557,0.01082270
all,social_engagement,parallel,185620,102543,0.20905390,0.25200908,-0.04295519
all,social_engagement,solitary,54673,269936,0.06157528,0.66339315,-0.60181787
drop_blank,task_engagement,adultseeking,17238,13120,0.02090217,0.03224411,-0.01134194
drop_blank,task_engagement,aimless,132078,18890,0.16015298,0.04642464,0.11372834
drop_blank,task_engagement,goaloriented,517055,295440,0.62696208,0.72608234,-0.09912026
drop_blank,task_engagement,nan,23196,22753,0.02812663,0.05591847,-0.02779184
drop_blank,task_engagement,noplay,135132,56693,0.16385615,0.13933044,0.02452570
drop_blank,social_engagement,associative,107291,712,0.13155323,0.00174983,0.12980340
drop_blank,social_engagement,cooperative,409781,0,0.50244675,0.00000000,0.50244675
drop_blank,social_engagement,nan,24698,22753,0.03028308,0.05591847,-0.02563539
drop_blank,social_engagement,onlooker,33508,10952,0.04108533,0.02691597,0.01416936
drop_blank,social_engagement,parallel,185620,102543,0.22759514,0.25201280,-0.02441765
drop_blank,social_engagement,solitary,54673,269936,0.06703647,0.66340293,-0.59636646
drop_nan,task_engagement,<blank>,63206,6,0.07309511,0.00001562,0.07307949
drop_nan,task_engagement,adultseeking,17238,13120,0.01993503,0.03415341,-0.01421838
drop_nan,task_engagement,aimless,132078,18890,0.15274271,0.04917363,0.10356909
drop_nan,task_engagement,goaloriented,517055,295440,0.59795261,0.76907658,-0.17112398
drop_nan,task_engagement,noplay,135132,56693,0.15627454,0.14758076,0.00869378
drop_nan,social_engagement,<blank>,72334,6,0.08379682,0.00001562,0.08378120
drop_nan,social_engagement,associative,107291,712,0.12429348,0.00185345,0.12244003
drop_nan,social_engagement,cooperative,409781,0,0.47471927,0.00000000,0.47471927
drop_nan,social_engagement,onlooker,33508,10952,0.03881804,0.02850977,0.01030826
drop_nan,social_engagement,parallel,185620,102543,0.21503533,0.26693549,-0.05190016
drop_nan,social_engagement,solitary,54673,269936,0.06333707,0.70268568,-0.63934861
drop_blank_and_nan,task_engagement,adultseeking,17238,13120,0.02150709,0.03415395,-0.01264685
drop_blank_and_nan,task_engagement,aimless,132078,18890,0.16478790,0.04917440,0.11561351
drop_blank_and_nan,task_engagement,goaloriented,517055,295440,0.64510676,0.76908859,-0.12398184
drop_blank_and_nan,task_engagement,noplay,135132,56693,0.16859825,0.14758306,0.02101518
drop_blank_and_nan,social_engagement,associative,107291,712,0.13566148,0.00185348,0.13380800
drop_blank_and_nan,social_engagement,cooperative,409781,0,0.51813755,0.00000000,0.51813755
drop_blank_and_nan,social_engagement,onlooker,33508,10952,0.04236837,0.02851022,0.01385815
drop_blank_and_nan,social_engagement,parallel,185620,102543,0.23470266,0.26693966,-0.03223699
drop_blank_and_nan,social_engagement,solitary,54673,269936,0.06912994,0.70269665,-0.63356672
