split,feature,session_count_with_feature
test-cc,audio.egemapsv2,12
test-cc,audio.w2vbert2_embeddings,12
test-cc,audio.xlm_roberta_embeddings,12
test-cc,clip,18
test-cc,dino,18
test-cc,openface2,18
test-cc,openface3,18
test-cc,openpose,18
test-cc,swin,18
test-cc,videomae,18
test-cr,audio.egemapsv2,12
test-cr,audio.w2vbert2_embeddings,12
test-cr,audio.xlm_roberta_embeddings,12
test-cr,clip,18
test-cr,dino,18
test-cr,openface2,18
test-cr,openface3,18
test-cr,openpose,18
test-cr,swin,18
test-cr,videomae,18
train-cc,audio.egemapsv2,40
train-cc,audio.w2vbert2_embeddings,40
train-cc,audio.xlm_roberta_embeddings,40
train-cc,clip,60
train-cc,dino,60
train-cc,openface2,60
train-cc,openface3,60
train-cc,openpose,60
train-cc,swin,60
train-cc,videomae,60
train-cr,audio.egemapsv2,24
train-cr,audio.w2vbert2_embeddings,24
train-cr,audio.xlm_roberta_embeddings,24
train-cr,clip,36
train-cr,dino,36
train-cr,openface2,36
train-cr,openface3,36
train-cr,openpose,36
train-cr,swin,36
train-cr,videomae,36
val-cc,audio.egemapsv2,14
val-cc,audio.w2vbert2_embeddings,14
val-cc,audio.xlm_roberta_embeddings,14
val-cc,clip,21
val-cc,dino,21
val-cc,openface2,21
val-cc,openface3,21
val-cc,openpose,21
val-cc,swin,21
val-cc,videomae,21
val-cr,audio.egemapsv2,10
val-cr,audio.w2vbert2_embeddings,10
val-cr,audio.xlm_roberta_embeddings,10
val-cr,clip,15
val-cr,dino,15
val-cr,openface2,15
val-cr,openface3,15
val-cr,openpose,15
val-cr,swin,15
val-cr,videomae,15
