split,session_id,entity,feature,stream_header_file,has_binary_stream,sr,dim,num
train-cc,002,env,clip,env.clip.stream,1,30.000,512,28561
train-cc,002,env,dino,env.dino.stream,1,30.000,768,28561
train-cc,002,env,openface2,env.openface2.stream,1,30.000,714,28561
train-cc,002,env,openface3,env.openface3.stream,1,30.000,21,28561
train-cc,002,env,openpose,env.openpose.stream,1,30.000,139,28561
train-cc,002,env,swin,env.swin.stream,1,30.000,768,28561
train-cc,002,env,videomae,env.videomae.stream,1,30.000,1408,28561
train-cc,002,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,23803
train-cc,002,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,23800
train-cc,002,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,23800
train-cc,002,purple,clip,purple.clip.stream,1,30.000,512,28561
train-cc,002,purple,dino,purple.dino.stream,1,30.000,768,28561
train-cc,002,purple,openface2,purple.openface2.stream,1,30.000,714,28561
train-cc,002,purple,openface3,purple.openface3.stream,1,30.000,21,28561
train-cc,002,purple,openpose,purple.openpose.stream,1,30.000,139,28561
train-cc,002,purple,swin,purple.swin.stream,1,30.000,768,28561
train-cc,002,purple,videomae,purple.videomae.stream,1,30.000,1408,28561
train-cc,002,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,23803
train-cc,002,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,23800
train-cc,002,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,23800
train-cc,002,yellow,clip,yellow.clip.stream,1,30.000,512,28561
train-cc,002,yellow,dino,yellow.dino.stream,1,30.000,768,28561
train-cc,002,yellow,openface2,yellow.openface2.stream,1,30.000,714,28561
train-cc,002,yellow,openface3,yellow.openface3.stream,1,30.000,21,28561
train-cc,002,yellow,openpose,yellow.openpose.stream,1,30.000,139,28561
train-cc,002,yellow,swin,yellow.swin.stream,1,30.000,768,28561
train-cc,002,yellow,videomae,yellow.videomae.stream,1,30.000,1408,28561
train-cc,003,env,clip,env.clip.stream,1,30.000,512,35805
train-cc,003,env,dino,env.dino.stream,1,30.000,768,35805
train-cc,003,env,openface2,env.openface2.stream,1,30.000,714,35805
train-cc,003,env,openface3,env.openface3.stream,1,30.000,21,35805
train-cc,003,env,openpose,env.openpose.stream,1,30.000,139,35805
train-cc,003,env,swin,env.swin.stream,1,30.000,768,35805
train-cc,003,env,videomae,env.videomae.stream,1,30.000,1408,35805
train-cc,003,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,29839
train-cc,003,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,29825
train-cc,003,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,29825
train-cc,003,purple,clip,purple.clip.stream,1,30.000,512,35805
train-cc,003,purple,dino,purple.dino.stream,1,30.000,768,35805
train-cc,003,purple,openface2,purple.openface2.stream,1,30.000,714,35805
train-cc,003,purple,openface3,purple.openface3.stream,1,30.000,21,35805
