feature,heldout_session,run_name,best_epoch,n_frames,ccc,mae,rmse,pearson
audio_egemaps,008,mpii_loso_audio_egemaps_heldout_008_dyadic_shared_seed13,9,350184,0.17243329285226897,0.10131325645325591,0.12760752370637685,0.18940488330437086
audio_egemaps,009,mpii_loso_audio_egemaps_heldout_009_dyadic_shared_seed13,2,390696,0.1169796056137252,0.13299229201430182,0.16625056756671985,0.1328391676014592
audio_egemaps,010,mpii_loso_audio_egemaps_heldout_010_dyadic_shared_seed13,10,351708,0.20684925965877707,0.11289349025022394,0.14628302396067272,0.209596382110559
audio_egemaps,026,mpii_loso_audio_egemaps_heldout_026_dyadic_shared_seed13,11,176574,0.753858245522565,0.07277570043144381,0.09397243933622193,0.7780270810135455
audio_egemaps,027,mpii_loso_audio_egemaps_heldout_027_dyadic_shared_seed13,11,177966,0.5378230987287373,0.09778229047615272,0.1332421651678113,0.5447338730697197
audio_egemaps,028,mpii_loso_audio_egemaps_heldout_028_dyadic_shared_seed13,2,269145,0.1199250332110962,0.14177962789240828,0.17644069678763663,0.13052807326143417
audio_w2vbert2,008,mpii_loso_audio_w2vbert2_heldout_008_dyadic_shared_seed13,5,350184,0.13223213446204019,0.10582136045435442,0.1328436132068597,0.14588948611348104
audio_w2vbert2,009,mpii_loso_audio_w2vbert2_heldout_009_dyadic_shared_seed13,2,390696,0.23185841465977083,0.14314052443134026,0.18040111554958432,0.27434643196185443
audio_w2vbert2,010,mpii_loso_audio_w2vbert2_heldout_010_dyadic_shared_seed13,9,351708,0.2327070982904576,0.11515326705756732,0.1480011660494351,0.2363183254386985
audio_w2vbert2,026,mpii_loso_audio_w2vbert2_heldout_026_dyadic_shared_seed13,5,176574,0.5289493255753511,0.10297009652261468,0.1286342868158202,0.6118321589407877
audio_w2vbert2,027,mpii_loso_audio_w2vbert2_heldout_027_dyadic_shared_seed13,2,177966,0.25349045161100586,0.12427269836484701,0.15706213414803966,0.2587858315957183
audio_w2vbert2,028,mpii_loso_audio_w2vbert2_heldout_028_dyadic_shared_seed13,4,269145,0.10540458188867678,0.1212262057398684,0.15353000209315928,0.12868448447114564
text_xlm_roberta,008,mpii_loso_text_xlm_roberta_heldout_008_dyadic_shared_seed13,8,350184,0.08416197807510827,0.12608963197695766,0.1609207578343489,0.08454388057607022
text_xlm_roberta,009,mpii_loso_text_xlm_roberta_heldout_009_dyadic_shared_seed13,11,390696,0.07541280566472165,0.14355049501710115,0.18789852470924798,0.07819295422437067
text_xlm_roberta,010,mpii_loso_text_xlm_roberta_heldout_010_dyadic_shared_seed13,8,351708,0.05806485877039166,0.16157496389819437,0.2008850919388033,0.067738965293407
text_xlm_roberta,026,mpii_loso_text_xlm_roberta_heldout_026_dyadic_shared_seed13,6,176574,0.03429514660018615,0.1454388866153067,0.22140185873501572,0.0393467635948118
text_xlm_roberta,027,mpii_loso_text_xlm_roberta_heldout_027_dyadic_shared_seed13,9,177966,0.048045002821743885,0.15561886765218338,0.19936648329998838,0.0501952499394424
text_xlm_roberta,028,mpii_loso_text_xlm_roberta_heldout_028_dyadic_shared_seed13,2,269145,0.002374286580947202,0.6096589842883724,2.014043967828081,0.016948420424018725
visual_clip,008,mpii_loso_visual_clip_heldout_008_dyadic_shared_seed13,5,350196,0.07754549692334708,0.11901092190672416,0.14829782723319498,0.07880864076126826
visual_clip,009,mpii_loso_visual_clip_heldout_009_dyadic_shared_seed13,2,390708,0.20934940495134904,0.14783588696199823,0.1858859264197038,0.21088627417370973
visual_clip,010,mpii_loso_visual_clip_heldout_010_dyadic_shared_seed13,5,351732,0.22673920319876265,0.1200640384495384,0.15154820552038106,0.22696652146032448
visual_clip,026,mpii_loso_visual_clip_heldout_026_dyadic_shared_seed13,4,176580,0.06349081253807475,0.14470008766547188,0.1908717251371686,0.10733595968771052
visual_clip,027,mpii_loso_visual_clip_heldout_027_dyadic_shared_seed13,1,177978,0.3574115214242483,0.14813829627290795,0.1877629502612483,0.38669275871323827
visual_clip,028,mpii_loso_visual_clip_heldout_028_dyadic_shared_seed13,8,269163,0.12187310755779608,0.13664762168781783,0.1694975420299222,0.13028154850864068
visual_dino,008,mpii_loso_visual_dino_heldout_008_dyadic_shared_seed13,6,350196,0.1638753965658294,0.10926847586865233,0.137499982847754,0.17042590387946455
visual_dino,009,mpii_loso_visual_dino_heldout_009_dyadic_shared_seed13,10,390708,0.19607930022571515,0.14804954388072736,0.18798764447604188,0.20451502665013602
visual_dino,010,mpii_loso_visual_dino_heldout_010_dyadic_shared_seed13,5,351732,0.13519518164991282,0.12062392625011874,0.15341970588817935,0.13753390781506092
visual_dino,026,mpii_loso_visual_dino_heldout_026_dyadic_shared_seed13,16,176580,0.2825471539674598,0.14704179025672545,0.18060344045317944,0.2917569003287407
visual_dino,027,mpii_loso_visual_dino_heldout_027_dyadic_shared_seed13,5,177978,0.03373948661830537,0.16112946101062525,0.1957145546690002,0.03395049584019347
visual_dino,028,mpii_loso_visual_dino_heldout_028_dyadic_shared_seed13,9,269163,0.11806209116666254,0.1735288857415425,0.21522024704323728,0.13603224459847083
visual_openpose,008,mpii_loso_visual_openpose_heldout_008_dyadic_shared_seed13,6,350196,0.18365835494621066,0.11113943862376718,0.13800271382744414,0.1876407186849301
visual_openpose,009,mpii_loso_visual_openpose_heldout_009_dyadic_shared_seed13,3,390708,0.12369378997094925,0.15659866267309033,0.19844437276100832,0.14935488535323466
visual_openpose,010,mpii_loso_visual_openpose_heldout_010_dyadic_shared_seed13,15,351744,0.4403061101215884,0.09566529859205622,0.1235121261673767,0.44436167842368857
visual_openpose,026,mpii_loso_visual_openpose_heldout_026_dyadic_shared_seed13,7,176580,0.6305655701719655,0.09417008260514569,0.12353227599904731,0.6387070296562806
visual_openpose,027,mpii_loso_visual_openpose_heldout_027_dyadic_shared_seed13,5,177978,0.5822679265453976,0.10591915936878087,0.13962659376296088,0.5910797350196724
visual_openpose,028,mpii_loso_visual_openpose_heldout_028_dyadic_shared_seed13,4,269163,0.1248897567304655,0.15773821528732884,0.22516529723326112,0.13153312606917508
visual_swin,008,mpii_loso_visual_swin_heldout_008_dyadic_shared_seed13,4,350196,0.14304965459715324,0.1390412858945083,0.17723277434199058,0.1486532544076808
visual_swin,009,mpii_loso_visual_swin_heldout_009_dyadic_shared_seed13,4,390708,-0.047998342219204515,0.16661762895364443,0.2130796784237499,-0.05211202468716483
visual_swin,010,mpii_loso_visual_swin_heldout_010_dyadic_shared_seed13,11,351732,0.11056216592183403,0.12935448186606674,0.16433923135578218,0.1110951402420061
