mode,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips
baseline+hysteresis_1,0.3452650273522522,0.37633991228234104,0.3608024698172966,924,139
bias_ce+hysteresis_1,0.2949759176358135,0.38718330485553887,0.3410796112456762,553,79
bias_ce,0.29353078505766694,0.38215862271494805,0.3378447038863075,4814,434
baseline,0.3223310305886096,0.35198521500583824,0.3371581227972239,7095,835
bias_balanced_ce+hysteresis_1,0.3719220982264011,0.26266597978895767,0.3172940390076794,982,253
prior_val_oracle+hysteresis_1,0.3210097516529806,0.2919473782431909,0.3064785649480858,982,135
prior_val_oracle,0.31489880206934184,0.2863385869921922,0.30061869453076706,6864,840
bias_balanced_ce,0.3434513411730141,0.24459589267675233,0.2940236169248832,7677,1377
prior_sqrt_uniform+hysteresis_1,0.3064865268903063,0.1847291304292935,0.2456078286597999,1262,298
prior_sqrt_uniform,0.28886154870165326,0.1915131404097637,0.24018734455570848,9060,1520
prior_uniform+hysteresis_1,0.21561074941982172,0.07267963741141624,0.144145193415619,1488,278
prior_uniform,0.20049917278258994,0.07241753513282473,0.13645835395770733,10469,1301
