domain,mode,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,task,0,47407,43221,0.915989912311145,0.8351087392157276,0.8736814229597916,39590,3631,7817
CR,baseline,task,1,4384,1087,0.15547378104875806,0.0385492700729927,0.06178029610674466,169,918,4215
CR,baseline,task,2,1298,4131,0.3054950375211813,0.9722650231124808,0.4649106649475041,1262,2869,36
CR,baseline,task,3,12257,16907,0.6428698172354645,0.8867585869299176,0.7453710053490604,10869,6038,1388
CR,baseline,social,0,954,10453,0.05644312637520329,0.6184486373165619,0.10344525291487681,590,9863,364
CR,baseline,social,1,3077,5965,0.507292539815591,0.9834254143646409,0.6693209466932095,3026,2939,51
CR,baseline,social,2,11812,877,0.879133409350057,0.0652726041313918,0.12152257861139569,771,106,11041
CR,baseline,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,social,4,0,0,nan,nan,nan,0,0,0
CR,baseline+hysteresis_1,task,0,47407,45723,0.9154036261837587,0.882886493555804,0.8988510683990121,41855,3868,5552
CR,baseline+hysteresis_1,task,1,4384,320,0.0,0.0,nan,0,320,4384
CR,baseline+hysteresis_1,task,2,1298,3390,0.3828908554572271,1.0,0.5537542662116042,1298,2092,0
CR,baseline+hysteresis_1,task,3,12257,15913,0.7004336077420976,0.9093579179244513,0.7913383031593894,11146,4767,1111
CR,baseline+hysteresis_1,social,0,954,11046,0.050878145935180155,0.589098532494759,0.09366666666666668,562,10484,392
CR,baseline+hysteresis_1,social,1,3077,5832,0.5276063100137174,1.0,0.6907621506341901,3077,2755,0
CR,baseline+hysteresis_1,social,2,11812,417,0.7793764988009593,0.027514392143582797,0.05315234279172459,325,92,11487
CR,baseline+hysteresis_1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline+hysteresis_1,social,4,0,0,nan,nan,nan,0,0,0
CR,prior_uniform,task,0,47407,6829,0.9260506662761752,0.1333980213892463,0.23320303857216607,6324,505,41083
CR,prior_uniform,task,1,4384,15500,0.1318709677419355,0.46624087591240876,0.20559243612955141,2044,13456,2340
CR,prior_uniform,task,2,1298,24148,0.05375186350836508,1.0,0.1020199638450051,1298,22850,0
CR,prior_uniform,task,3,12257,18869,0.4519582383804123,0.6957656849147426,0.5479663303990233,8528,10341,3729
CR,prior_uniform,social,0,954,310,0.02258064516129032,0.007337526205450734,0.011075949367088608,7,303,947
CR,prior_uniform,social,1,3077,174,0.06321839080459771,0.0035749106272343193,0.006767148569670871,11,163,3066
CR,prior_uniform,social,2,11812,32,0.0,0.0,nan,0,32,11812
CR,prior_uniform,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prior_uniform,social,4,0,16779,0.0,nan,nan,0,16779,0
CR,prior_uniform+hysteresis_1,task,0,47407,6330,0.9388625592417061,0.12536123357310103,0.22118838044550307,5943,387,41464
CR,prior_uniform+hysteresis_1,task,1,4384,14726,0.14199375254651636,0.47696167883211676,0.21883830455259026,2091,12635,2293
CR,prior_uniform+hysteresis_1,task,2,1298,25237,0.05143242065221698,1.0,0.09783305068777086,1298,23939,0
CR,prior_uniform+hysteresis_1,task,3,12257,19053,0.4470687030913767,0.6949498245900302,0.5441073139572022,8518,10535,3739
CR,prior_uniform+hysteresis_1,social,0,954,308,0.016233766233766232,0.005241090146750524,0.007923930269413628,5,303,949
CR,prior_uniform+hysteresis_1,social,1,3077,106,0.0,0.0,nan,0,106,3077
CR,prior_uniform+hysteresis_1,social,2,11812,0,nan,0.0,nan,0,0,11812
CR,prior_uniform+hysteresis_1,social,3,1452,0,nan,0.0,nan,0,0,1452
