domain,mode,head,n_frames,accuracy,kappa,n_transitions,true_flips,pred_flips,flip_rate_ratio,bias
CR,baseline,task,65346,0.7940807394484742,0.5611782431053908,65341,25,643,25.72,
CR,baseline,social,17295,0.25365712633709164,0.14279218690628567,17291,6,192,32.0,
CR,baseline,mean,82641,0.5238689328927829,0.35198521500583824,82632,31,835,26.93548387096774,
CR,baseline+hysteresis_1,task,65346,0.8309460410736694,0.6203963952741152,65341,25,103,4.12,
CR,baseline+hysteresis_1,social,17295,0.2291991905174906,0.13228342929056688,17291,6,36,6.0,
CR,baseline+hysteresis_1,mean,82641,0.53007261579558,0.37633991228234104,82632,31,139,4.483870967741935,
CR,prior_uniform,task,65346,0.27842561136106264,0.14784879360416728,65341,25,1275,51.0,
CR,prior_uniform,social,17295,0.0010407632263660018,-0.003013723338517811,17291,6,26,4.333333333333333,
CR,prior_uniform,mean,82641,0.1397331872937143,0.07241753513282473,82632,31,1301,41.96774193548387,
CR,prior_uniform+hysteresis_1,task,65346,0.27316132586539343,0.1471466259338725,65341,25,268,10.72,
CR,prior_uniform+hysteresis_1,social,17295,0.0002891008962127783,-0.0017873511110400291,17291,6,10,1.6666666666666667,
CR,prior_uniform+hysteresis_1,mean,82641,0.1367252133808031,0.07267963741141624,82632,31,278,8.96774193548387,
CR,prior_sqrt_uniform,task,65346,0.5456952223548496,0.2928885817578173,65341,25,1271,50.84,
CR,prior_sqrt_uniform,social,17295,0.2259612604799075,0.09013769906171008,17291,6,249,41.5,
CR,prior_sqrt_uniform,mean,82641,0.38582824141737854,0.1915131404097637,82632,31,1520,49.03225806451613,
CR,prior_sqrt_uniform+hysteresis_1,task,65346,0.5539895326416308,0.29742346115654344,65341,25,245,9.8,
CR,prior_sqrt_uniform+hysteresis_1,social,17295,0.20422087308470657,0.07203479970204359,17291,6,53,8.833333333333334,
CR,prior_sqrt_uniform+hysteresis_1,mean,82641,0.3791052028631687,0.1847291304292935,82632,31,298,9.612903225806452,
CR,prior_val_oracle,task,65346,0.7701313010742815,0.528265308937171,65341,25,662,26.48,
CR,prior_val_oracle,social,17295,0.29760046256143396,0.04441186504721343,17291,6,178,29.666666666666668,
CR,prior_val_oracle,mean,82641,0.5338658818178578,0.2863385869921922,82632,31,840,27.096774193548388,
CR,prior_val_oracle+hysteresis_1,task,65346,0.8006457931625501,0.5723407729357649,65341,25,111,4.44,
CR,prior_val_oracle+hysteresis_1,social,17295,0.2547557097427002,0.011553983550616894,17291,6,24,4.0,
CR,prior_val_oracle+hysteresis_1,mean,82641,0.5277007514526252,0.2919473782431909,82632,31,135,4.354838709677419,
CR,bias_ce,task,65346,0.8709790958895725,0.6826853071072642,65341,25,302,12.08,
CR,bias_ce,social,17295,0.1768141081237352,0.08163193832263196,17291,6,132,22.0,
CR,bias_ce,mean,82641,0.5238966020066538,0.38215862271494805,82632,31,434,14.0,
CR,bias_ce+hysteresis_1,task,65346,0.8867872555320907,0.7173317154989096,65341,25,60,2.4,
CR,bias_ce+hysteresis_1,social,17295,0.13466319745591213,0.05703489421216807,17291,6,19,3.1666666666666665,
CR,bias_ce+hysteresis_1,mean,82641,0.5107252264940014,0.38718330485553887,82632,31,79,2.5483870967741935,
CR,bias_ce,task_bias,,,,,,,,"[1.0401672854413613, -0.7992169291035679, -0.2975002687798695, 0.056549912442076175]"
CR,bias_ce,social_bias,,,,,,,,"[1.0540137214120178, -1.3181842719651284, 0.8417932502070467, -0.5694340448597789, -0.0081886547941571]"
CR,bias_balanced_ce,task,65346,0.6079025495057081,0.33842552413452937,65341,25,1170,46.8,
CR,bias_balanced_ce,social,17295,0.275860075166233,0.1507662612189753,17291,6,207,34.5,
CR,bias_balanced_ce,mean,82641,0.44188131233597056,0.24459589267675233,82632,31,1377,44.41935483870968,
CR,bias_balanced_ce+hysteresis_1,task,65346,0.6389679551923607,0.3656103657666828,65341,25,211,8.44,
CR,bias_balanced_ce+hysteresis_1,social,17295,0.2887539751373229,0.15972159381123255,17291,6,42,7.0,
CR,bias_balanced_ce+hysteresis_1,mean,82641,0.4638609651648418,0.26266597978895767,82632,31,253,8.161290322580646,
CR,bias_balanced_ce,task_bias,,,,,,,,"[-0.6837419954631421, -0.005436914593849166, 0.9306185066810181, -0.2414395966240269]"
CR,bias_balanced_ce,social_bias,,,,,,,,"[-0.3075728957912872, -0.18330031609991426, 0.02760886955398704, 0.4760317867733761, -0.012767444436161636]"
