bias2,train_kappa,train_accuracy,train_class2_precision,train_class2_recall,train_class2_f1,train_class2_predicted,train_class2_tp,train_class2_fp,train_class2_fn,val_kappa,val_accuracy,val_class2_precision,val_class2_recall,val_class2_f1,val_class2_predicted,val_class2_tp,val_class2_fp,val_class2_fn
-2.0,0.6505536193102442,0.8469762562379114,0.9906572664747556,0.5604575641438226,0.715899748374399,58013,57471,542,45072,0.12275104606823108,0.21040763226366002,1.0,0.0019471723670843211,0.003886776510350655,23,23,0,11789
-1.95,0.6592569985092569,0.850443714970727,0.9901556583929323,0.5738080610085525,0.7265632717573842,59425,58840,585,43703,0.12285838794258337,0.21058109280138768,1.0,0.0022011513714866237,0.004392633890859943,26,26,0,11786
-1.9,0.667564959977416,0.8537732042494592,0.9896037242354954,0.5866709575495158,0.7366378096415932,60791,60159,632,42384,0.12296575071695416,0.21075455333911536,1.0,0.0024551303758889266,0.004898234946372773,29,29,0,11783
-1.85,0.6761831678014586,0.8572588853630029,0.9891964888588791,0.6000409584271964,0.7469725940089229,62202,61530,672,41013,0.12303733751400392,0.21087019369760046,1.0,0.0026244497121571285,0.005235160010132568,31,31,0,11781
-1.8,0.6840949951017159,0.8604712307656264,0.9887422849225344,0.6123967506314424,0.756339766944687,63512,62797,715,39746,0.12314473513530579,0.21104365423532814,1.0,0.0028784287165594313,0.005740334290055715,34,34,0,11778
-1.75,0.6921904301596151,0.8637538624939151,0.988312028741924,0.6250548550364238,0.765788907739731,64853,64095,758,38448,0.12321634516929801,0.21115929459381325,1.0,0.0030477480528276328,0.006076975016880486,36,36,0,11776
-1.7,0.7001083389041746,0.8669922398690071,0.987718476668127,0.6376251913831271,0.7749674054758801,66197,65384,813,37159,0.1233237776544992,0.2113327551315409,1.0,0.0033017270572299356,0.0065817230613450335,39,39,0,11773
-1.65,0.7080973450739414,0.8702644588083084,0.9870502745341799,0.6504003198658124,0.7841186982693755,67569,66694,875,35849,0.12339541093674979,0.21144839549002603,1.0,0.0034710463934981375,0.006918079811018308,41,41,0,11771
-1.6,0.7164742209518201,0.8737267111466303,0.9865779594439854,0.663770320743493,0.7936036004523885,68991,68065,926,34478,0.12346705352147376,0.21156403584851113,1.0,0.0036403657297663394,0.007254323070434416,43,43,0,11769
-1.55,0.7243148843785142,0.8769859140996973,0.986206700415221,0.6763406570901963,0.8023972186710014,70324,69354,970,33189,0.12357453484466166,0.2117374963862388,1.0,0.0038943447341686422,0.007758475290942824,46,46,0,11766
-1.5,0.731982913711042,0.8801904499105802,0.9856807904873556,0.688745209326819,0.8108843537414967,71652,70626,1026,31917,0.12367512102193276,0.21191095692396647,1.0,0.004148323738570945,0.008262372481241042,49,49,0,11763
-1.45,0.7395810753830492,0.883361144157254,0.9851867077766359,0.7011107535375404,0.8192208206565708,72975,71894,1081,30649,0.12370404368516495,0.21196877710320902,1.0,0.004232983406705046,0.008430281571404486,50,50,0,11762
-1.4,0.7471084414727075,0.8865370447984214,0.9848131942107035,0.7133300176511317,0.8273705165763666,74275,73147,1128,29396,0.1238046581576876,0.21214223764093668,1.0,0.004486962411107348,0.008933839022334598,53,53,0,11759
-1.35,0.7546664015359835,0.8897389774120575,0.9845064831966128,0.725637049823001,0.8354788544994189,75580,74409,1171,28134,0.12391220983260615,0.21231569817866436,1.0,0.004740941415509651,0.009437141894169193,56,56,0,11756
-1.3,0.7614500630982026,0.8926155103698362,0.9838195285143385,0.7370371453926645,0.8427332129078299,76821,75578,1243,26965,0.12405564467408864,0.21254697889563456,1.0,0.005079580088046055,0.010107816711590296,60,60,0,11752
-1.25,0.7683453712818743,0.8955389008780584,0.9830339193566975,0.7486810411242113,0.85,78097,76772,1325,25771,0.12419911679546965,0.2127782596126048,1.0,0.005418218760582459,0.010778039744021556,64,64,0,11748
-1.2,0.7745298433225346,0.8981863524781136,0.9819204195874729,0.7595057683118301,0.8565097135693038,79316,77882,1434,24661,0.12440747972309038,0.21312518068806013,1.0,0.005926176769387064,0.01178252819390675,70,70,0,11742
-1.15,0.7802076144027588,0.9006307546929139,0.9808923532117505,0.7694528149166691,0.8624017662939524,80439,78902,1537,23641,0.12455104534286843,0.21335646140503037,1.0,0.006264815441923467,0.012451623759044255,74,74,0,11738
