domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CC,baseline,none,task,0,124893,112371,0.8056527039894634,0.724876494279103,0.7631330501045249,90532,21839,34361
CC,baseline,none,task,1,19302,24461,0.19643514165406156,0.24893793389286084,0.21959189269474214,4805,19656,14497
CC,baseline,none,task,2,26642,29357,0.30425452191981467,0.3352601156069364,0.31900569653029515,8932,20425,17710
CC,baseline,none,task,3,44855,49503,0.46338605741066197,0.5114034109909709,0.48621208588566944,22939,26564,21916
CC,baseline,none,social,0,13381,26014,0.3139463365879911,0.6103430236903071,0.41462114481533185,8167,17847,5214
CC,baseline,none,social,1,13735,7744,0.24612603305785125,0.1387695668001456,0.17747567391405558,1906,5838,11829
CC,baseline,none,social,2,60794,26818,0.6625400850175256,0.29226568411356385,0.4056065379171803,17768,9050,43026
CC,baseline,none,social,3,2700,3311,0.02476593174267593,0.03037037037037037,0.027283313924471805,82,3229,2618
CC,baseline,none,social,4,94006,120729,0.6519394677335189,0.8372657064442696,0.7330709944815703,78708,42021,15298
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,124893,112620,0.8057716213816374,0.7265899610066217,0.764135015767558,90746,21874,34147
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,19302,24190,0.1978916907813146,0.24800538804268987,0.22013243814954475,4787,19403,14515
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,26642,29261,0.3038857181914494,0.3337587268223106,0.3181224621218897,8892,20369,17750
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,44855,49621,0.4627073214969469,0.5118715862222718,0.4860493670350142,22960,26661,21895
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,13381,26007,0.3140308378513477,0.6103430236903071,0.41469483091296844,8167,17840,5214
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,13735,7705,0.24776119402985075,0.13898798689479433,0.17807835820895523,1909,5796,11826
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,60794,26626,0.6644633065424773,0.2910155607461263,0.40475863646762755,17692,8934,43102
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,2700,3208,0.024002493765586035,0.02851851851851852,0.026066350710900476,77,3131,2623
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,94006,121070,0.6519699347484926,0.8396698083101078,0.7340103033346351,78934,42136,15072
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,124893,112819,0.8061762646362758,0.7282393729032052,0.7652285118126136,90952,21867,33941
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,19302,24037,0.1983192578108749,0.24696922598694435,0.21998661713468237,4767,19270,14535
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,26642,29173,0.3041510986185857,0.3330455671496134,0.3179432052315686,8873,20300,17769
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,44855,49663,0.46223546704790286,0.5117824099877383,0.4857487462705516,22956,26707,21899
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,13381,25983,0.3137436015856522,0.609222031238323,0.4141855502489584,8152,17831,5229
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,13735,7669,0.2500977963228583,0.13964324717874044,0.17921883760044852,1918,5751,11817
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,60794,26588,0.6639085301639838,0.29035760107905384,0.4040191343755007,17652,8936,43142
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,2700,3119,0.02244309073420968,0.025925925925925925,0.024059116686715933,70,3049,2630
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,94006,121257,0.6514428033020774,0.8402867902048805,0.7339115407664113,78992,42265,15014
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,124893,112892,0.8063724621762393,0.7288879280664249,0.7656748743612928,91033,21859,33860
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,19302,23918,0.19608662931683252,0.24298000207232412,0.2170291531698288,4690,19228,14612
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,26642,29131,0.302632933987848,0.33090608813152167,0.3161386333889158,8816,20315,17826
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,44855,49751,0.4626439669554381,0.513142347564374,0.48658647443079717,23017,26734,21838
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,13381,25953,0.31495395522675607,0.6108661535012331,0.4156200742360299,8174,17779,5207
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,13735,7684,0.2473971889640812,0.13840553330906444,0.1775059526588543,1901,5783,11834
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,60794,26394,0.6628779268015458,0.28779155837747145,0.40133963389457267,17496,8898,43298
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,2700,3021,0.023171135385633895,0.025925925925925925,0.024471246285614406,70,2951,2630
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,94006,121564,0.6510644598729887,0.8419249835116908,0.7342951245535093,79146,42418,14860
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,0,124893,113154,0.8075454690068402,0.7316422857966419,0.7677223405461947,91377,21777,33516
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,1,19302,23548,0.19687446916935622,0.24018236452181121,0.21638273045507586,4636,18912,14666
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,2,26642,29175,0.3025535561268209,0.33131897004729377,0.31628356952183023,8827,20348,17815
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,3,44855,49815,0.4676703804075078,0.5193846839817189,0.4921728108165206,23297,26518,21558
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,0,13381,25892,0.31500077243936353,0.6095209625588521,0.4153489674840221,8156,17736,5225
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,1,13735,7538,0.25404616609180153,0.13942482708409173,0.18004042683213461,1915,5623,11820
