mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
hmm_uniform_start,mix=1;strength=4;alpha=1,0.3509188993455238,0.38328828170191,0.3671035905237169,483,80,563,267
hmm_uniform_start,mix=1;strength=2;alpha=1,0.34601352290452736,0.3701427472296026,0.358078135067065,741,117,858,267
hmm_uniform_start,mix=0.75;strength=4;alpha=1,0.34076668470092386,0.3702061841203188,0.35548643441062133,1014,152,1166,267
hmm_uniform_start,mix=1;strength=1;alpha=1,0.3367747455802383,0.36052728708421683,0.34865101633222756,1139,190,1329,267
hmm_uniform_start,mix=0.5;strength=4;alpha=1,0.33256341737039724,0.36399365454905547,0.34827853595972635,1320,207,1527,267
hmm_uniform_start,mix=0.75;strength=2;alpha=1,0.32999902131547815,0.3633082427668539,0.34665363204116606,1490,231,1721,267
hmm_uniform_start,mix=1;strength=0.5;alpha=1,0.32782202021000234,0.36205945758630664,0.34494073889815446,1662,252,1914,267
hmm_uniform_start,mix=0.25;strength=4;alpha=1,0.3252123655828471,0.36435881554206595,0.3447855905624565,1798,268,2066,267
hmm_uniform_start,mix=0.75;strength=1;alpha=1,0.32504058116189577,0.3617496486437064,0.34339511490280106,2080,302,2382,267
hmm_uniform_start,mix=0.5;strength=2;alpha=1,0.3243131801640444,0.3620050495716021,0.34315911486782325,1867,276,2143,267
hmm_uniform_start,mix=1;strength=0.25;alpha=1,0.3267986320968707,0.3594201774430869,0.3431094047699788,2253,339,2592,267
hmm_uniform_start,mix=0.5;strength=1;alpha=1,0.32456184076737693,0.3578339592503779,0.3411979000088774,2453,369,2822,267
hmm_uniform_start,mix=0.25;strength=2;alpha=1,0.32490068948651635,0.3572397584837555,0.3410702239851359,2390,359,2749,267
hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,0.324058814087382,0.3562798768025798,0.3401693454449809,2701,402,3103,267
hmm_uniform_start,mix=0.25;strength=1;alpha=1,0.3227966103827258,0.35540363692606003,0.3391001236543929,2993,445,3438,267
hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,0.32242498644026407,0.3548424811461607,0.3386337337932124,3049,457,3506,267
hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,0.32314392394192837,0.3538399021714514,0.3384919130566899,3532,510,4042,267
hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,0.32279777228000317,0.3539707369717735,0.33838425462588834,3230,473,3703,267
hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,0.32281653139862865,0.35385423884377315,0.33833538512120087,3581,512,4093,267
hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,0.32299814613730216,0.3531403868744737,0.3380692665058879,4064,563,4627,267
baseline,none,0.3223310305886096,0.35198521500583824,0.3371581227972239,7095,835,7930,267
