domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,43221,0.915989912311145,0.8351087392157276,0.8736814229597916,39590,3631,7817
CR,baseline,none,task,1,4384,1087,0.15547378104875806,0.0385492700729927,0.06178029610674466,169,918,4215
CR,baseline,none,task,2,1298,4131,0.3054950375211813,0.9722650231124808,0.4649106649475041,1262,2869,36
CR,baseline,none,task,3,12257,16907,0.6428698172354645,0.8867585869299176,0.7453710053490604,10869,6038,1388
CR,baseline,none,social,0,954,10453,0.05644312637520329,0.6184486373165619,0.10344525291487681,590,9863,364
CR,baseline,none,social,1,3077,5965,0.507292539815591,0.9834254143646409,0.6693209466932095,3026,2939,51
CR,baseline,none,social,2,11812,877,0.879133409350057,0.0652726041313918,0.12152257861139569,771,106,11041
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,43301,0.9161682178240688,0.8368173476490813,0.8746968293866032,39671,3630,7736
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,1059,0.16052880075542966,0.038777372262773724,0.06246555208524711,170,889,4214
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,4128,0.3066860465116279,0.975346687211094,0.46664209362329523,1266,2862,32
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,16858,0.6444418080436588,0.8863506567675614,0.7462819852309805,10864,5994,1393
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,10455,0.05643232902917265,0.6184486373165619,0.1034271189411868,590,9865,364
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,5965,0.5079631181894384,0.9847253818654533,0.6702057067020571,3030,2935,47
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,875,0.8811428571428571,0.0652726041313918,0.12154173563490187,771,104,11041
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,43353,0.9155537102391992,0.8372603202058768,0.8746584398413397,39692,3661,7715
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,1058,0.16068052930056712,0.038777372262773724,0.06247703050349136,170,888,4214
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,4106,0.3105211885046274,0.9822804314329738,0.4718726868985937,1275,2831,23
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,16829,0.6465030601937133,0.8876560332871013,0.748126246304064,10880,5949,1377
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,10478,0.056308455812177895,0.6184486373165619,0.10321903428971307,590,9888,364
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,3077,5937,0.5103587670540677,0.9847253818654533,0.6722875526958064,3030,2907,47
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,11812,880,0.8818181818181818,0.0656959024720623,0.12228175228490389,776,104,11036
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,47407,43483,0.9159441620863326,0.8401290948594089,0.8764000440092419,39828,3655,7579
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,4384,1050,0.16952380952380952,0.0406021897810219,0.06551343393448657,178,872,4206
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,1298,4101,0.3108997805413314,0.9822804314329738,0.4723096869790702,1275,2826,23
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,12257,16712,0.6503111536620393,0.8866770008974464,0.7503193068452484,10868,5844,1389
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,954,10534,0.0560091133472565,0.6184486373165619,0.10271587743732592,590,9944,364
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,3077,5896,0.5139077340569878,0.9847253818654533,0.6753594115680374,3030,2866,47
