domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.7940807394484742,0.5611782431053908,5,65341,25,643,0.00038260816332777274,0.009840681960790316,25.72,618
CR,baseline,none,social,17295,0.25365712633709164,0.14279218690628567,4,17291,6,192,0.0003470013301717657,0.011104042565496502,32.0,186
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.7953202950448383,0.5631515007875721,5,65341,25,427,0.00038260816332777274,0.006534947429638359,17.08,402
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.25388840705406185,0.14312927296137518,4,17291,6,136,0.0003470013301717657,0.007865363483893354,22.666666666666668,130
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.7960242401983288,0.5642015645398823,5,65341,25,390,0.00038260816332777274,0.005968687347913255,15.6,365
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.25417750795027466,0.14347823980302046,4,17291,6,120,0.0003470013301717657,0.006940026603435313,20.0,114
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.7980442567257369,0.5675030564787182,5,65341,25,338,0.00038260816332777274,0.005172862368191488,13.52,313
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.25331020526163633,0.1433042173734018,4,17291,6,107,0.0003470013301717657,0.006188190388063154,17.833333333333332,101
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.802206715024638,0.574143735921742,5,65341,25,274,0.00038260816332777274,0.00419338547007239,10.96,249
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.24712344608268286,0.14033578104576908,4,17291,6,85,0.0003470013301717657,0.004915852177433347,14.166666666666666,79
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.8082514614513513,0.5844950267924122,5,65341,25,201,0.00038260816332777274,0.003076169633155293,8.04,176
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.24897369181844464,0.14422260429171968,4,17291,6,67,0.0003470013301717657,0.00387484818691805,11.166666666666666,61
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.7960242401983288,0.5642302378845259,5,65341,25,392,0.00038260816332777274,0.005999296000979477,15.68,367
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.25417750795027466,0.14347823980302046,4,17291,6,120,0.0003470013301717657,0.006940026603435313,20.0,114
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.7974933431273529,0.5665982984424278,5,65341,25,344,0.00038260816332777274,0.005264688327390153,13.76,319
