domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CC,baseline,none,task,0,124893,112371,0.8056527039894634,0.724876494279103,0.7631330501045249,90532,21839,34361
CC,baseline,none,task,1,19302,24461,0.19643514165406156,0.24893793389286084,0.21959189269474214,4805,19656,14497
CC,baseline,none,task,2,26642,29357,0.30425452191981467,0.3352601156069364,0.31900569653029515,8932,20425,17710
CC,baseline,none,task,3,44855,49503,0.46338605741066197,0.5114034109909709,0.48621208588566944,22939,26564,21916
CC,baseline,none,social,0,13381,26014,0.3139463365879911,0.6103430236903071,0.41462114481533185,8167,17847,5214
CC,baseline,none,social,1,13735,7744,0.24612603305785125,0.1387695668001456,0.17747567391405558,1906,5838,11829
CC,baseline,none,social,2,60794,26818,0.6625400850175256,0.29226568411356385,0.4056065379171803,17768,9050,43026
CC,baseline,none,social,3,2700,3311,0.02476593174267593,0.03037037037037037,0.027283313924471805,82,3229,2618
CC,baseline,none,social,4,94006,120729,0.6519394677335189,0.8372657064442696,0.7330709944815703,78708,42021,15298
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,0,124893,115405,0.8119145617607556,0.7502342004756071,0.7798566779582019,93699,21706,31194
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,1,19302,21260,0.20997177798682973,0.23127137084239976,0.22010748976874908,4464,16796,14838
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,2,26642,28238,0.3107160563779304,0.32932962990766457,0.31975218658892124,8774,19464,17868
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,3,44855,50789,0.47732776782374137,0.5404748634488908,0.5069424114424324,24243,26546,20612
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,0,13381,25157,0.3207059665301904,0.6029444735072117,0.4187036172089885,8068,17089,5313
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,1,13735,7445,0.2557421087978509,0.13862395340371314,0.17979225684608122,1904,5541,11831
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,2,60794,26122,0.6961947783477529,0.2991413626344705,0.4184730084219246,18186,7936,42608
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,3,2700,2446,0.028618152085036794,0.025925925925925925,0.027205596579867857,70,2376,2630
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,4,94006,123446,0.6544643001798357,0.8594238665617089,0.7430697349300075,80791,42655,13215
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,0,124893,116636,0.814491237696766,0.7606431105025903,0.7866467380728609,94999,21637,29894
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,1,19302,20728,0.21675993824778078,0.23277380582323076,0.2244816387709218,4493,16235,14809
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,2,26642,27999,0.3048680310011072,0.32039636663914123,0.31243937702457864,8536,19463,18106
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,3,44855,50329,0.4781537483359495,0.5365065210121502,0.5056522104555388,24065,26264,20790
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,0,13381,24926,0.33210302495386346,0.6186383678349899,0.43219254966455223,8278,16648,5103
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,1,13735,7165,0.2608513607815771,0.1360757189661449,0.17885167464114834,1869,5296,11866
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,2,60794,25498,0.7126049101890344,0.29887817876764156,0.42112826217957633,18170,7328,42624
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,3,2700,2279,0.04387889425186485,0.037037037037037035,0.04016870857601928,100,2179,2600
CC,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,4,94006,124748,0.656058614166159,0.8706040039997447,0.7482560318897025,81842,42906,12164
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,0,124893,117428,0.8132046871274313,0.7645984963128438,0.7881529046182543,95493,21935,29400
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,1,19302,20343,0.20945779875141327,0.22075432597658273,0.21495775003152984,4261,16082,15041
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,2,26642,27782,0.30656540205888705,0.319683206966444,0.3129869175363811,8517,19265,18125
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,3,44855,50139,0.48024491912483297,0.5368186378330175,0.5069583342105817,24079,26060,20776
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,0,13381,24227,0.3402402278449664,0.6160227187803602,0.4383641778345033,8243,15984,5138
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,1,13735,7346,0.2544241764225429,0.1360757189661449,0.17731606660025617,1869,5477,11866
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,2,60794,25104,0.7230720203951562,0.29858209691745896,0.42264080653798697,18152,6952,42642
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,3,2700,2353,0.04547386315342117,0.03962962962962963,0.04235107856718781,107,2246,2593
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,4,94006,125586,0.6525647763285717,0.8717847796949131,0.7464115268315785,81953,43633,12053
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,0,124893,118528,0.8132930615550756,0.7718446990623974,0.7920269820598881,96398,22130,28495
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,1,19302,19120,0.2198744769874477,0.217801264117708,0.21883296028317106,4204,14916,15098
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,2,26642,28003,0.3099310788129843,0.3257638315441784,0.31765028822399116,8679,19324,17963
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,3,44855,50041,0.49331548130532965,0.5503511314234757,0.5202748271792278,24686,25355,20169
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,0,13381,23565,0.3428813918947592,0.6038412674687991,0.4373951171980729,8080,15485,5301
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,1,13735,7264,0.25729625550660795,0.1360757189661449,0.17800847659412355,1869,5395,11866
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,2,60794,22941,0.7568109498278192,0.2855873934927789,0.4146891980653251,17362,5579,43432
