domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,43221,0.915989912311145,0.8351087392157276,0.8736814229597916,39590,3631,7817
CR,baseline,none,task,1,4384,1087,0.15547378104875806,0.0385492700729927,0.06178029610674466,169,918,4215
CR,baseline,none,task,2,1298,4131,0.3054950375211813,0.9722650231124808,0.4649106649475041,1262,2869,36
CR,baseline,none,task,3,12257,16907,0.6428698172354645,0.8867585869299176,0.7453710053490604,10869,6038,1388
CR,baseline,none,social,0,954,10453,0.05644312637520329,0.6184486373165619,0.10344525291487681,590,9863,364
CR,baseline,none,social,1,3077,5965,0.507292539815591,0.9834254143646409,0.6693209466932095,3026,2939,51
CR,baseline,none,social,2,11812,877,0.879133409350057,0.0652726041313918,0.12152257861139569,771,106,11041
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,0,47407,44808,0.9150821281913943,0.8649144641086759,0.889291330043919,41003,3805,6404
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,1,4384,480,0.0,0.0,nan,0,480,4384
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,2,1298,3686,0.3521432447097124,1.0,0.5208667736757625,1298,2388,0
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,3,12257,16372,0.6817126801856829,0.91058170841152,0.7796989067029935,11161,5211,1096
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,0,954,11157,0.051985300708075645,0.6079664570230608,0.09578069523573611,580,10577,374
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,1,3077,5698,0.54001404001404,1.0,0.7013105413105413,3077,2621,0
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,2,11812,440,1.0,0.0372502539790044,0.07182500816193274,440,0,11372
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,0,47407,44856,0.9163099696807562,0.8670027633049971,0.8909747135904967,41102,3754,6305
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,1,4384,400,0.0,0.0,nan,0,400,4384
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,2,1298,3761,0.3451209784631747,1.0,0.5131448902945247,1298,2463,0
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,3,12257,16329,0.6852838508175638,0.912947703353186,0.7829007206324774,11190,5139,1067
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,0,954,11420,0.05087565674255692,0.6090146750524109,0.09390657830935834,581,10839,373
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,1,3077,5595,0.5499553172475424,1.0,0.709640221402214,3077,2518,0
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,2,11812,280,1.0,0.023704707077548254,0.04631161098246774,280,0,11532
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,0,47407,45080,0.9167036379769299,0.8717067099795389,0.8936391060365241,41325,3755,6082
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,1,4384,323,0.0,0.0,nan,0,323,4384
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,2,1298,3725,0.3484563758389262,1.0,0.5168226159665539,1298,2427,0
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,3,12257,16218,0.6936120360093723,0.9177612792689891,0.7900965759438103,11249,4969,1008
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,0,954,11576,0.050190048375950244,0.6090146750524109,0.09273743016759778,581,10995,373
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,1,3077,5439,0.5657289943004229,1.0,0.7226397369657116,3077,2362,0
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,2,11812,280,1.0,0.023704707077548254,0.04631161098246774,280,0,11532
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
