domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.7940807394484742,0.5611782431053908,5,65341,25,643,0.00038260816332777274,0.009840681960790316,25.72,618
CR,baseline,none,social,17295,0.25365712633709164,0.14279218690628567,4,17291,6,192,0.0003470013301717657,0.011104042565496502,32.0,186
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,65346,0.8181372999112417,0.5993596224398331,5,65341,25,118,0.00038260816332777274,0.0018059105309070874,4.72,93
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,17295,0.2368892743567505,0.14105274580080446,4,17291,6,34,0.0003470013301717657,0.0019663408709733386,5.666666666666667,28
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,task,65346,0.820096103816607,0.6033688947956866,5,65341,25,93,0.00038260816332777274,0.0014233023675793146,3.72,68
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,social,17295,0.22769586585718415,0.13705628971505587,4,17291,6,26,0.0003470013301717657,0.0015036724307443178,4.333333333333333,20
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,65346,0.8244115936706149,0.6111012925429032,5,65341,25,81,0.00038260816332777274,0.0012396504491819838,3.24,56
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,17295,0.22769586585718415,0.13812257416005094,4,17291,6,20,0.0003470013301717657,0.0011566711005725522,3.3333333333333335,14
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,65346,0.8336087901325253,0.6267261813224355,5,65341,25,62,0.00038260816332777274,0.0009488682450528765,2.48,37
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,17295,0.22781150621566926,0.139020680045237,4,17291,6,17,0.0003470013301717657,0.0009831704354866693,2.8333333333333335,11
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,task,65346,0.8314663483610321,0.623070195885479,5,65341,25,64,0.00038260816332777274,0.0009794768981190984,2.56,39
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,social,17295,0.23712055507372073,0.14350636751834103,4,17291,6,16,0.0003470013301717657,0.0009253368804580418,2.6666666666666665,10
CR,hmm_uniform_start,mix=1;strength=6;alpha=1,task,65346,0.848024362623573,0.6520984544215316,5,65341,25,44,0.00038260816332777274,0.0006733903674568801,1.76,19
CR,hmm_uniform_start,mix=1;strength=6;alpha=1,social,17295,0.2372940156114484,0.14523887932877977,4,17291,6,13,0.0003470013301717657,0.0007518362153721589,2.1666666666666665,7
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,task,65346,0.8488660361766597,0.6530641792235509,5,65341,25,38,0.00038260816332777274,0.0005815644082582146,1.52,13
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,social,17295,0.2372940156114484,0.14627107029435113,4,17291,6,10,0.0003470013301717657,0.0005783355502862761,1.6666666666666667,4
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,task,65346,0.8391332292718758,0.6376049667503526,5,65341,25,34,0.00038260816332777274,0.0005203471021257709,1.36,9
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,social,17295,0.21150621566926858,0.1331221572100361,4,17291,6,8,0.0003470013301717657,0.0004626684402290209,1.3333333333333333,2
CR,baseline,none,mean,82641,0.5238689328927829,0.35198521500583824,9,82632,31,835,0.0003751573240391132,0.010105044050730951,26.93548387096774,804
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,mean,82641,0.5307101481740972,0.3828734306838363,9,82632,31,79,0.0003751573240391132,0.000956046083841611,2.5483870967741935,48
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,82641,0.5275132871339961,0.3702061841203188,9,82632,31,152,0.0003751573240391132,0.0018394810727079098,4.903225806451613,121
CR,hmm_uniform_start,mix=0.75;strength=6;alpha=1,mean,82641,0.5238959848368956,0.37021259225537123,9,82632,31,119,0.0003751573240391132,0.0014401200503436926,3.838709677419355,88
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,82641,0.5260537297638995,0.3746119333514771,9,82632,31,101,0.0003751573240391132,0.0012222867654177558,3.2580645161290325,70
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,82641,0.5253197224705722,0.38536356198019434,9,82632,31,42,0.0003751573240391132,0.0005082776648271856,1.3548387096774193,11
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,82641,0.5342934517173764,0.38328828170191,9,82632,31,80,0.0003751573240391132,0.000968147933004163,2.5806451612903225,49
CR,hmm_uniform_start,mix=1;strength=6;alpha=1,mean,82641,0.5426591891175107,0.3986686668751557,9,82632,31,57,0.0003751573240391132,0.0006898054022654662,1.8387096774193548,26
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,82641,0.543080025894054,0.399667624758951,9,82632,31,48,0.0003751573240391132,0.0005808887598024978,1.5483870967741935,17
