mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
hmm_prior_val_oracle,mix=1;strength=8;prior=0.25,0.37440936640888606,0.40741554213661757,0.3909124542727518,304,58,362,267
hmm_no_prior,mix=1;strength=8,0.3708786985155405,0.399667624758951,0.3852731616372458,310,48,358,267
hmm_prior_train,mix=1;strength=8;prior=0.25,0.3708786985155405,0.399667624758951,0.3852731616372458,310,48,358,267
hmm_prior_train,mix=1;strength=8;prior=0.5,0.3708786985155405,0.399667624758951,0.3852731616372458,310,48,358,267
hmm_prior_train,mix=1;strength=8;prior=1,0.3708786985155405,0.399667624758951,0.3852731616372458,310,48,358,267
hmm_prior_train,mix=1;strength=8;prior=1.5,0.3708786985155405,0.399667624758951,0.3852731616372458,310,48,358,267
hmm_prior_train,mix=1;strength=8;prior=2,0.3708786985155405,0.399667624758951,0.3852731616372458,310,48,358,267
hmm_prior_val_oracle,mix=1;strength=8;prior=0.5,0.3610541085081424,0.3650902925705595,0.36307220053935096,304,52,356,267
hmm_prior_sqrt_val_oracle,mix=1;strength=8;prior=0.25,0.3654597441219309,0.3574201871205575,0.3614399656212442,328,70,398,267
baseline,none,0.3223310305886096,0.35198521500583824,0.3371581227972239,7095,835,7930,267
hmm_prior_uniform,mix=1;strength=8;prior=0.25,0.3477483917458167,0.32102737850610163,0.3343878851259592,334,69,403,267
hmm_prior_sqrt_val_oracle,mix=1;strength=8;prior=0.5,0.3460816145311462,0.30249261880672834,0.3242871166689373,313,61,374,267
hmm_prior_val_oracle,mix=1;strength=8;prior=1,0.338437823642233,0.2990498100134492,0.31874381682784114,286,53,339,267
hmm_prior_val_oracle,mix=1;strength=8;prior=1.5,0.30224367637231553,0.28291311786269213,0.29257839711750383,285,54,339,267
hmm_prior_uniform,mix=1;strength=8;prior=0.5,0.32542011806918547,0.19528660921507215,0.2603533636421288,355,93,448,267
hmm_prior_val_oracle,mix=1;strength=8;prior=2,0.24954364555812084,0.27097715123616123,0.26026039839714105,218,63,281,267
hmm_prior_sqrt_val_oracle,mix=1;strength=8;prior=1,0.3173748735047749,0.14716771162444758,0.23227129256461124,353,81,434,267
hmm_prior_uniform,mix=1;strength=8;prior=1,0.23832996289409258,0.10535901535864295,0.17184448912636777,404,86,490,267
hmm_prior_sqrt_val_oracle,mix=1;strength=8;prior=1.5,0.23657433792075513,0.09465404163852449,0.16561418977963982,300,79,379,267
hmm_prior_sqrt_val_oracle,mix=1;strength=8;prior=2,0.16943595945778647,0.1223756660702804,0.14590581276403344,215,70,285,267
hmm_prior_uniform,mix=1;strength=8;prior=1.5,0.09825910990392506,0.10145985473235311,0.09985948231813908,297,75,372,267
hmm_prior_uniform,mix=1;strength=8;prior=2,0.026691185701347916,0.1108238765485852,0.06875753112496656,154,46,200,267
