domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,43221,0.915989912311145,0.8351087392157276,0.8736814229597916,39590,3631,7817
CR,baseline,none,task,1,4384,1087,0.15547378104875806,0.0385492700729927,0.06178029610674466,169,918,4215
CR,baseline,none,task,2,1298,4131,0.3054950375211813,0.9722650231124808,0.4649106649475041,1262,2869,36
CR,baseline,none,task,3,12257,16907,0.6428698172354645,0.8867585869299176,0.7453710053490604,10869,6038,1388
CR,baseline,none,social,0,954,10453,0.05644312637520329,0.6184486373165619,0.10344525291487681,590,9863,364
CR,baseline,none,social,1,3077,5965,0.507292539815591,0.9834254143646409,0.6693209466932095,3026,2939,51
CR,baseline,none,social,2,11812,877,0.879133409350057,0.0652726041313918,0.12152257861139569,771,106,11041
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_no_prior,mix=1;strength=8,task,0,47407,46744,0.9177434537052884,0.9049085578079187,0.9112808148612336,42899,3845,4508
CR,hmm_no_prior,mix=1;strength=8,task,1,4384,0,nan,0.0,nan,0,0,4384
CR,hmm_no_prior,mix=1;strength=8,task,2,1298,3108,0.41763191763191765,1.0,0.5891965501588743,1298,1810,0
CR,hmm_no_prior,mix=1;strength=8,task,3,12257,15494,0.727571963340648,0.9197193440482989,0.8124391913804908,11273,4221,984
CR,hmm_no_prior,mix=1;strength=8,social,0,954,11880,0.048905723905723904,0.6090146750524109,0.09054075112981143,581,11299,373
CR,hmm_no_prior,mix=1;strength=8,social,1,3077,4969,0.61923928355806,1.0,0.7648521004225702,3077,1892,0
CR,hmm_no_prior,mix=1;strength=8,social,2,11812,446,1.0,0.03775821198780901,0.07276880404633708,446,0,11366
CR,hmm_no_prior,mix=1;strength=8,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_no_prior,mix=1;strength=8,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,task,0,47407,41558,0.9186678858462871,0.8053241082540553,0.8582701062215479,38178,3380,9229
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,task,1,4384,431,0.0,0.0,nan,0,431,4384
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,task,2,1298,5676,0.22868217054263565,1.0,0.3722397476340694,1298,4378,0
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,task,3,12257,17681,0.6108251795712912,0.881129150689402,0.7214910815685751,10800,6881,1457
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,social,0,954,9591,0.039203419872797414,0.3941299790356394,0.07131341868183973,376,9215,578
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,social,1,3077,7260,0.4238292011019284,1.0,0.595337138434749,3077,4183,0
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,social,2,11812,444,1.0,0.037588892651540806,0.07245430809399478,444,0,11368
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,task,0,47407,29630,0.9072561592980087,0.5670470605606767,0.6978984124511598,26882,2748,20525
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,task,1,4384,7500,0.05973333333333333,0.10218978102189781,0.07539548973409625,448,7052,3936
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,task,2,1298,8957,0.14491459193926537,1.0,0.253144807411019,1298,7659,0
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,task,3,12257,19259,0.5246378316631185,0.8243452720894183,0.6411981215890341,10104,9155,2153
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,social,0,954,5133,0.06058834989285018,0.3259958071278826,0.10218498439296862,311,4822,643
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,social,1,3077,12162,0.2530011511264595,1.0,0.40383227245882275,3077,9085,0
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,social,2,11812,0,nan,0.0,nan,0,0,11812
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,social,4,0,0,nan,nan,nan,0,0,0
