domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.7940807394484742,0.5611782431053908,5,65341,25,643,0.00038260816332777274,0.009840681960790316,25.72,618
CR,baseline,none,social,17295,0.25365712633709164,0.14279218690628567,4,17291,6,192,0.0003470013301717657,0.011104042565496502,32.0,186
CR,hmm_no_prior,mix=1;strength=8,task,65346,0.8488660361766597,0.6530641792235509,5,65341,25,38,0.00038260816332777274,0.0005815644082582146,1.52,13
CR,hmm_no_prior,mix=1;strength=8,social,17295,0.2372940156114484,0.14627107029435113,4,17291,6,10,0.0003470013301717657,0.0005783355502862761,1.6666666666666667,4
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,task,65346,0.7693814464542589,0.5251829493341467,5,65341,25,52,0.00038260816332777274,0.0007958249797217674,2.08,27
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.25,social,17295,0.22532523850823938,0.11687180767805655,4,17291,6,17,0.0003470013301717657,0.0009831704354866693,2.8333333333333335,11
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,task,65346,0.5927218192391271,0.32719217582418514,5,65341,25,84,0.00038260816332777274,0.0012855634287813164,3.36,59
CR,hmm_prior_uniform,mix=1;strength=8;prior=0.5,social,17295,0.19589476727377855,0.06338104260595917,4,17291,6,9,0.0003470013301717657,0.0005205019952576485,1.5,3
CR,hmm_prior_uniform,mix=1;strength=8;prior=1,task,65346,0.26277048327365105,0.14783150353497046,5,65341,25,75,0.00038260816332777274,0.0011478244899833182,3.0,50
CR,hmm_prior_uniform,mix=1;strength=8;prior=1,social,17295,0.21162185602775369,0.06288652718231542,4,17291,6,11,0.0003470013301717657,0.0006361691053149037,1.8333333333333333,5
CR,hmm_prior_uniform,mix=1;strength=8;prior=1.5,task,65346,0.18201573164386498,0.11714240448721279,5,65341,25,56,0.00038260816332777274,0.000857042285854211,2.24,31
CR,hmm_prior_uniform,mix=1;strength=8;prior=1.5,social,17295,0.22827406764960972,0.08577730497749345,4,17291,6,19,0.0003470013301717657,0.0010988375455439246,3.1666666666666665,13
CR,hmm_prior_uniform,mix=1;strength=8;prior=2,task,65346,0.08851345147369387,0.050115211788844594,5,65341,25,38,0.00038260816332777274,0.0005815644082582146,1.52,13
CR,hmm_prior_uniform,mix=1;strength=8;prior=2,social,17295,0.26157849089332175,0.17153254130832582,4,17291,6,8,0.0003470013301717657,0.0004626684402290209,1.3333333333333333,2
CR,hmm_prior_sqrt_val_oracle,mix=1;strength=8;prior=0.25,task,65346,0.8158877360511737,0.5964671348454978,5,65341,25,48,0.00038260816332777274,0.0007346076735893237,1.92,23
