domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CC,baseline,none,task,215692,0.5819780056747584,0.3661177071039936,14,215678,148,3388,0.0006862081436215099,0.01570860263911943,22.89189189189189,3240
CC,baseline,none,social,184616,0.5280311565628114,0.2444466632275007,14,184602,88,2766,0.00047670122750566085,0.014983586310007475,31.431818181818183,2678
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,215692,0.5835450549858131,0.36793456606065156,14,215678,148,2620,0.0006862081436215099,0.012147738758705107,17.7027027027027,2472
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,184616,0.5290224032586558,0.24548432569996342,14,184602,88,2079,0.00047670122750566085,0.011262066499821238,23.625,1991
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,215692,0.5848710197874747,0.3694152810907656,14,215678,148,2340,0.0006862081436215099,0.010849507135637385,15.81081081081081,2192
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,184616,0.5291090696364346,0.24510897306523854,14,184602,88,1891,0.00047670122750566085,0.010243659331968235,21.488636363636363,1803
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,215692,0.5862433469947889,0.37092971901659394,14,215678,148,2015,0.0006862081436215099,0.009342631144576638,13.614864864864865,1867
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,184616,0.5288869870433766,0.2439848182133177,14,184602,88,1605,0.00047670122750566085,0.008694380342574836,18.238636363636363,1517
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,215692,0.5889091853198078,0.3737423963136009,14,215678,148,1651,0.0006862081436215099,0.007654930034588599,11.155405405405405,1503
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,184616,0.5307936473545088,0.2453315159395532,14,184602,88,1310,0.00047670122750566085,0.007096347818550178,14.886363636363637,1222
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,215692,0.5942594069321069,0.3799889253224226,14,215678,148,1209,0.0006862081436215099,0.005605578686745982,8.16891891891892,1061
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,184616,0.5333340555531482,0.24708669889715318,14,184602,88,948,0.00047670122750566085,0.005135372314492801,10.772727272727273,860
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,215692,0.6023032843128164,0.3888963350792116,14,215678,148,845,0.0006862081436215099,0.0039178775767579445,5.70945945945946,697
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,184616,0.5359286302378992,0.2480829101673564,14,184602,88,687,0.00047670122750566085,0.0037215198101862384,7.806818181818182,599
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,215692,0.6055115627839698,0.3927359322870438,14,215678,148,672,0.0006862081436215099,0.003115755895362531,4.54054054054054,524
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,184616,0.5392652857823808,0.2492238995545217,14,184602,88,521,0.00047670122750566085,0.002822287949209651,5.920454545454546,433
