domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CC,baseline,none,task,0,124893,96911,0.8612025466665291,0.6682520237323148,0.7525563109772591,83460,13451,41433
CC,baseline,none,task,1,19302,37201,0.2247789037929088,0.4332193555072013,0.2959842840203175,8362,28839,10940
CC,baseline,none,task,2,26642,35031,0.3122091861494105,0.41051722843630356,0.35467708721806945,10937,24094,15705
CC,baseline,none,task,3,44855,46549,0.489140475627833,0.5076134210232973,0.4982057678000963,22769,23780,22086
CC,baseline,none,social,0,13381,22566,0.323229637507755,0.5451012629848292,0.4058196789718196,7294,15272,6087
CC,baseline,none,social,1,13735,11336,0.21665490472829924,0.17881325081907534,0.19592357704120297,2456,8880,11279
CC,baseline,none,social,2,60794,27833,0.6083426148816153,0.2785143270717505,0.38209574960226567,16932,10901,43862
CC,baseline,none,social,3,2700,9953,0.007033055360192907,0.025925925925925925,0.01106456966727258,70,9883,2630
CC,baseline,none,social,4,94006,112928,0.6263371351657694,0.752409420675276,0.6836092667227233,70731,42197,23275
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,124893,97161,0.8621257500437418,0.6706941141617224,0.754456123285327,83765,13396,41128
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,19302,36935,0.22653309868688237,0.4334783960211377,0.29756210324163807,8367,28568,10935
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,26642,35012,0.3119501885067977,0.4099542076420689,0.3542998021215169,10922,24090,15720
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,44855,46584,0.4896960329726945,0.5085720655445324,0.4989555878782576,22812,23772,22043
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,13381,22548,0.32291112293773283,0.5441297361931097,0.4052993403657213,7281,15267,6100
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,13735,11312,0.21808698727015557,0.17961412449945394,0.1969896594402523,2467,8845,11268
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,60794,27842,0.6092953092450255,0.27904069480540844,0.3827790062728463,16964,10878,43830
