domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,45901,0.9132698634016688,0.8842575990887421,0.8985296008916706,41920,3981,5487
CR,baseline,none,task,1,4384,420,0.02619047619047619,0.002509124087591241,0.004579517069109075,11,409,4373
CR,baseline,none,task,2,1298,4053,0.3145817912657291,0.9822804314329738,0.4765464399177724,1275,2778,23
CR,baseline,none,task,3,12257,14972,0.6977023777718407,0.8522476951945827,0.7672701898710933,10446,4526,1811
CR,baseline,none,social,0,954,9314,0.04359029418080309,0.42557651991614254,0.07908063887806778,406,8908,548
CR,baseline,none,social,1,3077,6751,0.4544511924159384,0.9970750731231719,0.6243386243386243,3068,3683,9
CR,baseline,none,social,2,11812,1230,0.8536585365853658,0.08889265154080596,0.16101824873485662,1050,180,10762
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,45981,0.9132685239555468,0.8857974560718881,0.8993232535229365,41993,3988,5414
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,397,0.027707808564231738,0.002509124087591241,0.004601547793348672,11,386,4373
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,4046,0.31611468116658425,0.985362095531587,0.4786676646706587,1279,2767,19
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,14922,0.6997051333601394,0.8518397650322265,0.7683137716619448,10441,4481,1816
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,9344,0.04355736301369863,0.42662473794549266,0.07904447465527287,407,8937,547
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,6748,0.45465323058684054,0.9970750731231719,0.624529262086514,3068,3680,9
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,1203,0.8586866167913549,0.08745343718252624,0.158739915482136,1033,170,10779
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,46070,0.9138050792272628,0.8880334127871411,0.9007349401457043,42099,3971,5308
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,366,0.030054644808743168,0.002509124087591241,0.0046315789473684215,11,355,4373
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,4039,0.31492943797969797,0.9799691833590138,0.47667228780213605,1272,2767,26
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,14871,0.7043910967655168,0.8546136901362487,0.77226481863757,10475,4396,1782
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,9361,0.043478260869565216,0.42662473794549266,0.07891420261754727,407,8954,547
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,3077,6747,0.45546168667555953,0.9987000324991875,0.6256107491856677,3073,3674,4
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,11812,1187,0.8567818028643639,0.08609888249238062,0.15647357489037617,1017,170,10795
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,47407,46155,0.9140071498212544,0.8898685848081507,0.9017763621983285,42186,3969,5221
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,4384,333,0.0,0.0,nan,0,333,4384
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,1298,3978,0.32176973353443944,0.9861325115562404,0.48521607278241097,1280,2698,18
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,12257,14880,0.7081989247311828,0.8597536101819369,0.776651803810296,10538,4342,1719
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,954,9378,0.04382597568777991,0.4308176100628931,0.07955865272938445,411,8967,543
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,3077,6740,0.4559347181008902,0.9987000324991875,0.6260568401752064,3073,3667,4
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,11812,1177,0.8589634664401019,0.08559092448357603,0.15567018246208328,1011,166,10801
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,0,47407,46346,0.9143183877788806,0.8938553378193094,0.9039710729256664,42375,3971,5032
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,1,4384,276,0.0,0.0,nan,0,276,4384
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,2,1298,3974,0.3223452440865627,0.9869029275808937,0.48596358118361155,1281,2693,17
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,3,12257,14750,0.7140338983050848,0.8592640939871095,0.7799459399414967,10532,4218,1725
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,0,954,9452,0.04295387219636056,0.42557651991614254,0.07803190467038246,406,9046,548
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,1,3077,6639,0.46347341467088415,1.0,0.6333882256072458,3077,3562,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,2,11812,1204,0.8621262458471761,0.08787673552319675,0.1594960049170252,1038,166,10774
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,0,47407,46647,0.9138636997020173,0.8992131963634062,0.9064792565972739,42629,4018,4778
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,1,4384,218,0.0,0.0,nan,0,218,4384
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,2,1298,3916,0.32711950970377934,0.9869029275808937,0.49136939010356734,1281,2635,17
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,3,12257,14565,0.718915207689667,0.8542873460063637,0.7807769741257178,10471,4094,1786
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,0,954,9557,0.04248195040284608,0.42557651991614254,0.07725240224526686,406,9151,548
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,1,3077,6562,0.4689119170984456,1.0,0.6384479717813052,3077,3485,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,2,11812,1176,0.8647959183673469,0.08609888249238062,0.1566060979365568,1017,159,10795
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,0,47407,47012,0.9145537309623075,0.906933575210412,0.9107277137016915,42995,4017,4412
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,1,4384,197,0.0,0.0,nan,0,197,4384
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,2,1298,3737,0.3427883328873428,0.9869029275808937,0.5088381330685203,1281,2456,17
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,3,12257,14400,0.7402083333333334,0.869625520110957,0.7997148966500356,10659,3741,1598
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,0,954,9478,0.04283604135893648,0.42557651991614254,0.07783742331288343,406,9072,548
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,1,3077,6616,0.46508464328899635,1.0,0.6348911585680388,3077,3539,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,2,11812,1201,0.8825978351373855,0.08973924822214698,0.16291400906785525,1060,141,10752
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,0,47407,47205,0.9148818981040144,0.9109836100153985,0.912928592567539,43187,4018,4220
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,1,4384,156,0.0,0.0,nan,0,156,4384
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,2,1298,3624,0.353476821192053,0.9869029275808937,0.5205201137748883,1281,2343,17
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,3,12257,14361,0.7468142886985586,0.8750101982540589,0.805845668344729,10725,3636,1532
