domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.8210448994582683,0.5985430343794803,5,65341,25,432,0.00038260816332777274,0.006611469062303913,17.28,407
CR,baseline,none,social,17295,0.26157849089332175,0.13358746621943673,4,17291,6,209,0.0003470013301717657,0.01208721300098317,34.833333333333336,203
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.8221467266550363,0.600370305350682,5,65341,25,346,0.00038260816332777274,0.005295296980456375,13.84,321
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.26065336802544087,0.13352007930966672,4,17291,6,162,0.0003470013301717657,0.009369035914637672,27.0,156
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.8241820463379549,0.6042252779479433,5,65341,25,306,0.00038260816332777274,0.004683123919131939,12.24,281
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.26001734605377275,0.13337179090605128,4,17291,6,151,0.0003470013301717657,0.008732866809322769,25.166666666666668,145
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.8264316101980228,0.6084808991577808,5,65341,25,261,0.00038260816332777274,0.0039944292251419475,10.44,236
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.25990170569528764,0.13365507591555983,4,17291,6,139,0.0003470013301717657,0.008038864148979238,23.166666666666668,133
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.8292473908119854,0.6133606335025146,5,65341,25,214,0.00038260816332777274,0.003275125878085735,8.56,189
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.2614050303555941,0.1351483288120696,4,17291,6,106,0.0003470013301717657,0.006130356833034527,17.666666666666668,100
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.832200899825544,0.6176819495223477,5,65341,25,156,0.00038260816332777274,0.002387474939165302,6.24,131
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.26019080659150046,0.1353090010532732,4,17291,6,83,0.0003470013301717657,0.004800185067376092,13.833333333333334,77
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,65346,0.8406788479784532,0.6340780703860843,5,65341,25,114,0.00038260816332777274,0.0017446932247746438,4.56,89
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,17295,0.26267707429893034,0.13691285393614436,4,17291,6,63,0.0003470013301717657,0.0036435139668035393,10.5,57
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,65346,0.8446270621002051,0.6415371683920527,5,65341,25,96,0.00038260816332777274,0.0014692153471786474,3.84,71
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,17295,0.2603642671292281,0.136638485362717,4,17291,6,51,0.0003470013301717657,0.002949511306460008,8.5,45
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.8241820463379549,0.6042252779479433,5,65341,25,306,0.00038260816332777274,0.004683123919131939,12.24,281
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.26065336802544087,0.1337115538296818,4,17291,6,153,0.0003470013301717657,0.008848533919380024,25.5,147
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.8264010038870016,0.6084315738171004,5,65341,25,261,0.00038260816332777274,0.0039944292251419475,10.44,236
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.25990170569528764,0.13364787803332526,4,17291,6,139,0.0003470013301717657,0.008038864148979238,23.166666666666668,133
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.8291861781899428,0.6133062727550155,5,65341,25,215,0.00038260816332777274,0.0032904302046188457,8.6,190
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.2623879734027175,0.13559566348374122,4,17291,6,111,0.0003470013301717657,0.006419524608177665,18.5,105
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.8317111988492027,0.6171664083261208,5,65341,25,163,0.00038260816332777274,0.0024946052248970784,6.52,138
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,17295,0.26019080659150046,0.1353090010532732,4,17291,6,83,0.0003470013301717657,0.004800185067376092,13.833333333333334,77
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,65346,0.8399442965139412,0.6327333848885838,5,65341,25,116,0.00038260816332777274,0.0017753018778408657,4.64,91
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,17295,0.2575888985255854,0.13359823945667818,4,17291,6,72,0.0003470013301717657,0.004164015962061188,12.0,66
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,task,65346,0.8483457288892969,0.6483106520458745,5,65341,25,85,0.00038260816332777274,0.0013008677553144274,3.4,60
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,social,17295,0.2582827406764961,0.1347134690629831,4,17291,6,48,0.0003470013301717657,0.0027760106413741254,8.0,42
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,task,65346,0.8547424478927554,0.6599001557650057,5,65341,25,67,0.00038260816332777274,0.001025389877718431,2.68,42
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,social,17295,0.2636021971668112,0.14061843906696844,4,17291,6,38,0.0003470013301717657,0.002197675091087849,6.333333333333333,32
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,65346,0.8258653934441281,0.6075450457859217,5,65341,25,274,0.00038260816332777274,0.00419338547007239,10.96,249
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,17295,0.2598438855160451,0.1336673914954514,4,17291,6,145,0.0003470013301717657,0.008385865479151003,24.166666666666668,139
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,65346,0.8276252563278548,0.6105099527781802,5,65341,25,233,0.00038260816332777274,0.003565908082214842,9.32,208
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,17295,0.26146285053483664,0.13458228412582587,4,17291,6,121,0.0003470013301717657,0.006997860158463941,20.166666666666668,115
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,65346,0.8304869464083494,0.6150154476379252,5,65341,25,180,0.00038260816332777274,0.002754778775959964,7.2,155
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,17295,0.263370916449841,0.13676807194431143,4,17291,6,95,0.0003470013301717657,0.005494187727719623,15.833333333333334,89
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,65346,0.83692957487834,0.6265847685118393,5,65341,25,131,0.00038260816332777274,0.0020048667758375293,5.24,106
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,17295,0.2625036137612027,0.13620948130684787,4,17291,6,76,0.0003470013301717657,0.004395350182175698,12.666666666666666,70
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,65346,0.8445505463226517,0.6414183256593596,5,65341,25,96,0.00038260816332777274,0.0014692153471786474,3.84,71
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,17295,0.2603642671292281,0.13658044031066063,4,17291,6,51,0.0003470013301717657,0.002949511306460008,8.5,45
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,65346,0.8546812352707128,0.659798220174608,5,65341,25,67,0.00038260816332777274,0.001025389877718431,2.68,42
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,17295,0.2610581092801388,0.13964507399558934,4,17291,6,33,0.0003470013301717657,0.0019085073159447112,5.5,27
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,65346,0.8643222232424326,0.679689286990834,5,65341,25,50,0.00038260816332777274,0.0007652163266555455,2.0,25
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,17295,0.2623879734027175,0.14062869298314465,4,17291,6,23,0.0003470013301717657,0.001330171765658435,3.8333333333333335,17
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,65346,0.8297523949438375,0.6141373824711599,5,65341,25,200,0.00038260816332777274,0.003060865306622182,8.0,175
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,17295,0.2614050303555941,0.13534810759768653,4,17291,6,104,0.0003470013301717657,0.006014689722977271,17.333333333333332,98
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,task,65346,0.8338995500872279,0.6209134519114398,5,65341,25,146,0.00038260816332777274,0.002234431673834193,5.84,121
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,social,17295,0.26053772766695577,0.13517866187577962,4,17291,6,80,0.0003470013301717657,0.004626684402290209,13.333333333333334,74
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,task,65346,0.8410614268662198,0.6349676788910733,5,65341,25,112,0.00038260816332777274,0.001714084571708422,4.48,87
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,social,17295,0.26001734605377275,0.13677301084308213,4,17291,6,59,0.0003470013301717657,0.003412179746689029,9.833333333333334,53
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,task,65346,0.8497077097297463,0.6504212760016217,5,65341,25,77,0.00038260816332777274,0.00117843314304954,3.08,52
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,social,17295,0.2636021971668112,0.14017688568653452,4,17291,6,40,0.0003470013301717657,0.0023133422011451044,6.666666666666667,34
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,task,65346,0.8583999020598048,0.6682371085326905,5,65341,25,56,0.00038260816332777274,0.000857042285854211,2.24,31
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,social,17295,0.2623879734027175,0.1406073736017337,4,17291,6,23,0.0003470013301717657,0.001330171765658435,3.8333333333333335,17
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,task,65346,0.8600373396994461,0.6705333350030817,5,65341,25,42,0.00038260816332777274,0.0006427817143906582,1.68,17
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,social,17295,0.26233015322347497,0.1440938757789535,4,17291,6,15,0.0003470013301717657,0.0008675033254294141,2.5,9
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,task,65346,0.8695559024270805,0.6893141486778984,5,65341,25,34,0.00038260816332777274,0.0005203471021257709,1.36,9
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,social,17295,0.22185602775368604,0.12552155399596027,4,17291,6,9,0.0003470013301717657,0.0005205019952576485,1.5,3
CR,baseline,none,mean,82641,0.541311695175795,0.3660652502994585,9,82632,31,641,0.0003751573240391132,0.0077572853131958565,20.677419354838708,610
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,mean,82641,0.5414000473402386,0.36694519233017436,9,82632,31,508,0.0003751573240391132,0.006147739374576435,16.387096774193548,477
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,mean,82641,0.5420996961958638,0.3687985344269973,9,82632,31,457,0.0003751573240391132,0.005530545067286281,14.741935483870968,426
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,mean,82641,0.5524956646147166,0.38908782687738486,9,82632,31,147,0.0003751573240391132,0.0017789718268951496,4.741935483870968,116
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,mean,82641,0.5431666579466552,0.3710679875366703,9,82632,31,400,0.0003751573240391132,0.0048407396650208155,12.903225806451612,369
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,mean,82641,0.5453262105837897,0.3742544811572921,9,82632,31,320,0.0003751573240391132,0.003872591732016652,10.32258064516129,289
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,mean,82641,0.5461958532085223,0.37649547528781047,9,82632,31,239,0.0003751573240391132,0.002892341949849937,7.709677419354839,208
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,mean,82641,0.5516779611386917,0.38549546216111436,9,82632,31,177,0.0003751573240391132,0.002142027301771711,5.709677419354839,146
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,mean,82641,0.5424177071816979,0.3689684158888126,9,82632,31,459,0.0003751573240391132,0.005554748765611385,14.806451612903226,428
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,mean,82641,0.5431513547911446,0.37103972592521284,9,82632,31,400,0.0003751573240391132,0.0048407396650208155,12.903225806451612,369
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,mean,82641,0.5591723225297833,0.4002592974159871,9,82632,31,105,0.0003751573240391132,0.001270694162067964,3.3870967741935485,74
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,mean,82641,0.5457870757963301,0.37445096811937834,9,82632,31,326,0.0003751573240391132,0.003945202826991965,10.516129032258064,295
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,mean,82641,0.5459510027203516,0.376237704689697,9,82632,31,246,0.0003751573240391132,0.002977054893987801,7.935483870967742,215
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,mean,82641,0.5487665975197633,0.38316581217263096,9,82632,31,188,0.0003751573240391132,0.002275147642559783,6.064516129032258,157
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,mean,82641,0.5533142347828965,0.3915120605544288,9,82632,31,133,0.0003751573240391132,0.001609545938619421,4.290322580645161,102
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,mean,82641,0.5428546394800866,0.37060621864068655,9,82632,31,419,0.0003751573240391132,0.005070674799109304,13.516129032258064,388
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,mean,82641,0.5445440534313457,0.37254611845200303,9,82632,31,354,0.0003751573240391132,0.004284054603543422,11.419354838709678,323
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,mean,82641,0.563355098322575,0.4101589899869893,9,82632,31,73,0.0003751573240391132,0.0008834349888662987,2.3548387096774195,42
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,mean,82641,0.5469289314290953,0.3758917597911183,9,82632,31,275,0.0003751573240391132,0.0033280085197018106,8.870967741935484,244
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,mean,82641,0.5497165943197713,0.3813971249093436,9,82632,31,207,0.0003751573240391132,0.002505082776648272,6.67741935483871,176
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,82641,0.5524574067259399,0.38899938298501013,9,82632,31,147,0.0003751573240391132,0.0017789718268951496,4.741935483870968,116
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,82641,0.5578696722754258,0.39972164708509866,9,82632,31,100,0.0003751573240391132,0.0012101849162552039,3.225806451612903,69
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,mean,82641,0.5455787126497158,0.37474274503442323,9,82632,31,304,0.0003751573240391132,0.0036789621454158196,9.806451612903226,273
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,mean,82641,0.5472186388770919,0.3780460568936097,9,82632,31,226,0.0003751573240391132,0.0027350179107367605,7.290322580645161,195
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,82641,0.5457059650903833,0.4074178513369293,9,82632,31,43,0.0003751573240391132,0.0005203795139897377,1.3870967741935485,12
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,mean,82641,0.5505393864599962,0.3858703448670777,9,82632,31,171,0.0003751573240391132,0.0020694162067963983,5.516129032258065,140
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,mean,82641,0.5566549534482788,0.3952990808440781,9,82632,31,117,0.0003751573240391132,0.0014159163520185885,3.774193548387097,86
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,82641,0.5603939377312611,0.4044222410672121,9,82632,31,79,0.0003751573240391132,0.000956046083841611,2.5483870967741935,48
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,82641,0.5611837464614605,0.4073136053910176,9,82632,31,57,0.0003751573240391132,0.0006898054022654662,1.8387096774193548,26
