domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CC,baseline,none,task,215692,0.6442195352632457,0.4189248293825662,14,215678,148,2536,0.0006862081436215099,0.01175826927178479,17.135135135135137,2388
CC,baseline,none,social,184616,0.49399293669021105,0.2219157619253238,14,184602,88,2508,0.00047670122750566085,0.013585984983911333,28.5,2420
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,215692,0.6449242438291638,0.41964275033508386,14,215678,148,1961,0.0006862081436215099,0.009092257902985006,13.25,1813
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,184616,0.49448585171382764,0.22221748099439376,14,184602,88,1733,0.00047670122750566085,0.009387763946219435,19.693181818181817,1645
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,215692,0.6458468557016487,0.420749378054085,14,215678,148,1782,0.0006862081436215099,0.008262316972523855,12.04054054054054,1634
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,184616,0.4951466828443905,0.22280423182099732,14,184602,88,1534,0.00047670122750566085,0.008309769124928224,17.431818181818183,1446
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,215692,0.6465654729892625,0.42127853618150174,14,215678,148,1533,0.0006862081436215099,0.007107818136295774,10.358108108108109,1385
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,184616,0.4952333492221693,0.22247541547980748,14,184602,88,1314,0.00047670122750566085,0.007118016056164072,14.931818181818182,1226
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,215692,0.6497134803330675,0.42545751015761385,14,215678,148,1254,0.0006862081436215099,0.005814223054739009,8.472972972972974,1106
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,184616,0.49619209602634656,0.22293920355060623,14,184602,88,1059,0.00047670122750566085,0.00573666590827835,12.034090909090908,971
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,215692,0.6555644159264136,0.433676532719305,14,215678,148,978,0.0006862081436215099,0.004534537597715113,6.608108108108108,830
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,184616,0.4964466785110716,0.22214101822774493,14,184602,88,787,0.00047670122750566085,0.00426322575053358,8.943181818181818,699
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,215692,0.6615822561801087,0.44127841897720416,14,215678,148,676,0.0006862081436215099,0.003134302061406356,4.5675675675675675,528
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,184616,0.49855375482081726,0.22390255521857805,14,184602,88,567,0.00047670122750566085,0.0030714726817694282,6.443181818181818,479
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,215692,0.6657826901322256,0.4456653234155354,14,215678,148,532,0.0006862081436215099,0.0024666400838286705,3.5945945945945947,384
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,184616,0.4985429215235949,0.22057652920018483,14,184602,88,434,0.00047670122750566085,0.002351003781107464,4.931818181818182,346
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,215692,0.6457541308903436,0.42057586181390283,14,215678,148,1792,0.0006862081436215099,0.008308682387633416,12.108108108108109,1644
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,184616,0.49515751614161285,0.22278875656512423,14,184602,88,1552,0.00047670122750566085,0.008407276194190745,17.636363636363637,1464
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,215692,0.6464310220128702,0.42113925904662053,14,215678,148,1552,0.0006862081436215099,0.007195912425003941,10.486486486486486,1404
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,184616,0.49538501538328206,0.22292650461128324,14,184602,88,1355,0.00047670122750566085,0.007340115491706482,15.397727272727273,1267
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,215692,0.649277673719934,0.4246974018820834,14,215678,148,1274,0.0006862081436215099,0.005906953884958132,8.608108108108109,1126
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,184616,0.49602959656801143,0.22311716925200895,14,184602,88,1083,0.00047670122750566085,0.0058666753339617125,12.306818181818182,995
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,215692,0.6550080670585835,0.43290563413340805,14,215678,148,997,0.0006862081436215099,0.004622631886423279,6.736486486486487,849
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,184616,0.49612167959440134,0.22192197903322022,14,184602,88,813,0.00047670122750566085,0.004404069295023889,9.238636363636363,725
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,215692,0.6600708417558371,0.4392598876910686,14,215678,148,704,0.0006862081436215099,0.003264125223713128,4.756756756756757,556
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,184616,0.4987162542791524,0.2243326615715122,14,184602,88,587,0.00047670122750566085,0.0031798138698388967,6.670454545454546,499
CC,hmm_uniform_start,mix=0.5;strength=8;alpha=1,task,215692,0.6694777738627302,0.45005613747602663,14,215678,148,467,0.0006862081436215099,0.0021652648856165207,3.1554054054054053,319
CC,hmm_uniform_start,mix=0.5;strength=8;alpha=1,social,184616,0.49803375655414484,0.21926003693084006,14,184602,88,385,0.00047670122750566085,0.002085567870337266,4.375,297
CC,hmm_uniform_start,mix=0.5;strength=12;alpha=1,task,215692,0.6718422565510079,0.4508463036702873,14,215678,148,366,0.0006862081436215099,0.00169697419300995,2.472972972972973,218
CC,hmm_uniform_start,mix=0.5;strength=12;alpha=1,social,184616,0.4975787580708064,0.21667691062210354,14,184602,88,298,0.00047670122750566085,0.0016142837022350787,3.3863636363636362,210
CC,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,215692,0.6463151159987389,0.42122924010640295,14,215678,148,1621,0.0006862081436215099,0.007515833789259916,10.952702702702704,1473
CC,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,184616,0.49536334878883737,0.22311334046138484,14,184602,88,1440,0.00047670122750566085,0.007800565541001722,16.363636363636363,1352
CC,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,215692,0.6477662592956623,0.4227459342591276,14,215678,148,1369,0.0006862081436215099,0.006347425328498966,9.25,1221
CC,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,184616,0.49536876543744857,0.2224128192423763,14,184602,88,1189,0.00047670122750566085,0.006440883630729894,13.511363636363637,1101
CC,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,215692,0.6523005025684773,0.42925813449832695,14,215678,148,1112,0.0006862081436215099,0.005155834160183236,7.513513513513513,964
CC,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,184616,0.49650084499718333,0.2229715087520779,14,184602,88,906,0.00047670122750566085,0.004907855819546917,10.295454545454545,818
CC,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,215692,0.6581607106429539,0.43666554149121434,14,215678,148,794,0.0006862081436215099,0.0036814139596991814,5.364864864864865,646
CC,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,184616,0.4977087576374745,0.22293292452205754,14,184602,88,663,0.00047670122750566085,0.0035915103845028766,7.534090909090909,575
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,215692,0.6650130741983941,0.4447181660026263,14,215678,148,531,0.0006862081436215099,0.0024620035423177145,3.5878378378378377,383
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,184616,0.4988841703860987,0.22220704818380968,14,184602,88,459,0.00047670122750566085,0.0024864302661942992,5.215909090909091,371
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,215692,0.6727834133857538,0.4521799749189933,14,215678,148,351,0.0006862081436215099,0.0016274260703456078,2.3716216216216215,203
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,184616,0.4976816743944187,0.21712554285573732,14,184602,88,295,0.00047670122750566085,0.0015980325240246584,3.352272727272727,207
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,215692,0.6794966897242364,0.46078692526895687,14,215678,148,261,0.0006862081436215099,0.0012101373343595546,1.7635135135135136,113
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,184616,0.5017929106902977,0.22019435715226765,14,184602,88,235,0.00047670122750566085,0.0012730089598162533,2.6704545454545454,147
CC,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,215692,0.6508261780687277,0.4271754858023545,14,215678,148,1192,0.0006862081436215099,0.005526757481059728,8.054054054054054,1044
CC,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,184616,0.49558543138189537,0.22201424167069508,14,184602,88,994,0.00047670122750566085,0.005384557047052578,11.295454545454545,906
