mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
hmm_uniform_start,mix=1;strength=4;alpha=1,0.34100097967011844,0.39777854557242,0.3693897626212692,484,79,563,267
hmm_uniform_start,mix=0.75;strength=12;alpha=1,0.34049064121061223,0.39821273089877973,0.369351686054696,496,78,574,267
hmm_uniform_start,mix=1;strength=8;alpha=1,0.33223712530601734,0.4026602807175646,0.367448703011791,310,57,367,267
hmm_uniform_start,mix=0.75;strength=8;alpha=1,0.33465275888736534,0.3952696284483962,0.36496119366788077,646,106,752,267
hmm_uniform_start,mix=0.5;strength=12;alpha=1,0.3337616071461954,0.3927736087538398,0.3632676079500176,664,112,776,267
hmm_uniform_start,mix=1;strength=12;alpha=1,0.31257122481845806,0.4123544070066104,0.36246281591253426,225,47,272,267
hmm_uniform_start,mix=0.5;strength=8;alpha=1,0.3346580872034334,0.3889713530098382,0.3618147201066358,852,133,985,267
hmm_uniform_start,mix=1;strength=2;alpha=1,0.3340092874282672,0.387553840218589,0.3607815638234281,739,124,863,267
hmm_uniform_start,mix=0.25;strength=12;alpha=1,0.3331209263078601,0.3852330285677199,0.35917697743779,966,156,1122,267
hmm_uniform_start,mix=0.75;strength=4;alpha=1,0.333462607093218,0.38465269232549587,0.35905764970935694,990,162,1152,267
hmm_uniform_start,mix=0.25;strength=8;alpha=1,0.3325904870978911,0.38134707846258065,0.35696878278023586,1243,193,1436,267
hmm_uniform_start,mix=1;strength=1;alpha=1,0.3329533208806727,0.3805604790521363,0.3567568999664045,1139,186,1325,267
hmm_uniform_start,mix=0.5;strength=4;alpha=1,0.3317962746312904,0.38109104818825396,0.3564436614097722,1291,196,1487,267
hmm_uniform_start,mix=0.75;strength=2;alpha=1,0.32979923300663594,0.37735434829758846,0.3535767906521122,1457,221,1678,267
hmm_uniform_start,mix=0.25;strength=4;alpha=1,0.327908775473525,0.37336994336289075,0.3506393594182079,1765,265,2030,267
hmm_uniform_start,mix=1;strength=0.5;alpha=1,0.3281257631223698,0.37275262081668237,0.3504391919695261,1634,249,1883,267
hmm_uniform_start,mix=0.5;strength=2;alpha=1,0.32741380658331415,0.3714474970805511,0.3494306518319326,1810,277,2087,267
hmm_uniform_start,mix=0.75;strength=1;alpha=1,0.32611482162520244,0.37131067060437106,0.34871274611478675,2018,297,2315,267
hmm_uniform_start,mix=1;strength=0.25;alpha=1,0.3245948637365248,0.36921070965429115,0.34690278669540797,2186,331,2517,267
hmm_uniform_start,mix=0.25;strength=2;alpha=1,0.32419835685411,0.3685575522580006,0.3463779545560553,2313,338,2651,267
hmm_uniform_start,mix=0.5;strength=1;alpha=1,0.3239072855670462,0.3683748657731883,0.3461410756701172,2357,349,2706,267
hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,0.32257937675075193,0.3678744121225369,0.34522689443664445,2558,373,2931,267
hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,0.3220328818289519,0.36690540483096346,0.3444691433299577,2907,418,3325,267
hmm_uniform_start,mix=0.25;strength=1;alpha=1,0.3218769758306546,0.3668875195633871,0.34438224769702086,2847,414,3261,267
hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,0.3221712902838939,0.3664626579946602,0.3443169741392771,3061,439,3500,267
hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,0.3216823091895135,0.36480405649621817,0.3432431828428658,3344,476,3820,267
hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,0.3217768049375412,0.36470475566198857,0.3432407802997649,3316,474,3790,267
hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,0.32093011566473884,0.36333739722597025,0.34213375644535454,3694,522,4216,267
baseline,none,0.32042029565394503,0.36266204393959245,0.34154116979676874,5044,680,5724,267
