domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,45538,0.9132372963239492,0.8772333199738436,0.8948733121738663,41587,3951,5820
CR,baseline,none,task,1,4384,532,0.02819548872180451,0.0034215328467153286,0.006102522375915379,15,517,4369
CR,baseline,none,task,2,1298,4265,0.30058616647127784,0.987673343605547,0.46090239079633294,1282,2983,16
CR,baseline,none,task,3,12257,15011,0.6935580574245553,0.8493921840580893,0.7636056916532199,10411,4600,1846
CR,baseline,none,social,0,954,9145,0.04548933843630399,0.4360587002096436,0.08238439449450441,416,8729,538
CR,baseline,none,social,1,3077,6880,0.44607558139534886,0.9974000649983751,0.6164507381741489,3069,3811,8
CR,baseline,none,social,2,11812,1270,0.8692913385826772,0.0934642736200474,0.16878153187585995,1104,166,10708
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,45608,0.9133923873004736,0.8787309890944375,0.8957264957264958,41658,3950,5749
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,518,0.02895752895752896,0.0034215328467153286,0.006119951040391676,15,503,4369
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,4275,0.29988304093567253,0.987673343605547,0.4600753633590526,1282,2993,16
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,14945,0.6970224155235865,0.8498817002529166,0.765899566208367,10417,4528,1840
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,9154,0.045007646930303694,0.43186582809224316,0.0815195884447962,412,8742,542
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,6878,0.44620529223611516,0.9974000649983751,0.6165745856353592,3069,3809,8
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,1263,0.8653998416468726,0.0925330172705723,0.16718929254302103,1093,170,10719
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,45629,0.9139801442065353,0.8797013099331322,0.8965131776946558,41704,3925,5703
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,517,0.027079303675048357,0.0031934306569343066,0.005713119771475209,14,503,4370
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,4297,0.2997440074470561,0.9922958397534669,0.4604110813226095,1288,3009,10
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,14903,0.700462994028048,0.851676592967284,0.7687039764359351,10439,4464,1818
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,9170,0.044929116684841876,0.43186582809224316,0.08139075464243381,412,8758,542
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,3077,6870,0.4478893740902474,1.0,0.6186789986930733,3077,3793,0
