domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.8155816729409604,0.5897281663745313,5,65341,25,450,0.00038260816332777274,0.006886946939899909,18.0,425
CR,baseline,none,social,17295,0.26533680254408787,0.1355959215046536,4,17291,6,230,0.0003470013301717657,0.01330171765658435,38.333333333333336,224
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.8167600159152817,0.5918262319279579,5,65341,25,352,0.00038260816332777274,0.005387122939655041,14.08,327
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.26446949985544954,0.13484856252398256,4,17291,6,170,0.0003470013301717657,0.009831704354866693,28.333333333333332,164
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.8178771462675604,0.5942077954982822,5,65341,25,320,0.00038260816332777274,0.004897384490595492,12.8,295
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.26446949985544954,0.13520171582569493,4,17291,6,154,0.0003470013301717657,0.008906367474408651,25.666666666666668,148
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.819591099684755,0.59728465268373,5,65341,25,282,0.00038260816332777274,0.0043158200823372765,11.28,257
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.2657415437987858,0.13649038644304423,4,17291,6,132,0.0003470013301717657,0.007634029263778845,22.0,126
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.8223762739876963,0.601250888162808,5,65341,25,225,0.00038260816332777274,0.0034434734699499547,9.0,200
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.2629661751951431,0.13586421635319318,4,17291,6,113,0.0003470013301717657,0.0065351917182349195,18.833333333333332,107
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.8273957089951948,0.6094467096258989,5,65341,25,177,0.00038260816332777274,0.002708865796360631,7.08,152
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.2632552760913559,0.13729317709988262,4,17291,6,88,0.0003470013301717657,0.00508935284251923,14.666666666666666,82
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,65346,0.8352462277721666,0.6232861873801873,5,65341,25,127,0.00038260816332777274,0.0019436494697050856,5.08,102
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,17295,0.2646429603931772,0.13940796954497398,4,17291,6,66,0.0003470013301717657,0.0038170146318894224,11.0,60
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,65346,0.8377559452759159,0.6282535358388841,5,65341,25,106,0.00038260816332777274,0.0016222586125097566,4.24,81
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,17295,0.2652789823648453,0.14221252129655576,4,17291,6,50,0.0003470013301717657,0.0028916777514313803,8.333333333333334,44
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.817892449423071,0.5942510015808093,5,65341,25,320,0.00038260816332777274,0.004897384490595492,12.8,295
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.26475860075166235,0.135357111411627,4,17291,6,156,0.0003470013301717657,0.009022034584465908,26.0,150
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.819361552352095,0.5969082359448632,5,65341,25,284,0.00038260816332777274,0.004346428735403499,11.36,259
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.266493206128939,0.13690257371706369,4,17291,6,134,0.0003470013301717657,0.0077496963738361,22.333333333333332,128
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.8221926361215682,0.6009646227299971,5,65341,25,234,0.00038260816332777274,0.003581212408747953,9.36,209
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.2629661751951431,0.1357851088163795,4,17291,6,115,0.0003470013301717657,0.006650858828292175,19.166666666666668,109
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.8254216019343189,0.6060560848140232,5,65341,25,183,0.00038260816332777274,0.0028006917555592967,7.32,158
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,17295,0.26319745591211335,0.136838909347079,4,17291,6,94,0.0003470013301717657,0.005436354172690995,15.666666666666666,88
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,65346,0.8348942551954213,0.6225732020078062,5,65341,25,129,0.00038260816332777274,0.0019742581227713074,5.16,104
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,17295,0.2646429603931772,0.13960889436870172,4,17291,6,67,0.0003470013301717657,0.00387484818691805,11.166666666666666,61
