domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,43221,0.915989912311145,0.8351087392157276,0.8736814229597916,39590,3631,7817
CR,baseline,none,task,1,4384,1087,0.15547378104875806,0.0385492700729927,0.06178029610674466,169,918,4215
CR,baseline,none,task,2,1298,4131,0.3054950375211813,0.9722650231124808,0.4649106649475041,1262,2869,36
CR,baseline,none,task,3,12257,16907,0.6428698172354645,0.8867585869299176,0.7453710053490604,10869,6038,1388
CR,baseline,none,social,0,954,10453,0.05644312637520329,0.6184486373165619,0.10344525291487681,590,9863,364
CR,baseline,none,social,1,3077,5965,0.507292539815591,0.9834254143646409,0.6693209466932095,3026,2939,51
CR,baseline,none,social,2,11812,877,0.879133409350057,0.0652726041313918,0.12152257861139569,771,106,11041
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,3,task,0,47407,43250,0.9161387283236995,0.8358048389478347,0.8741299623856956,39623,3627,7784
CR,logit_mean,3,task,1,4384,1071,0.15592903828197946,0.038093065693430656,0.0612282309807516,167,904,4217
CR,logit_mean,3,task,2,1298,4126,0.3056228793019874,0.9714946070878274,0.46497050147492625,1261,2865,37
CR,logit_mean,3,task,3,12257,16899,0.6430558021184686,0.8865954148649751,0.7454383317327481,10867,6032,1390
CR,logit_mean,3,social,0,954,10464,0.05647935779816514,0.6194968553459119,0.10352075669994745,591,9873,363
CR,logit_mean,3,social,1,3077,5962,0.507380073800738,0.9831004224894377,0.6693218276358004,3025,2937,52
CR,logit_mean,3,social,2,11812,869,0.8791714614499425,0.0646799864544531,0.12049522908287989,764,105,11048
CR,logit_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,3,task,0,47407,43248,0.9161117277099519,0.8357415571540068,0.8740830621587337,39620,3628,7787
CR,prob_mean,3,task,1,4384,1073,0.15563839701770738,0.038093065693430656,0.061205790727505954,167,906,4217
CR,prob_mean,3,task,2,1298,4128,0.3054748062015504,0.9714946070878274,0.4647991153704386,1261,2867,37
CR,prob_mean,3,task,3,12257,16897,0.6430727348049949,0.8865138288325038,0.7454208684914592,10866,6031,1391
CR,prob_mean,3,social,0,954,10465,0.056473960821786906,0.6194968553459119,0.10351169104124705,591,9874,363
CR,prob_mean,3,social,1,3077,5962,0.507380073800738,0.9831004224894377,0.6693218276358004,3025,2937,52
CR,prob_mean,3,social,2,11812,868,0.8790322580645161,0.064595326786319,0.12034700315457414,763,105,11049
CR,prob_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,3,task,0,47407,43238,0.9160229427818123,0.8354673360474192,0.8738926581719897,39607,3631,7800
CR,label_majority,3,task,1,4384,1083,0.1569713758079409,0.038777372262773724,0.0621913297969636,170,913,4214
CR,label_majority,3,task,2,1298,4126,0.3061076102762967,0.9730354391371341,0.46570796460176994,1263,2863,35
CR,label_majority,3,task,3,12257,16899,0.6430558021184686,0.8865954148649751,0.7454383317327481,10867,6032,1390
CR,label_majority,3,social,0,954,10455,0.05643232902917265,0.6184486373165619,0.1034271189411868,590,9865,364
CR,label_majority,3,social,1,3077,5962,0.5075478027507547,0.9834254143646409,0.6695430910498948,3026,2936,51
CR,label_majority,3,social,2,11812,878,0.878132118451025,0.0652726041313918,0.12151300236406617,771,107,11041
CR,label_majority,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,3,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,5,task,0,47407,43265,0.915982896105397,0.8359524964667665,0.8741397564849126,39630,3635,7777
CR,logit_mean,5,task,1,4384,1064,0.15413533834586465,0.037408759124087594,0.060205580029368586,164,900,4220
CR,logit_mean,5,task,2,1298,4128,0.3054748062015504,0.9714946070878274,0.4647991153704386,1261,2867,37
CR,logit_mean,5,task,3,12257,16889,0.6433773462016698,0.8865138288325038,0.7456254717628491,10866,6023,1391
CR,logit_mean,5,social,0,954,10470,0.05654250238777459,0.6205450733752621,0.10364145658263305,592,9878,362
CR,logit_mean,5,social,1,3077,5954,0.5082297615048706,0.9834254143646409,0.6701361975418004,3026,2928,51
CR,logit_mean,5,social,2,11812,871,0.8817451205510907,0.0650186251269895,0.12110699361349837,768,103,11044
