domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.7940807394484742,0.5611782431053908,5,65341,25,643,0.00038260816332777274,0.009840681960790316,25.72,618
CR,baseline,none,social,17295,0.25365712633709164,0.14279218690628567,4,17291,6,192,0.0003470013301717657,0.011104042565496502,32.0,186
CR,logit_mean,3,task,65346,0.7945092278027729,0.5618289347097288,5,65341,25,551,0.00038260816332777274,0.008432683919744112,22.04,526
CR,logit_mean,3,social,17295,0.2532523850823938,0.142634255818855,4,17291,6,163,0.0003470013301717657,0.0094268694696663,27.166666666666668,157
CR,prob_mean,3,task,65346,0.7944480151807303,0.5617220389303931,5,65341,25,549,0.00038260816332777274,0.00840207526667789,21.96,524
CR,prob_mean,3,social,17295,0.2531945649031512,0.14260360463318772,4,17291,6,163,0.0003470013301717657,0.0094268694696663,27.166666666666668,157
CR,label_majority,3,task,65346,0.7943408930921556,0.5615830191926195,5,65341,25,545,0.00038260816332777274,0.008340857960545445,21.8,520
CR,label_majority,3,social,17295,0.25365712633709164,0.14277741114691492,4,17291,6,163,0.0003470013301717657,0.0094268694696663,27.166666666666668,157
CR,logit_mean,5,task,65346,0.7945551372693049,0.5618041935554567,5,65341,25,501,0.00038260816332777274,0.007667467593088566,20.04,476
CR,logit_mean,5,social,17295,0.2535993061578491,0.14301700175074894,4,17291,6,157,0.0003470013301717657,0.009079868139494535,26.166666666666668,151
CR,prob_mean,5,task,65346,0.7944786214917516,0.5616846416337538,5,65341,25,498,0.00038260816332777274,0.007621554613489233,19.92,473
CR,prob_mean,5,social,17295,0.25365712633709164,0.1430267204746294,4,17291,6,157,0.0003470013301717657,0.009079868139494535,26.166666666666668,151
CR,label_majority,5,task,65346,0.7945092278027729,0.5618542953557512,5,65341,25,506,0.00038260816332777274,0.007743989225754121,20.24,481
CR,label_majority,5,social,17295,0.25365712633709164,0.14279837486535998,4,17291,6,153,0.0003470013301717657,0.008848533919380024,25.5,147
CR,logit_mean,9,task,65346,0.7951366571787103,0.5627451386773157,5,65341,25,463,0.00038260816332777274,0.007085903184830352,18.52,438
CR,logit_mean,9,social,17295,0.25377276669557675,0.1434512978576135,4,17291,6,146,0.0003470013301717657,0.00844369903417963,24.333333333333332,140
CR,prob_mean,9,task,65346,0.7951060508676889,0.5627353115727955,5,65341,25,459,0.00038260816332777274,0.007024685878697908,18.36,434
CR,prob_mean,9,social,17295,0.2539462272333044,0.14354334531637028,4,17291,6,146,0.0003470013301717657,0.00844369903417963,24.333333333333332,140
CR,label_majority,9,task,65346,0.7947081688244116,0.5622855528470242,5,65341,25,452,0.00038260816332777274,0.006917555592966132,18.08,427
