mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
prob_mean,121,0.34207644758824973,0.3170566896835313,0.3295665686358905,1049,231,1280,267
logit_mean,121,0.3413108076564393,0.3174989516333066,0.32940487964487297,1061,228,1289,267
hysteresis,1.0,0.3452650273522522,0.30861486215467393,0.32693994475346305,924,133,1057,267
label_majority,121,0.3367920257665654,0.31684262523228074,0.3268173254994231,1086,249,1335,267
logit_mean,61,0.3299547397035739,0.31183202632952434,0.3208933830165491,1754,374,2128,267
prob_mean,61,0.3293920159735999,0.31201072443465105,0.3207013702041255,1723,385,2108,267
label_majority,61,0.32682243732661964,0.31010644186594427,0.31846443959628196,1739,367,2106,267
hysteresis,0.25,0.3236645357325756,0.30881362757883235,0.31623908165570397,3172,613,3785,267
logit_mean,31,0.3259455477023311,0.3061861591186816,0.3160658534105063,2723,552,3275,267
prob_mean,31,0.32571805552581157,0.3062617565571389,0.31598990604147525,2698,563,3261,267
logit_ema,0.15,0.3240187214516144,0.3050714766386353,0.31454509904512484,3850,818,4668,267
label_majority,31,0.32361672672812203,0.3054341024653441,0.31452541459673306,2722,576,3298,267
prob_mean,15,0.32358683108931796,0.3047522379023273,0.31416953449582263,3821,802,4623,267
logit_mean,15,0.3235520384683347,0.3047402160180553,0.314146127243195,3844,805,4649,267
logit_ema,0.25,0.32343680905925387,0.30466243710194724,0.3140496230806006,4569,1020,5589,267
label_majority,15,0.3228011445188759,0.3052663125235287,0.3140337285212023,3773,796,4569,267
hysteresis,0.5,0.3285546392029077,0.2994384939373703,0.31399656657013897,2035,333,2368,267
prob_mean,9,0.3232230238447287,0.30460222623503896,0.3139126250398838,4485,962,5447,267
logit_mean,9,0.3231420948469701,0.30466646360969984,0.31390427922833497,4508,962,5470,267
label_majority,9,0.32288014369071893,0.30437638593511956,0.3136282648129193,4457,957,5414,267
logit_ema,0.4,0.32294393817545736,0.3040612884523807,0.31350261331391904,5251,1227,6478,267
prob_mean,5,0.32282751512796365,0.3040788982847249,0.31345320670634425,5128,1176,6304,267
logit_mean,5,0.32273481968383166,0.3040609330072862,0.31339787634555893,5140,1175,6315,267
label_majority,5,0.3225945639408243,0.30342980170069794,0.31301218282076115,5101,1168,6269,267
logit_ema,0.6,0.32250680969970563,0.30344094058278553,0.3129738751412456,5909,1519,7428,267
prob_mean,3,0.32258573322902506,0.3031081946744987,0.31284696395176187,5701,1394,7095,267
logit_mean,3,0.3225802271416031,0.30305389472518396,0.31281706093339356,5716,1397,7113,267
label_majority,3,0.32245450626978944,0.303023986201193,0.3127392462354912,5736,1401,7137,267
baseline,none,0.3223310305886096,0.3027811039831947,0.31255606728590213,7095,2092,9187,267
