domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,34691,0.9402150413651956,0.6880207564283756,0.7945869570513289,32617,2074,14790
CR,baseline,none,task,1,4384,1589,0.39018250471994964,0.14142335766423358,0.207600870584296,620,969,3764
CR,baseline,none,task,2,1298,5425,0.2359447004608295,0.9861325115562404,0.38078238881451737,1280,4145,18
CR,baseline,none,task,3,12257,23641,0.4552683896620278,0.8781104674879661,0.5996434341746059,10763,12878,1494
CR,baseline,none,social,0,954,9778,0.04990795663734915,0.5115303983228512,0.09094297428251956,488,9290,466
CR,baseline,none,social,1,3077,4233,0.5783132530120482,0.7955801104972375,0.6697674418604651,2448,1785,629
CR,baseline,none,social,2,11812,3284,0.896163215590743,0.24915340331865898,0.38990461049284575,2943,341,8869
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,3,task,0,47407,34729,0.9402516628754067,0.6888012318855865,0.7951202883023278,32654,2075,14753
CR,logit_mean,3,task,1,4384,1552,0.4007731958762887,0.14187956204379562,0.20956873315363883,622,930,3762
CR,logit_mean,3,task,2,1298,5411,0.23655516540380706,0.9861325115562404,0.38157698613802354,1280,4131,18
CR,logit_mean,3,task,3,12257,23654,0.4549759025957555,0.8780288814554948,0.599370666369636,10762,12892,1495
CR,logit_mean,3,social,0,954,9791,0.05004596057603922,0.5136268343815513,0.09120521172638435,490,9301,464
CR,logit_mean,3,social,1,3077,4221,0.5792466240227434,0.7946051348716282,0.6700465881063306,2445,1776,632
CR,logit_mean,3,social,2,11812,3283,0.8958269875114225,0.2489840839823908,0.389665452136469,2941,342,8871
CR,logit_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,3,task,0,47407,34724,0.9403582536574128,0.6887801379543106,0.7951443425746674,32653,2071,14754
CR,prob_mean,3,task,1,4384,1555,0.4012861736334405,0.14233576642335766,0.21013638659707023,624,931,3760
CR,prob_mean,3,task,2,1298,5413,0.23646776279327544,0.9861325115562404,0.3814632692594248,1280,4133,18
CR,prob_mean,3,task,3,12257,23654,0.4551027310391477,0.8782736395529085,0.5995377460945114,10765,12889,1492
CR,prob_mean,3,social,0,954,9793,0.05003573981415296,0.5136268343815513,0.09118823857820786,490,9303,464
CR,prob_mean,3,social,1,3077,4219,0.579284190566485,0.7942801429964251,0.6699561403508771,2444,1775,633
CR,prob_mean,3,social,2,11812,3283,0.8958269875114225,0.2489840839823908,0.389665452136469,2941,342,8871
CR,prob_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,3,task,0,47407,34728,0.9401923519926284,0.6887379500917586,0.7950569184878554,32651,2077,14756
CR,label_majority,3,task,1,4384,1558,0.39666238767650835,0.14096715328467152,0.2080107707842477,618,940,3766
CR,label_majority,3,task,2,1298,5406,0.23677395486496486,0.9861325115562404,0.3818615751789976,1280,4126,18
CR,label_majority,3,task,3,12257,23654,0.45522955948253996,0.8785183976503222,0.5997048258193869,10768,12886,1489
CR,label_majority,3,social,0,954,9776,0.04991816693944354,0.5115303983228512,0.09095992544268407,488,9288,466
CR,label_majority,3,social,1,3077,4236,0.5781397544853636,0.7959051023724407,0.6697661698345413,2449,1787,628
CR,label_majority,3,social,2,11812,3283,0.8955223880597015,0.24889942431425668,0.38953295793309045,2940,343,8872
CR,label_majority,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,3,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,5,task,0,47407,34781,0.9405422500790661,0.6900457738308688,0.7960529517691147,32713,2068,14694
CR,logit_mean,5,task,1,4384,1529,0.41007194244604317,0.14302007299270073,0.21207508878741754,627,902,3757
CR,logit_mean,5,task,2,1298,5404,0.23704663212435234,0.9869029275808937,0.38227394807520143,1281,4123,17
CR,logit_mean,5,task,3,12257,23632,0.4557379823967502,0.8786815697152648,0.6001839003594416,10770,12862,1487
CR,logit_mean,5,social,0,954,9797,0.05042359906093702,0.5178197064989518,0.09189842805320436,494,9303,460
CR,logit_mean,5,social,1,3077,4224,0.5802556818181818,0.796555086122847,0.6714148746747021,2451,1773,626
CR,logit_mean,5,social,2,11812,3274,0.8958460598656078,0.248306806637318,0.388837332626276,2933,341,8879
CR,logit_mean,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,5,social,4,0,0,nan,nan,nan,0,0,0
