domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.69292688152297,0.4352340655579212,5,65341,25,1757,0.00038260816332777274,0.02688970171867587,70.28,1732
CR,baseline,none,social,17295,0.3399248337669847,0.17032814240846822,4,17291,6,335,0.0003470013301717657,0.01937424093459025,55.833333333333336,329
CR,logit_mean,3,task,65346,0.6935084014323754,0.43587098664714646,5,65341,25,1131,0.00038260816332777274,0.01730919330894844,45.24,1106
CR,logit_mean,3,social,17295,0.339751373229257,0.17023680280322143,4,17291,6,266,0.0003470013301717657,0.015383725637614944,44.333333333333336,260
CR,prob_mean,3,task,65346,0.693569614054418,0.4360374479929643,5,65341,25,1128,0.00038260816332777274,0.017263280329349106,45.12,1103
CR,prob_mean,3,social,17295,0.3396935530500145,0.1701789413560331,4,17291,6,266,0.0003470013301717657,0.015383725637614944,44.333333333333336,260
CR,label_majority,3,task,65346,0.6934930982768647,0.4358495295252486,5,65341,25,1136,0.00038260816332777274,0.017385714941613995,45.44,1111
CR,label_majority,3,social,17295,0.3398091934084996,0.17019844287713734,4,17291,6,265,0.0003470013301717657,0.015325892082586317,44.166666666666664,259
CR,logit_mean,5,task,65346,0.694625531784654,0.43742143063495903,5,65341,25,938,0.00038260816332777274,0.014355458288058034,37.52,913
CR,logit_mean,5,social,17295,0.33986701358774213,0.1707004353796134,4,17291,6,237,0.0003470013301717657,0.013706552541784744,39.5,231
CR,prob_mean,5,task,65346,0.6946102286291433,0.4374151461671367,5,65341,25,939,0.00038260816332777274,0.014370762614591144,37.56,914
CR,prob_mean,5,social,17295,0.3399248337669847,0.17074265040231304,4,17291,6,237,0.0003470013301717657,0.013706552541784744,39.5,231
CR,label_majority,5,task,65346,0.6939674960976954,0.436582883445849,5,65341,25,934,0.00038260816332777274,0.014294240981925591,37.36,909
CR,label_majority,5,social,17295,0.3396357328707719,0.17027671995554686,4,17291,6,234,0.0003470013301717657,0.01353305187669886,39.0,228
CR,logit_mean,9,task,65346,0.6957120558259113,0.43870766841556713,5,65341,25,757,0.00038260816332777274,0.01158537518556496,30.28,732
CR,logit_mean,9,social,17295,0.3398091934084996,0.1706252588038326,4,17291,6,205,0.0003470013301717657,0.01185587878086866,34.166666666666664,199
CR,prob_mean,9,task,65346,0.6957579652924433,0.43877406910695277,5,65341,25,757,0.00038260816332777274,0.01158537518556496,30.28,732
CR,prob_mean,9,social,17295,0.3396357328707719,0.17043038336312516,4,17291,6,205,0.0003470013301717657,0.01185587878086866,34.166666666666664,199
CR,label_majority,9,task,65346,0.6952529611605913,0.43833026957436605,5,65341,25,757,0.00038260816332777274,0.01158537518556496,30.28,732
CR,label_majority,9,social,17295,0.3396935530500145,0.17042250229587305,4,17291,6,200,0.0003470013301717657,0.011566711005725521,33.333333333333336,194
CR,logit_mean,15,task,65346,0.6962017568022526,0.43908501960214724,5,65341,25,620,0.00038260816332777274,0.009488682450528764,24.8,595
CR,logit_mean,15,social,17295,0.3389997108991038,0.17039541243396333,4,17291,6,185,0.0003470013301717657,0.010699207680296108,30.833333333333332,179
CR,prob_mean,15,task,65346,0.6961711504912312,0.43925372960126546,5,65341,25,617,0.00038260816332777274,0.009442769470929431,24.68,592
CR,prob_mean,15,social,17295,0.3389997108991038,0.1702507462033892,4,17291,6,185,0.0003470013301717657,0.010699207680296108,30.833333333333332,179
CR,label_majority,15,task,65346,0.695773268447954,0.43913435006298407,5,65341,25,616,0.00038260816332777274,0.00942746514439632,24.64,591
CR,label_majority,15,social,17295,0.34032957502168254,0.17139827498407337,4,17291,6,180,0.0003470013301717657,0.01041003990515297,30.0,174
CR,logit_mean,31,task,65346,0.7007620971444312,0.44390613014118196,5,65341,25,434,0.00038260816332777274,0.006642077715370135,17.36,409
CR,logit_mean,31,social,17295,0.33529921942758023,0.16846618809618122,4,17291,6,118,0.0003470013301717657,0.006824359493378058,19.666666666666668,112
CR,prob_mean,31,task,65346,0.7006243687448351,0.44429519394990796,5,65341,25,443,0.00038260816332777274,0.006779816654168133,17.72,418
